Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Usage","Specifications"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/MINAS_A4_Series.pdf,//media.digikey.com/photos/Panasonic%20Photos/DV0P4350.jpg,1110-3060-ND,DV0P4350,Panasonic Industrial Automation Sales,INTERFACE FACE CONN,136,0,"67.00000","0","1","-","Active","Connector Kit","MINAS A4 Series","-","-"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0030EAM.jpg,1110-3066-ND,MFECA0030EAM,Panasonic Industrial Automation Sales,INCREMENTAL ENCODER,112,0,"87.00000","0","1","-","Active","Cable Assembly","MINAS A4 Series","Motor with Encoder","3 Meters"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1141_hardware_manual.pdf,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/TMCM-1141-CABLE.jpg,1460-1015-ND,TMCM-1141-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR TMCM-1141,103,0,"8.03000","0","1","-","Active","Cable Assembly","TMCM-1141 Series","Motor","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1160_hardware_manual.pdf,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/TMCM-1160-CABLE.jpg,1460-1016-ND,TMCM-1160-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR TMCM-1160,215,0,"12.62000","0","1","-","Active","Cable Assembly","TMCM-1160 Series","Motor","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/972_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/972.JPG,1528-1388-ND,972,Adafruit Industries LLC,SERVO EXTENSION CBL 30CM,230,0,"1.95000","0","1","-","Active","Cable Assembly","-","Motor Extension","0.3 Meters"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/973_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_973.jpg,1528-1171-ND,973,Adafruit Industries LLC,SERVO EXTENSION CBL 19.5"" LONG,116,0,"2.50000","0","1","-","Active","Cable Assembly","-","Motor Extension","19.5 Inches"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a6_ctlg_e.pdf,-,1110-4121-ND,MFMCA0030UFD,Panasonic Industrial Automation Sales,CABLE MOTOR A6 3M IP67 SHAFT,41,0,"213.00000","0","1","-","Active","Cable Assembly","MINAS A6 Series","Motor","3 Meters"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MFMCA00xxxEED.jpg,1110-3068-ND,MFMCA0030EED,Panasonic Industrial Automation Sales,MOTOR CABLE,63,0,"65.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor","3 Meters"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmodules%2Ftmcm-1070%2F_datasheet%2FTMCM-1070-hardware-manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1070-CABLE.jpg,1460-1181-ND,TMCM-1070-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR TMCM-1070,47,0,"2.66000","0","1","-","Active","Cable Assembly","TMCM-1070 Series","Motor","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1021_hardware_manual_HW1.40_Rev1.04.pdf,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/TMCM-1021-CABLE.jpg,1460-1009-ND,TMCM-1021-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR TMCM-1021,41,0,"2.75000","0","1","-","Active","Cable Assembly","TMCM-1021 Series","Motor","-"
