Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Function","Motor Type","Voltage - Rated","RPM","Torque - Rated (oz-in / mNm)","Power - Rated","Encoder Type","Size / Dimension","Diameter - Shaft","Length - Shaft and Bearing","Mounting Hole Spacing","Termination Style","Features","Gear Reduction Ratio","Torque - Max Momentary (oz-in / mNm)","Operating Temperature"
http://www.vibration-motor.com/products/download/Z30C1T8219731.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z30C1T8219731.jpg,1670-1010-2-ND,Z30C1T8219731,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V SMD,7000,0,"2.08438","0","1000","-","Active","DC Motor","Vibration, ERM","-","2.7VDC","14000 RPM","-","-","-","Round - 0.158"" Dia (4.00mm)","-","0.150"" (3.80mm)","-","J Lead","-","-","-","-20°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z30C1T8219731.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z30C1T8219731.jpg,1670-1010-1-ND,Z30C1T8219731,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V SMD,7758,0,"3.49000","0","1","-","Active","DC Motor","Vibration, ERM","-","2.7VDC","14000 RPM","-","-","-","Round - 0.158"" Dia (4.00mm)","-","0.150"" (3.80mm)","-","J Lead","-","-","-","-20°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z30C1T8219731.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z30C1T8219731.jpg,1670-1010-6-ND,Z30C1T8219731,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V SMD,7758,0,"Digi-Reel","0","1","-","Active","DC Motor","Vibration, ERM","-","2.7VDC","14000 RPM","-","-","-","Round - 0.158"" Dia (4.00mm)","-","0.150"" (3.80mm)","-","J Lead","-","-","-","-20°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z4FC1B1301781.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z4FC1B1301781.jpg,1670-1011-2-ND,Z4FC1B1301781,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 2.7V SMD,5000,0,"2.08438","0","1000","Z4","Active","DC Motor","Vibration, ERM","-","3VDC","10000 RPM","-","-","-","Round - 0.158"" Dia (4.00mm)","-","0.146"" (3.70mm)","-","J Lead","-","-","-","-20°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z4FC1B1301781.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z4FC1B1301781.jpg,1670-1011-1-ND,Z4FC1B1301781,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 2.7V SMD,5302,0,"3.49000","0","1","Z4","Active","DC Motor","Vibration, ERM","-","3VDC","10000 RPM","-","-","-","Round - 0.158"" Dia (4.00mm)","-","0.146"" (3.70mm)","-","J Lead","-","-","-","-20°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z4FC1B1301781.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z4FC1B1301781.jpg,1670-1011-6-ND,Z4FC1B1301781,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 2.7V SMD,5302,0,"Digi-Reel","0","1","Z4","Active","DC Motor","Vibration, ERM","-","3VDC","10000 RPM","-","-","-","Round - 0.158"" Dia (4.00mm)","-","0.146"" (3.70mm)","-","J Lead","-","-","-","-20°C ~ 70°C"
http://www.vibration-motor.com/products/download/C1026B002F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C1026B002F.jpg,1670-1006-ND,C1026B002F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 3V WIRE,16204,0,"2.88000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","9000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/C1020B111F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C1020B111F.jpg,1670-1005-ND,C1020B111F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 3V WIRE,13463,0,"2.88000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","9000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/Z6DCBB0056091.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z6DCBB0056091.jpg,1670-1017-ND,Z6DCBB0056091,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V PIN,2370,0,"2.88000","0","1","Z6D","Active","DC Motor","Vibration, ERM","-","3VDC","11000 RPM","-","-","-","Round - 0.268"" Dia (6.80mm)","-","0.205"" (5.00mm)","-","PC Pin","-","-","-","-30°C ~ 70°C"
http://www.vibration-motor.com/products/download/C1030B028F.pdf,//media.digikey.com/Photos/Jinlong/C1030B028F.jpg,1670-1052-ND,C1030B028F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 3V WIRE,2381,0,"2.88000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","9000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C"
