Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Coil Type","Voltage - Rated","Current Rating (Amps)","Steps per Revolution","Step Angle","Accuracy","Torque - Holding (oz-in / mNm)","Size / Dimension","NEMA Frame Size","Diameter - Shaft","Length - Shaft and Bearing","Mounting Hole Spacing","Termination Style","Operating Temperature","Coil Resistance","Features"
http://cdn.sparkfun.com/datasheets/Robotics/ST-PM35-15-11C.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/ROB-10551.JPG,1568-1321-ND,ROB-10551,SparkFun Electronics,STEPPER MOTOR PM BIPOLAR 12V,348,0,"6.95000","0","1","-","Active","Permanent Magnet","Bipolar","12VDC","400mA","48","7.5°","-","-","Round - 1.378"" Dia (35.00mm)","-","0.118"" (3.00mm)","0.492"" (12.50mm)","1.650"" (42.00mm)","Wire Leads with Connector","-","4 Ohms","Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0278_Web.pdf,//media.digikey.com/Photos/DFRobot/FIT0278.jpg,1738-1036-ND,FIT0278,DFRobot,HYBRID STEPPER MOTOR FOR 3D PRIN,122,0,"14.37000","0","1","-","Active","Hybrid","Bipolar","3.4VDC","1.7A","200","1.8°","±5%","48.6 / 343.19","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (31.00mm)","Connector","-20°C ~ 50°C","2 Ohms","Round Shaft"
https://www.sparkfun.com/datasheets/Robotics/SM-42BYG011-25.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-09238.jpg,1568-1105-ND,ROB-09238,SparkFun Electronics,STEPPER MOTOR HYBRID BIPOLAR 12V,356,0,"14.95000","0","1","-","Active","Hybrid","Bipolar","12VDC","330mA","200","1.8°","-","32.57 / 230","Square - 1.665"" x 1.665"" (42.30mm x 42.30mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (31.00mm)","Wire Leads","-","32.6 Ohms","Round Shaft"
http://cdn.sparkfun.com/datasheets/Robotics/42BYGHM809.PDF,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-10846.jpg,1568-1106-ND,ROB-10846,SparkFun Electronics,STEPPER MOTOR HYBRID BIPOLAR 3V,189,0,"16.95000","0","1","-","Active","Hybrid","Bipolar","3VDC","1.7A","400","0.9°","-","67.97 / 480","Square - 1.665"" x 1.665"" (42.30mm x 42.30mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (31.00mm)","Wire Leads","-","1.8 Ohms","Round Shaft"
http://www.portescap.com/sites/default/files/35l048b_specifications.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/35L048B1U.JPG,403-1022-ND,35L048B1U,Portescap,STEPPER MOTOR PM UNIPOLAR 5V,366,0,"24.66000","0","1","35L","Active","Permanent Magnet","Unipolar","5VDC","450mA","48","7.5°","±15%","3.5 / 25","Round - 1.420"" Dia (35.94mm)","-","0.079"" (2.00mm)","0.445"" (11.30mm)","1.650"" (42.00mm)","Wire Leads","-20°C ~ 70°C","11 Ohms","Round Shaft"
http://www.portescap.com/sites/default/files/42m048c_specifications.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/42M048C1B.jpg,403-1009-ND,42M048C1B,Portescap,STEPPER MOTOR PM BIPOLAR 5V,326,0,"26.80000","0","1","42M","Active","Permanent Magnet","Bipolar","5VDC","550mA","48","7.5°","±15%","11.9 / 84","Round - 1.650"" Dia (42.00mm)","-","0.118"" (3.00mm)","0.450"" (11.43mm)","1.950"" (49.48mm)","Wire Leads","-20°C ~ 70°C","9.1 Ohms","Round Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmotors%2Fqmot-qsh4218%2F_datasheet%2FQSH4218_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/QSH4218-41-10-035.jpg,1460-1075-ND,QSH4218-41-10-035,Trinamic Motion Control GmbH,STEP MOTOR HYBRID BIPOLAR 4.5V,134,0,"36.28000","0","1","QMot QSH4218","Active","Hybrid","Bipolar","4.5VDC","1A","200","1.8°","±5%","49.56 / 350","Square - 1.665"" x 1.665"" (42.30mm x 42.30mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (30.99mm)","Wire Leads","-20°C ~ 50°C","4.5 Ohms","Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/PG20L-D20-HHC0.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/PG20L-D20-HHC0.jpg,P14334-ND,PG20L-D20-HHC0,NMB Technologies Corporation,STEP MOTOR PM GEARED BIPOLAR 10V,281,0,"36.61000","0","1","PG","Active","Permanent Magnet Gear Motor","Bipolar","10VDC","350mA","1818","0.198°","-","-","Round - 0.787"" Dia (20.00mm)","-","0.157"" (4.00mm)","0.394"" (10.00mm)","0.984"" (25.00mm)","Wire Leads","-","10 Ohms","Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/PG15S-D20-HHB9_Spec.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/PG15S-D20-HHB9.jpg,P14333-ND,PG15S-D20-HHB9,NMB Technologies Corporation,STEP MOTOR PM GEARED BIPOLAR 15V,230,0,"36.61000","0","1","PG","Active","Permanent Magnet Gear Motor","Bipolar","15VDC","100mA","2048","0.176°","-","21.2 / 150","Round - 0.591"" Dia (15.00mm)","-","0.118"" (3.00mm)","0.354"" (9.00mm)","0.787"" (20.00mm)","Wire Leads","-","10 Ohms","Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/PG35S-D48-HHC2_Standard.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/PG35S-D48-HHC2.jpg,P14336-ND,PG35S-D48-HHC2,NMB Technologies Corporation,STEP MOTOR PM GEARED BIPOLAR 24V,160,0,"36.61000","0","1","PG","Active","Permanent Magnet Gear Motor","Bipolar","24VDC","250mA","1698","0.212°","-","99.1 / 700","Round - 1.378"" Dia (35.00mm)","-","0.197"" (5.00mm)","0.709"" (18.00mm)","1.650"" (42.00mm)","Wire Leads","-","28 Ohms","Double Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmotors%2Fqmot-qsh2818%2F_datasheet%2FQSH2818_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/QSH2818-32-07-006.jpg,1460-1072-ND,QSH2818-32-07-006,Trinamic Motion Control GmbH,STEP MOTOR HYBRID BIPOLAR 3.8V,120,0,"37.53000","0","1","QMot QSH2818","Active","Hybrid","Bipolar","3.8VDC","670mA","200","1.8°","±5%","8.49 / 60","Square - 1.100"" x 1.100"" (28.00mm x 28.00mm)","11","0.197"" (5.00mm)","0.787"" (20.00mm)","0.905"" (22.98mm)","Wire Leads","-20°C ~ 50°C","5.6 Ohms","Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmotors%2Fqmot-qsh4218%2F_datasheet%2FQSH4218_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/QSH4218-35-10-027.jpg,1460-1074-ND,QSH4218-35-10-027,Trinamic Motion Control GmbH,STEP MOTOR HYBRID BIPOLAR 5.3V,662,0,"38.43000","0","1","QMot QSH4218","Active","Hybrid","Bipolar","5.3VDC","1A","200","1.8°","±5%","38.2 / 270","Square - 1.665"" x 1.665"" (42.30mm x 42.30mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (30.99mm)","Wire Leads","-20°C ~ 50°C","5.3 Ohms","Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/SMS6-20.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/MFG_SMS6-20.jpg,P121388-ND,SMS6-F20-HHE2,NMB Technologies Corporation,STEPPER MOTOR PM BIPOLAR 3V,138,0,"39.10000","0","1","-","Active","Permanent Magnet","Bipolar","3VDC","-","20","18°","-","-","Round - 0.236"" Dia (6.00mm)","-","0.031"" (0.80mm)","-","-","Through Hole","-10°C ~ 50°C","20 Ohms","Round Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmotors%2Fqmot-qsh4218%2F_datasheet%2FQSH4218_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/QSH4218-51-10-049.jpg,1460-1076-ND,QSH4218-51-10-049,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 5V,167,0,"46.28000","0","1","QMot QSH4218","Active","Hybrid","Bipolar","5VDC","1A","200","1.8°","±5%","69.39 / 490","Square - 1.665"" x 1.665"" (42.30mm x 42.30mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (30.99mm)","Wire Leads","-20°C ~ 50°C","5 Ohms","Flatted Shaft"
