Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Configuration","Copper Ports","Copper Type","Fiber Ports","Fiber Type","SFP/XFP Ports","Features","Distance","MTU","Voltage - Input","Connector Type","Mounting Type","Ingress Protection","Operating Temperature"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2902853.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2902853.JPG,277-11082-ND,2902853,Phoenix Contact,FIBER OPTIC CONVERTER,74,22,"370.00000","0","1","-","-","Active","-","Fixed","1","10/100","1","100BASE-FX (Multimode)","-","-","10km","-","18 ~ 30VDC","RJ45, SC","DIN Rail","IP20","-40°C ~ 65°C"
-,-,1165-1229-ND,BB-850-15633,"B&B SmartWorx, Inc.",IMCV SNMP MANAGEABLE CONVRTR,50,3,"330.00000","0","1","Bulk","iMcV","Active","Managed","Modular - Card","1","10/100","1","100BASE-FX (Singlemode)","-","LFPT, SNMP Manageable","20km","-","-","RJ45, SC","Rack Mount","-","0°C ~ 50°C"
http://www.henrich-inc.com/products/switches/DATASHEET/HEMC3-Datasheet.pdf,-,1953-1043-ND,HEMC3-SST-VLW,Henrich Electronics Corporation,MEDIA CONVERTER DIN-RAIL UNMANAG,39,0,"118.35000","0","1","-","HEMC3","Active","Unmanaged","Fixed","2","10/100","1","100BASE-FX (Singlemode)","-","-","20km","-","12 ~ 36VDC","ST","DIN Rail","IP30","-40°C ~ 75°C"
http://advdownload.advantech.com/productfile/PIS/BB-EIR-M-SC/Product%20-%20Datasheet/EIR-x-Sx-Series_3117ds20171129110905.pdf,//media.digikey.com/Photos/B&B%20Electronics/EIR-M-ST.jpg,1165-1034-ND,BB-EIR-M-ST,"B&B SmartWorx, Inc.",MEDIA CONVERTER DIN MOUNT,26,0,"229.00000","0","1","Bulk","-","Obsolete","-","Fixed","1","10/100","1","100BASE-FX (Multimode)","-","LFPT","-","-","10 ~ 48VDC","RJ45, ST","DIN Rail","-","-40°C ~ 85°C"
http://advdownload.advantech.com/productfile/PIS/BB-232BRC/Product%20-%20Datasheet/232BRC_3017ds20171211233055.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_232BRC.jpg,1165-1264-ND,BB-232BRC,"B&B SmartWorx, Inc.",RS-232 BAUD RATE/ FORMAT CONV,6,6,"248.85000","0","1","-","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2891315,%206,%207,%208_Ds.pdf",//media.digikey.com/Photos/Phoenix%20Photos/2891316.JPG,277-11940-ND,2891316,Phoenix Contact,FO CONVERTER ST DUPLEX,24,0,"383.00000","0","1","-","-","Active","Unmanaged","Fixed","1","10/100","1","100BASE-FX (Multimode)","-","-","10km","-","12 ~ 48VDC","RJ45, ST","DIN Rail","IP20","-40°C ~ 75°C"
http://www.redlion.net/files/138/4020,//media.digikey.com/Photos/Red%20Lion%20Photos/MFG_Sixnet-SLX-3EG.jpg,RLC655-ND,SLX-3EG-1SFP,Red Lion Controls,3P GE MEDIA CON W/SFP,22,0,"410.28000","0","1","Bulk","-","Active","Unmanaged","Fixed + SFP","1","10/100/1000","Up to 1","SFP","1 (SFP)","-","Varies","Jumbo","10 ~ 30VDC","RJ45, SFP","Chassis Mount","-","-40°C ~ 85°C"
http://www.redlion.net/files/138/3459,//media.digikey.com/Photos/Red%20Lion%20Photos/MFG_N-Tron-1002MC.jpg,RLC645-ND,1002MC-SX,Red Lion Controls,1002MC-SX MEDIA CONVERTER,22,0,"419.83000","0","1","Bulk","N-TRON®","Active","Unmanaged","Fixed + SFP","1","10/100/1000","Up to 1","SFP","1 (SFP)","-","Varies","-","10 ~ 30VDC","RJ45, SFP","DIN Rail","-","-40°C ~ 85°C"
http://advdownload.advantech.com/productfile/PIS/BB-856-18831/Product%20-%20Datasheet/IE-Giga-MiniMc_1917ds20171129111220.pdf,//media.digikey.com/photos/B&B%20Electronics/856-18830.jpg,1165-1106-ND,BB-856-18830,"B&B SmartWorx, Inc.",NETWORKING HARDWARE,5,3,"450.00000","0","1","Bulk","IE-Giga-MiniMc","Active","Unmanaged","Fixed","1","10/100/1000","1","Gigabit (Multimode)","-","-","550m","1536","100 ~ 240VAC","RJ45, SC","Chassis Mount","-","-25°C ~ 85°C"
http://www.atop.com.cn/atop/mw/cufiles/files/download_dm/iapl_dm/CA_EF24%20Series(1%20Fiber)_V2.pdf,//media.digikey.com/Photos/ATOP-Technologies/EF24-1G-1SFP.jpg,EF24-1G-1SFP-ND,EF24-1G-1SFP,ATOP Technologies,INDUSTRIAL GIGABIT FAST ETHERNET,4,0,"95.34000","0","1","-","EF24","Active","Unmanaged","Fixed + SFP","1","10/100/1000","Up to 1","SFP","1 (SFP)","LFPT","Varies","-","-","RJ45, SFP","DIN Rail","IP30","-10°C ~ 70°C"
