Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Interface","Number of Ports"
https://www.netburner.com/download/sbl2e-datasheet/?wpdmdl=4158&ind=0,//media.digikey.com/Photos/NetBurner%20Photos/MFG_SBL2E-100IR.JPG,528-1016-ND,SBL2E-100IR,NetBurner Inc.,SERV/SER TO ETHERNET UART,165,0,"31.50000","0","1","SBL2e","Active","Server, Serial to Ethernet","UART","2"
//media.digikey.com/pdf/Data%20Sheets/Atop%20Technologies%20PDFs/SE5001_PB.pdf,//media.digikey.com/Photos/ATOP-Technologies/SE5001(DB).jpg,SE5001(DB)-ND,SE5001(DB),ATOP Technologies,ETHERNET TO SER RS-232/422/485,114,0,"82.42000","0","1","-","Active","Ethernet to Serial","RS-232/422/485","1"
http://www.lantronix.com/wp-content/uploads/pdf/Micro125_PB.pdf,//media.digikey.com/Photos/LANTRONIX/MO11AA003-01R.jpg,1829-1017-ND,MO11AA003-01R,"Lantronix, Inc.",ETHERNET TO SERIAL TTL,259,0,"100.00000","0","1","Micro125","Active","Ethernet to Serial","TTL","2"
http://advdownload.advantech.com/productfile/PIS/BB-VESP211/Product%20-%20Datasheet/VESP211-Series_1717ds20170426042804.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_VESP211-232.jpg,1165-1116-ND,BB-VESP211-232,"B&B SmartWorx, Inc.",ETHERNET TO SERIAL RS-232,31,332,"135.96000","0","1","-","Active","Ethernet to Serial","RS-232","1"
http://advdownload.advantech.com/productfile/PIS/BB-VESP211/Product%20-%20Datasheet/VESP211-Series_1717ds20170426042804.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_VESP211-485.jpg,1165-1103-ND,BB-VESP211-485,"B&B SmartWorx, Inc.",ETHERNET TO SERIAL RS-422/485,28,4,"135.96000","0","1","-","Active","Ethernet to Serial","RS-422/485","1"
https://www.lantronix.com/wp-content/uploads/pdf/UDS1100_UG.pdf,//media.digikey.com/Photos/LANTRONIX/UD1100002-01.jpg,1829-1037-ND,UD1100002-01,"Lantronix, Inc.",ETHERNET TO SER RS-232/422/485,66,0,"149.00000","0","1","UDS1100","Active","Ethernet to Serial","RS-232/422/485","1"
https://www.netburner.com/download/sb700ex-datasheet/?wpdmdl=4153&ind=0,//media.digikey.com/photos/NetBurner%20Photos/SB700EX-100IR.jpg,528-1012-ND,SB700EX-100IR,NetBurner Inc.,SERV/SER TO ETHER RS-232/422/485,75,0,"179.00000","0","1","SB700EX","Active","Server, Serial to Ethernet","RS-232/422/485","2"
https://www.digi.com/pdf/prd_ds_digionesp.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_70001851.jpg,602-1075-ND,70001851,Digi International,ETHERNET TO SER RS-232/422/485,104,0,"182.00000","0","1","DigiOne® SP","Active","Ethernet to Serial","RS-232/422/485","1"
http://www.lantronix.com/wp-content/uploads/pdf/UDS1100-IAP_PB.pdf,//media.digikey.com/photos/LANTRONIX/ED1100002-01.jpg,1829-1022-ND,UD1100IA2-01,"Lantronix, Inc.",ETHERNET TO SER RS-232/422/485,70,0,"214.00000","0","1","UDS1100-IAP","Active","Ethernet to Serial","RS-232/422/485","1"
https://www.digi.com/pdf/prd_usb_anywhereusb.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/AW-USB-2.jpg,602-1546-ND,AW-USB-2,Digi International,ETHERNET TO USB USB 2.0,115,0,"287.00000","0","1","AnywhereUSB®/2","Active","Ethernet to USB","USB 2.0","2"
