Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Configuration","Number of Ports","Copper Ports","Copper Type","Fiber Ports","Fiber Type","SFP/XFP Ports","SFP/XFP Type","PoE Ports","Connector Type","Voltage - Input","Ingress Protection","Mounting Type","Operating Temperature"
//media.digikey.com/PDF/Data%20Sheets/Assmann%20PDFs/DA-70216.pdf,//media.digikey.com/Photos/Assmann%20Photos/MFG_DA-70216.jpg,AE10699-ND,DA-70216,Assmann WSW Components,USB HUB 2.0 4-PORT MINI-HUB,507,0,"10.70000","0","1","Digitus®","Active","Hub, USB","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/u360004slim.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U360-004-SLIM.JPG,TL1393-ND,U360-004-SLIM,Tripp Lite,4-PORT ULTRA-SLIM PORTABLE USB 3,400,0,"21.33000","0","1","-","Active","Hub, USB","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/u223007.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U223-007.jpg,TL1237-ND,U223-007,Tripp Lite,7-PORT IND USB 2.0 HUB,277,0,"29.90000","0","1","-","Active","Hub, USB","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/u223010.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U223-010.jpg,TL1228-ND,U223-010,Tripp Lite,10-PORT USB 2.0 HI-SPEED HUB,168,0,"40.36000","0","1","-","Active","Hub, USB","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/u222007r.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U222-007-R.jpg,TL431-ND,U222-007-R,Tripp Lite,HUB USB 7-PORT 2.0 & 1.1,128,0,"40.88000","0","1","-","Active","Hub, USB","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/ng8p.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_NG8P.jpg,TL1549-ND,NG8P,Tripp Lite,NETWORK SWITCH-UNMANAGED 8 PORT,151,0,"43.97000","0","1","-","Active","Switch - Unmanaged","Fixed","8","8","10/100/1000","-","-","-","-","-","RJ45","5VDC","-","Chassis Mount","0°C ~ 40°C"
https://assets.tripplite.com/product-pdfs/en/u360007.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U360-007.jpg,TL826-ND,U360-007,Tripp Lite,USB 3 CHARGING HUB 7-PORT X USB,155,0,"65.38000","0","1","-","Active","Hub, USB","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/u223004ind.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U223-004-IND.jpg,TL822-ND,U223-004-IND,Tripp Lite,4-PORT IND USB 2.0 HUB,109,0,"76.06000","0","1","-","Active","Hub, USB","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
http://select.phoenixcontact.com/phoenix/dwld/2642_en_H.pdf?cp=y&asid2=910529583923132,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2891001.jpg,277-2437-ND,2891001,Phoenix Contact,NETWORK SWITCH-UNMANAGED 5 PORT,201,1484,"94.16000","0","1","-","Active","Switch - Unmanaged","Fixed","5","5","10/100","-","-","-","-","-","RJ45","12 ~ 48VDC","IP20","DIN Rail","-10°C ~ 60°C"
http://advdownload.advantech.com/productfile/PIS/BB-ESW105/Product%20-%20Datasheet/ESW10x-Series_4814ds20171129111002.pdf,//media.digikey.com/Photos/B&B%20Electronics/ESW105.JPG,1165-1042-ND,BB-ESW105,"B&B SmartWorx, Inc.",NETWORK SWITCH-UNMANAGED 5 PORT,97,268,"99.00000","0","1","ESW","Active","Switch - Unmanaged","Fixed","5","5","10/100","-","-","-","-","-","RJ45","12 ~ 36VDC, 10 ~ 24VAC","IP30","DIN Rail","-10°C ~ 60°C"
