Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
-,//media.digikey.com/photos/Luxo%20Photos/31640.jpg,L540-ND,31640,Luxo,BULB 22W T-9 FOR KFM/LC/FM SERIE,37,0,"19.33000","0","1","-","Active","Bulb, Fluorescent","Magnifiers: IFM, KFM, LC Series"
http://www.avenconnect.com/product_sheets/26700-401_Accessories.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-401-ICB.jpg,243-1288-ND,26700-401-ICB,Aven Tools,IMAGE CAPTURE BOX HDMI,4,0,"355.27000","0","1","-","Active","Image Capture Box","HDMI Devices"
-,//media.digikey.com/photos/Luxo%20Photos/36205.jpg,L5205-ND,36205,Luxo,BULB 13W FLUORESCENT REPLACEMENT,9,0,"20.66000","0","1","-","Active","Bulb, Fluorescent","Magnifiers: Wave+Plus Series"
http://www.avenconnect.com/product_sheets/26700-401_Accessories.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-400-L-4XLF.jpg,243-1296-ND,26700-400-L-4XLF,Aven Tools,CYCLOPS 4X LONG FOCUS LENS,8,0,"84.13000","0","1","Cyclops","Active","Lens","Cyclops Microscopes"
http://www.avenconnect.com/product_sheets/26700-401_Accessories.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-400-GN02.jpg,243-1297-ND,26700-400-GN02,Aven Tools,CYCLOPS LASER POINTER,2,0,"85.85000","0","1","Cyclops","Active","Laser Pointer","Cyclops Microscopes"
http://www.avenconnect.com/product_sheets/26700-401_Accessories.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-400-PL01.jpg,243-1295-ND,26700-400-PL01,Aven Tools,CYCLOPS OBJECTIVE LENS 4X WITH P,4,0,"138.88000","0","1","Cyclops","Active","Lens","Cyclops Microscopes"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-08-70-000.JPG,1601-1400-ND,35-08-70-000,Excelitas Technologies,C\CS CAMERA MOUNT,28,0,"53.38000","0","1","Optem®","Active","Camera Mount","Optem® Fusion Micro-Inspection Lens System"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/30-16-01-000.JPG,1601-1344-ND,30-16-01-000,Excelitas Technologies,10MM FIBER OPTIC ADAPTER,8,0,"67.10000","0","1","Optem®","Active","Adapter","Optem® Fusion Micro-Inspection Lens System"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-01-00-000.JPG,1601-1362-ND,35-01-00-000,Excelitas Technologies,LOWER FUNC. MOD. BASIC,8,0,"67.10000","0","1","Optem®","Active","Lower Function Module","Optem® Fusion Micro-Inspection Lens System"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Photos/Excelitas-Technologies/35-07-21-000.JPG,1601-1384-ND,35-07-21-000,Excelitas Technologies,FILTER HOLDER 25.4MM,3,0,"78.00000","0","1","Optem®","Active","Filter Holder","Optem® Fusion Micro-Inspection Lens System"
