Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Magnification Range"
-,-,1844-1103-ND,AO-6D,O.C. White Co.,LENS SIL GASKET 6 DIOPTER 76MM,24,0,"65.00000","0","1","-","Active","Lens","1.5x"
-,-,1844-1102-ND,AO-4D,O.C. White Co.,LENS SIL GASKET 4 DIOPTER 76MM,24,0,"65.00000","0","1","-","Active","Lens","1x"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-00-03-000.JPG,1601-1354-ND,35-00-03-000,Excelitas Technologies,"LOWER LENS,2X \ 100FL",9,0,"241.90000","0","1","Optem®","Active","Lens","2x"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-00-06-000.JPG,1601-1357-ND,35-00-06-000,Excelitas Technologies,"LOWER LENS,1.25X \ 160FL",9,0,"241.90000","0","1","Optem®","Active","Lens","1.25x"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-00-08-000.JPG,1601-1358-ND,35-00-08-000,Excelitas Technologies,"LOWER LENS,1X \ 200FL",8,0,"241.90000","0","1","Optem®","Active","Lens","1x"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-00-05-000.JPG,1601-1356-ND,35-00-05-000,Excelitas Technologies,"LOWER LENS,1.43X \140FL",5,0,"241.90000","0","1","Optem®","Active","Lens","1.43x"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-00-09-000.JPG,1601-1359-ND,35-00-09-000,Excelitas Technologies,"LOWER LENS,0.67X\ 300FL",5,0,"241.90000","0","1","Optem®","Active","Lens","0.67x"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-00-10-000.JPG,1601-1360-ND,35-00-10-000,Excelitas Technologies,"LOWER LENS,0.5X\ 400FL",5,0,"241.90000","0","1","Optem®","Active","Lens","0.5x"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-00-04-000.JPG,1601-1355-ND,35-00-04-000,Excelitas Technologies,"LOWER LENS,1.67X \120FL",3,0,"241.90000","0","1","Optem®","Active","Lens","1.67x"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-00-01-000.JPG,1601-1352-ND,35-00-01-000,Excelitas Technologies,"LOWER LENS,3X \ 67FL",5,0,"320.08000","0","1","Optem®","Active","Lens","3x"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-00-02-000.JPG,1601-1353-ND,35-00-02-000,Excelitas Technologies,"LOWER LENS,4X \ 50FL",4,0,"320.08000","0","1","Optem®","Active","Lens","4x"
-,//media.digikey.com/photos/Excelitas-Technologies/28-21-05-001.JPG,1601-1334-ND,28-21-05-001,Excelitas Technologies,OPTEM 5X M PLAN APO OBJECTIVE,3,0,"758.70000","0","1","Optem®","Active","Eyepiece","5x"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/28-21-10-000.JPG,1601-1335-ND,28-21-10-000,Excelitas Technologies,OPTEM 10X M PLAN APO OBJECTIVE,10,0,"918.00000","0","1","Optem®","Active","Eyepiece","10x"
-,//media.digikey.com/Photos/Excelitas-Technologies/28-21-02-001.JPG,1601-1333-ND,28-21-02-001,Excelitas Technologies,OPTEM 2X M PLAN APO OBJECTIVE,3,0,"1148.85000","0","1","Optem®","Active","Eyepiece","2x"
-,//media.digikey.com/photos/Excelitas-Technologies/28-21-11-001.JPG,1601-1336-ND,28-21-11-001,Excelitas Technologies,OPTEM 20X M PLAN APO OBJECTIVE,2,0,"2174.90000","0","1","Optem®","Active","Eyepiece","20x"
-,//media.digikey.com/photos/Excelitas-Technologies/28-21-50-001.JPG,1601-1337-ND,28-21-50-001,Excelitas Technologies,OPTEM 50X M PLAN APO OBJECTIVE,2,0,"3079.70000","0","1","Optem®","Active","Eyepiece","50x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26110.pdf,//media.digikey.com/Photos/Aven%20Photos/26110.jpg,243-1416-ND,26110,Aven Tools,LENS 2.5X,12,0,"41.85000","0","1","-","Active","Lens","2.5x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26107.pdf,//media.digikey.com/Photos/Aven%20Photos/26107.JPG,243-1344-ND,26107,Aven Tools,LENS 1.5X,6,0,"41.85000","0","1","-","Active","Lens","1.5x"
http://www.avenconnect.com/product_sheets/26501-LED-INX_Product_Sheet.pdf,//media.digikey.com/Photos/Aven%20Photos/26501-INX.JPG,243-1556-ND,26501-INX-RL5D,Aven Tools,LENS FOR IN-X 5 DIOPTER,13,0,"43.33000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26112.pdf,//media.digikey.com/Photos/Aven%20Photos/26112.jpg,243-1345-ND,26112,Aven Tools,LENS 3.5X,99,0,"47.62000","0","1","-","Active","Lens","3.5x"
http://www.avenconnect.com/product_sheets/26700-401_Accessories.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-400-L10X.jpg,243-1347-ND,26700-400-L10X,Aven Tools,LENS 10X,7,0,"50.50000","0","1","Cyclops","Active","Lens","10x"
