Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Cable Length"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/1/,//media.digikey.com/Photos/OC-White-Co/MFG_LV2000-B.JPG,1844-1080-ND,LV2000-B,O.C. White Co.,LED RING LIGHT 2.35"" ID,11,0,"349.00000","0","1","Micro-Lite®","Active","LED Ring Light, 2.35"" ID","-"
http://www.avenconnect.com/product_sheets/26200B-214.pdf,//media.digikey.com/Photos/Aven%20Photos/26200B-214.jpg,243-1512-ND,26200B-214,Aven Tools,LED RING LIGHT 2.76"" ID,4,0,"134.08000","0","1","-","Active","LED Ring Light, 2.76"" ID","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26200B-211.pdf,//media.digikey.com/Photos/Aven%20Photos/26200B-211.jpg,243-1417-ND,26200B-211,Aven Tools,LED RING LIGHT 1.57"" ID,2,0,"143.17000","0","1","-","Active","LED Ring Light, 1.57"" ID","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/1/,//media.digikey.com/Photos/OC-White-Co/MFG_LV2000.JPG,1844-1079-ND,LV2000,O.C. White Co.,LED RING LIGHT 2.35"" ID,2,0,"349.00000","0","1","Micro-Lite®","Active","LED Ring Light, 2.35"" ID","-"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/Industrial_Catalog.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_UV2000-B.JPG,1844-1083-ND,UV2000-B,O.C. White Co.,LED RING LIGHT,2,0,"459.00000","0","1","Micro-Lite®","Active","LED Ring Light","-"
//media.digikey.com/pdf/Data%20Sheets/Excelitas%20PDFs/OTFI-01XX.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/MFG_OTFI-0100.jpg,OTFI-0100-ND,OTFI-0100,Excelitas Technologies,FIBER OPTIC ILLUMINATOR,17,0,"574.56000","0","1","-","Active","Fiber Optic Illuminator","-"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-07-50-000-2-of-2.jpg,1601-1388-ND,35-07-50-000,Excelitas Technologies,LED COAX ILLUMINATOR,1,0,"649.60000","0","1","Optem®","Active","LED Illuminator","11.8"" (30cm)"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/Industrial_Catalog.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_FL3000-A.JPG,1844-1064-ND,FL3000-A,O.C. White Co.,FIBER OPTIC GOOSENECK LIGHT,7,0,"699.00000","0","1","Micro-Lite®","Active","Fiber Optic Gooseneck Light","36.0"" (914.40mm)"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/29-60-83-000.JPG,1601-1339-ND,29-60-83-000,Excelitas Technologies,110V HALOGEN ILLUMINATOR,2,0,"812.70000","0","1","Optem®","Active","Halogen Illuminator","-"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/29-60-84-000.JPG,1601-1340-ND,29-60-84-000,Excelitas Technologies,220V HALOGEN ILLUMINATOR,2,0,"812.70000","0","1","Optem®","Active","Halogen Illuminator","-"
