Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Lens Diameter","Magnification Range"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26000.pdf,//media.digikey.com/Photos/Aven%20Photos/26000.JPG,243-1018-ND,26000,Aven Tools,MAGNIFIER DBL CLAMP W/STAND,340,0,"10.78000","0","1","-","Active","Magnifier, Stand","2.50"" (63.50mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26034.pdf,//media.digikey.com/Photos/Aven%20Photos/26034.JPG,243-1021-ND,26034,Aven Tools,MAGNIFIER EYE LOUPE 10X 1"" LENS,206,0,"2.92000","0","1","-","Active","Loupe","1.00"" (25.40mm)","10x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26034-LED.pdf,//media.digikey.com/Photos/Aven%20Photos/26034-LED.JPG,243-1123-ND,26034-LED,Aven Tools,EYE LOUPE WITH LED LIGHT,375,0,"5.72000","0","1","-","Active","Loupe","1.00"" (25.40mm)","10x"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/291_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_291.jpg,1528-2144-ND,291,Adafruit Industries LLC,MAGNIFIER STAND 2.5"" 4X,267,0,"6.00000","0","1","-","Active","Magnifier, Stand","2.50"" (63.50mm)","4x"
https://www.molex.com/webdocs/datasheets/pdf/en-us/0638002810_APPLICATION_TOOLIN.pdf,//media.digikey.com/Photos/Molex/MFG_%200638002810.jpg,WM9650-ND,0638002810,Molex,EYE LOUPE 10X MAGNIFIER LENS,55,1100,"9.46000","0","1","T2505","Active","Loupe","-","10x"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-09317_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-09317.jpg,1568-1615-ND,TOL-09317,SparkFun Electronics,MAGNIFIER,34,0,"9.95000","0","1","-","Active","Magnifier, Stand","-","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-09316_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-09316.jpg,1568-1614-ND,TOL-09316,SparkFun Electronics,LOUPE 1"" 10X,30,0,"9.95000","0","1","-","Active","Loupe","1.00"" (25.40mm)","10x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26106.pdf,//media.digikey.com/Photos/Aven%20Photos/26106.jpg,243-1195-ND,26106,Aven Tools,OPTIVISOR 3-1/2X,44,0,"69.02000","0","1","Optivisor","Active","Magnifier, Headband","-","3.5x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26051.pdf,//media.digikey.com/Photos/Aven%20Photos/26051.JPG,243-1024-ND,26051,Aven Tools,MAGNIFIER 10X 1"" DIA,70,0,"7.28000","0","1","-","Active","Loupe","1.00"" (25.40mm)","10x"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/26225.pdf,//media.digikey.com/Photos/Aven%20Photos/26225-1.jpg,243-1124-ND,26225,Aven Tools,HEADBAND MAGNIFIER,38,0,"12.00000","0","1","OptiVue","Active","Magnifier, Headband","-","2.25x"
