Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Camera Type","Magnification Range","Field of View","Working Distance","Illumination","Display Style"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/58/,//media.digikey.com/Photos/OC-White-Co/MFG_TKSS-F.JPG,1844-1012-ND,TKSS-F,O.C. White Co.,VIDEO INSPECT SYST CMOS 1X-40X,6,0,"3295.02000","0","1","Super-Scope®","Active","CMOS, 5MP","1x ~ 40x","-","6.00"" ~ Infinity (152.4mm ~ Infinity)","Fluorescent Ring Light","12"" LCD"
http://www.avenconnect.com/product_sheets/26700-108_product%20sheet_print.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-108.jpg,243-1299-ND,26700-108,Aven Tools,VIDEO INSPECT SYST CMOS 8X-80X,2,0,"2550.87000","0","1","Mighty Mag","Active","CMOS 1/2.8""","8x ~ 80x","0.38"" ~ 3.63"" (9.6mm ~ 92.2mm)","0.79"" ~ 11.81"" (20mm ~ 300mm)","LED (96)","22"" Color HD LCD"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/82846_ET20BorescopeSellSheet-WR.pdf,-,1742-ET20-ND,ET20,"Klein Tools, Inc.",WIFI BORESCOPE,3,0,"85.49000","0","1","-","Active","-","-","-","-","LED","-"
http://www.extech.com/resources/BR80_DS-en.pdf,//media.digikey.com/Photos/FLIR/MFG_BR80.jpg,BR80-ND,BR80,FLIR Extech,VIDEO INSPECTION SYSTEM,2,0,"129.99000","0","1","Extech","Active","-","-","-","-","LED (4)","2.4"" Color TFT LCD"
http://www.extech.com/resources/BR150_DS-en.pdf,//media.digikey.com/photos/FLIR/BR150.jpg,BR150-ND,BR150,FLIR Extech,VIDEO INSPECTION SYSTEM,3,0,"149.99000","0","1","Extech","Active","-","-","-","-","LED","2.4"" Color LCD"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/ET510.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_ET510.JPG,1742-1210-ND,ET510,"Klein Tools, Inc.",VIDEO INSPECTION SYSTEM,4,0,"170.41000","0","1","-","Active","-","-","-","-","LED","2.4"" LCD"
http://www.extech.com/resources/BR250_DS-en.pdf,//media.digikey.com/Photos/FLIR/BR250.jpg,BR250-ND,BR250,FLIR Extech,VIDEO INSPECTION SYSTEM,5,0,"249.99000","0","1","Extech","Active","-","-","-","-","LED","3.5"" Color TFT LCD"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/58/,//media.digikey.com/Photos/OC-White-Co/MFG_TKDMACZ.JPG,1844-1003-ND,TKDMACZ,O.C. White Co.,VIDEO INSPECT SYST CMOS 1X-60X,2,0,"2796.02000","0","1","Macro Zoom™","Active","CMOS, 5MP","1x ~ 60x","-","5.00"" ~ Infinity (127.0mm ~ Infinity)","Fiber Optic, Fluorescent, LED","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/58/,//media.digikey.com/Photos/OC-White-Co/MFG_TKMACZ-FA.jpg,1844-1006-ND,TKMACZ-FA,O.C. White Co.,VIDEO INSPECT SYST CMOS 1X-60X,2,0,"3096.02000","0","1","Macro Zoom™","Active","CMOS, 5MP","1x ~ 60x","-","5.00"" ~ Infinity (127.0mm ~ Infinity)","Fiber Optic, Fluorescent, LED","22"" LCD"
http://www.extech.com/resources/BR70_DS-en.pdf,-,BR70-ND,BR70,FLIR Extech,VIDEO BORESCOPE INSPECTION CAMER,2,0,"129.99000","0","1","Extech","Obsolete","-","-","-","-","LED (2)","2.4"" Color TFT LCD"
http://www.extech.com/resources/BR50_DS-en.pdf,-,BR50-ND,BR50,FLIR Extech,VIDEO BORESCOPE/CAMERA TESTER,2,0,"189.99000","0","1","Extech","Obsolete","-","-","-","-","LED (4)","2.4"" Color TFT LCD"
https://www.flir.com/globalassets/imported-assets/document/flir-vs70-brochure.pdf,//media.digikey.com/Photos/FLIR/MFG_VS70.jpg,VS70-ND,VS70,FLIR,VIDEO INSPECTION SYSTEM,4,0,"1999.01000","0","1","VS","Active","-","-","-","-","LED","5.7"" Color LCD"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/58/,//media.digikey.com/Photos/OC-White-Co/MFG_TKMACZ-F.JPG,1844-1005-ND,TKMACZ-F,O.C. White Co.,VIDEO INSPECT SYST CMOS 1X-60X,2,0,"3295.02000","0","1","Macro Zoom™","Obsolete","CMOS, 5MP","1x ~ 60x","-","5.00"" ~ Infinity (127.0mm ~ Infinity)","Fiber Optic, Fluorescent, LED","22"" LCD"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-103-10.jpg,243-1500-ND,26700-103-10,Aven Tools,VIDEO INSP SYST CMOS 3.7X-61.9X,2,0,"3750.08000","0","1","Macro Zoom","Active","CMOS 2MP","3.7x ~ 61.9x","0.48"" ~ 11.18"" (12.26mm ~ 284.00mm)","4.64"" ~ 11.18"" (117.8mm ~ 284.0mm)","LED","22"" HD LCD"
http://www.extech.com/resources/BR200_DS-en.pdf,//media.digikey.com/photos/FLIR/BR200.jpg,BR200EXTECH-ND,BR200,FLIR Extech,VIDEO INSPECTION SYSTEM,1,0,"249.99000","0","1","Extech","Active","-","-","-","-","LED","3.5"" Color TFT LCD"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_TestandMeasurement.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_ET500.JPG,ET500-ND,ET500,"Klein Tools, Inc.",VIDEO INSPECTION SYSTEM,1,0,"350.90000","0","1","-","Active","-","-","-","-","LED","3.2"" TFT LCD"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/58/,//media.digikey.com/Photos/OC-White-Co/MFG_TKDMACZ.JPG,1844-1004-ND,TKMACZ,O.C. White Co.,VIDEO INSPECT SYST CMOS 1X-60X,1,0,"3096.02000","0","1","Macro Zoom™","Active","CMOS, 5MP","1x ~ 60x","-","5.00"" ~ Infinity (127.0mm ~ Infinity)","Fiber Optic, Fluorescent, LED","22"" LCD"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/58/,//media.digikey.com/Photos/OC-White-Co/MFG_TKSS.JPG,1844-1011-ND,TKSS,O.C. White Co.,VIDEO INSPECT SYST CMOS 1X-40X,1,0,"3096.02000","0","1","Super-Scope®","Active","CMOS, 5MP","1x ~ 40x","-","6.00"" ~ Infinity (152.4mm ~ Infinity)","Fiber Optic, Fluorescent, LED","12"" LCD"
-,-,243-1547-ND,26700-120,Aven Tools,VIDEO INSPECT SYST CMOS 3X-80X,1,0,"1865.41000","0","1","-","Active","CMOS 1/2.8""","3x ~ 80x","-","6.00"" (152.40mm)","LED (96)","22"" HD LCD"
-,-,243-1548-ND,26700-121,Aven Tools,VIDEO INSPECT SYST CMOS 3X-80X,1,0,"2121.45000","0","1","-","Active","CMOS 1/2.8""","3x ~ 80x","-","6.00"" (152.40mm)","LED (96)","22"" HD LCD"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-102-10.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-102-10.jpg,243-1499-ND,26700-102-10,Aven Tools,VIDEO INSPECT SYST CMOS 21X-133X,1,0,"3744.48000","0","1","VIS-6000","Active","CMOS 1/3""","21x ~ 133x","0.08"" ~ 0.50"" (1.9mm ~ 12.7mm)","5.63"" ~ 7.36"" (143mm ~ 187mm)","Fiber Optic Illuminator","-"
http://tdktrs.com/images/uploads/data-sheets/TDK-VC-04.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_VC-04-PT-NTSC-AC.jpg,VC-04-PT-NTSC-AC-ND,VC-04-PT-NTSC-AC,TDK Corporation,VIDEO INSPECT SYST CCD 12X-26X,0,0,"8470.80000","0","1","-","Active","CCD 1/4""","12x ~ 26x","-","-","-","-"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-102-30.jpg,26700-102-30-ND,26700-102-30,Aven Tools,VIDEO INSPECT SYST CMOS 50X-340X,0,0,"1812.96000","0","1","Micro Zoom","Active","CMOS 0.9MP","50x ~ 340x","0.05"" ~ 0.35"" (1.30mm ~ 8.80mm)","1.81"" (46.0mm)","LED","22"" Color HD LCD"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-102-00.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-102-00.jpg,26700-102-00-ND,26700-102-00,Aven Tools,VIDEO INSPECT SYST CMOS 21X-133X,0,0,"2242.35000","0","1","VIS-6000","Active","CMOS 3.1MP","21x ~ 133x","0.08"" ~ 0.50"" (1.9mm ~ 12.7mm)","5.63"" ~ 7.36"" (143mm ~ 187mm)","Fiber Optic Illuminator","15"" LCD"
http://www.flirmedia.com/MMC/THG/Brochures/TM_0048/TM_0048_US.pdf,-,VS70-1-ND,VS70-1,FLIR,VIDEO INSPECTION SYSTEM CMOS,0,0,"2499.01000","0","1","VS","Active","CMOS","-","-","-","LED","5.7"" Color LCD"
http://www.avenconnect.com/product_sheets/26700-108_product%20sheet_print.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-109.jpg,243-1300-ND,26700-109,Aven Tools,VIDEO INSP SYST CMOS 57.6X-384X,0,0,"2526.59000","0","1","Mighty Mag","Active","CMOS 1/2.8""","57.6x ~ 384x","0.07"" ~ 0.63"" (1.8mm ~ 16mm)","1.38"" ~ 11.54"" (35mm ~ 293mm)","LED (96)","22"" Color HD LCD"
http://www.flirmedia.com/MMC/THG/Brochures/TM_0048/TM_0048_US.pdf,-,VS70-2-ND,VS70-2,FLIR,VIDEO INSPECTION SYSTEM CMOS,0,0,"2599.02000","0","1","VS","Active","CMOS","-","-","-","LED","5.7"" Color LCD"
http://www.flirmedia.com/MMC/THG/Brochures/TM_0048/TM_0048_US.pdf,-,VS70-1W-ND,VS70-1W,FLIR,VIDEO INSPECTION SYSTEM CMOS,0,0,"2899.02000","0","1","VS","Active","CMOS","-","-","-","LED","5.7"" Color LCD"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-103-00.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-103-00.jpg,26700-103-00-ND,26700-103-00,Aven Tools,VIDEO INSPECT SYST CMOS 1X-71X,0,0,"3166.11000","0","1","VIS-6000","Active","CMOS 1/3""","1x ~ 71x","8.82"" ~ 11.73"" (224mm ~ 298mm)","5.00"" ~ 48.00"" (127mm ~ 1.22m)","-","15"" LCD"
http://www.flirmedia.com/MMC/THG/Brochures/TM_0048/TM_0048_US.pdf,-,VS70-5-ND,VS70-5,FLIR,VIDEO INSPECTION SYSTEM CMOS,0,0,"3299.02000","0","1","VS","Active","CMOS","-","-","-","LED","5.7"" Color LCD"
http://www.flirmedia.com/MMC/THG/Brochures/TM_0048/TM_0048_US.pdf,-,VS70-6-ND,VS70-6,FLIR,VIDEO INSPECTION SYSTEM CMOS,0,0,"3399.02000","0","1","VS","Active","CMOS","-","-","-","LED","5.7"" Color LCD"
http://www.flirmedia.com/MMC/THG/Brochures/TM_0048/TM_0048_US.pdf,-,VS70-3-ND,VS70-3,FLIR,VIDEO INSPECTION SYSTEM CMOS,0,0,"3699.02000","0","1","VS","Active","CMOS","-","-","-","LED","5.7"" Color LCD"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-102-20.jpg,26700-102-20-ND,26700-102-20,Aven Tools,VIDEO INSP SYS CMOS 44.2X-176.9X,0,0,"4196.42000","0","1","Micro Zoom","Active","CMOS 2MP","44.2x ~ 176.9x","-","2.53"" (64.3mm)","LED","22"" HD LCD"
http://www.flirmedia.com/MMC/THG/Brochures/TM_0048/TM_0048_US.pdf,-,VS70-3W-ND,VS70-3W,FLIR,VIDEO INSPECTION SYSTEM CMOS,0,0,"4199.03000","0","1","VS","Active","CMOS","-","-","-","LED","5.7"" Color LCD"
http://www.flirmedia.com/MMC/THG/Brochures/TM_0048/TM_0048_US.pdf,-,VS70-KIT-ND,VS70-KIT,FLIR,VIDEO INSPECTION SYSTEM CMOS,0,0,"4299.03000","0","1","VS","Active","CMOS","-","-","-","LED","5.7"" Color LCD"
http://www.flirmedia.com/MMC/THG/Brochures/TM_0048/TM_0048_US.pdf,-,VS70-4-ND,VS70-4,FLIR,VIDEO INSPECTION SYSTEM CMOS,0,0,"4499.03000","0","1","VS","Active","CMOS","-","-","-","LED","5.7"" Color LCD"
http://www.flirmedia.com/MMC/THG/Brochures/TM_0048/TM_0048_US.pdf,-,VS70-4M-ND,VS70-4M,FLIR,VIDEO INSPECTION SYSTEM CMOS,0,0,"4499.03000","0","1","VS","Active","CMOS","-","-","-","LED","5.7"" Color LCD"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-102-15.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-102-15.jpg,26700-102-15-ND,26700-102-15,Aven Tools,VIDEO INS SYS USB 1.4MP 21X-133X,0,0,"4584.44000","0","1","VIS-6000","Active","USB 1.4MP","21x ~ 133x","0.08"" ~ 0.50"" (1.9mm ~ 12.7mm)","5.63"" ~ 7.36"" (143mm ~ 187mm)","Fiber Optic Illuminator","-"
http://www.flirmedia.com/MMC/THG/Brochures/TM_0048/TM_0048_US.pdf,-,VS70-KIT-W-ND,VS70-KIT-W,FLIR,VIDEO INSPECTION SYSTEM CMOS,0,0,"5199.03000","0","1","VS","Active","CMOS","-","-","-","LED","5.7"" Color LCD"
-,-,VPI-1000-ND,VPI-1000,MENDA/EasyBraid,VIDEO INSP SYS CCD 5X-245X 35LBS,0,0,"Obsolete","0","1","VPI-1000","Obsolete","CCD","5x ~ 245x","0.06"" ~ 0.25"" (1.5mm ~ 6.35mm)","0"" ~ 2.99"" (0mm ~ 76mm)","Metal Halide","17"" Color LCD"
-,//media.digikey.com/photos/Easy%20Braid%20Photos/MFG_VPI-1000XL.jpg,VPI-1000-XL-ND,VPI-1000-XL,MENDA/EasyBraid,VIDEO INSP SYS CCD 5X-245X 60LBS,0,0,"Obsolete","0","1","VPI-1000","Obsolete","CCD","5x ~ 245x","0.06"" ~ 0.25"" (1.5mm ~ 6.35mm)","0"" ~ 6.00"" (0mm ~ 152.4mm)","Metal Halide","17"" Color LCD"
-,//media.digikey.com/photos/Easy%20Braid%20Photos/MFG_SPI-50T.jpg,SPI-50T-ND,SPI-50T,MENDA/EasyBraid,VIDEO INSPECTION SYSTEM CMOS,0,0,"Obsolete","0","1","-","Obsolete","CMOS 3D","-","-","-","-","17"" Color LCD"
-,//media.digikey.com/photos/Easy%20Braid%20Photos/MFG_SPI-HS60.jpg,SPI-HS60-ND,SPI-HS60,MENDA/EasyBraid,VIDEO INSPECTION SYSTEM CMOS,0,0,"Obsolete","0","1","-","Obsolete","CMOS 3D","-","-","-","-","17"" Color LCD"
-,-,26700-133-ND,26700-133,Aven Tools,VIDEO INSPECT SYST CMOS 4.7X-29X,0,0,"Obsolete","0","1","iVue","Obsolete","CMOS 3MP","4.7x ~ 29x","1.07"" x 1.38""  ~ 0.17"" x 0.22"" (27.2mm x 35mm ~ 4.4mm x 5.7mm)","6.69"" (170mm)","Antenna Lighting","8.4"" LCD"
-,-,26700-134-ND,26700-134,Aven Tools,VIDEO INSPECT SYST CMOS 19X-128X,0,0,"Obsolete","0","1","iVue","Obsolete","CMOS 3MP","19x ~ 128x","0.27"" x 0.35""  ~ 0.04"" x 0.05"" (6.8mm x 8.9mm ~ 1.0mm x 1.3mm)","3.46"" (88mm)","Antenna Lighting","8.4"" LCD"
-,-,26700-133DBS-ND,26700-133DBS,Aven Tools,VIDEO INSPECT SYST CMOS 4.7X-29X,0,0,"Obsolete","0","1","iVue","Obsolete","CMOS 3MP","4.7x ~ 29x","1.07"" x 1.38""  ~ 0.17"" x 0.22"" (27.2mm x 35mm ~ 4.4mm x 5.7mm)","6.69"" (170mm)","Antenna Lighting","8.4"" LCD"
-,-,26700-134DBS-ND,26700-134DBS,Aven Tools,VIDEO INSPECT SYST CMOS 19X-128X,0,0,"Obsolete","0","1","iVue","Obsolete","CMOS 3MP","19x ~ 128x","0.27"" x 0.35""  ~ 0.04"" x 0.05"" (6.8mm x 8.9mm ~ 1.0mm x 1.3mm)","3.46"" (88mm)","Antenna Lighting","8.4"" LCD"
-,-,26800B-385DBS-ND,26800B-385DBS,Aven Tools,VIDEO INSP SYST CMOS 3.25X-22.5X,0,0,"Obsolete","0","1","iScope","Obsolete","CMOS 3MP","3.25x ~ 22.5x","0.19"" ~ 1.53"" (4.9mm ~ 38.9mm)","5.91"" (150mm)","Antenna Lighting","8.4"" LCD"
-,-,26700-134STA-ND,26700-134STA,Aven Tools,VIDEO INSPECT SYST CMOS 19X-128X,0,0,"Obsolete","0","1","iVue","Obsolete","CMOS 3MP","19x ~ 128x","0.27"" x 0.35""  ~ 0.04"" x 0.05"" (6.8mm x 8.9mm ~ 1.0mm x 1.3mm)","3.46"" (88mm)","Antenna Lighting","8.4"" LCD"
-,-,26800B-385STA-ND,26800B-385STA,Aven Tools,VIDEO INSP SYST CMOS 3.25X-22.5X,0,0,"Obsolete","0","1","iScope","Obsolete","CMOS 3MP","3.25x ~ 22.5x","0.19"" ~ 1.53"" (4.9mm ~ 38.9mm)","5.91"" (150mm)","Antenna Lighting","8.4"" LCD"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/Aven2007Catalog.pdf,-,26700-106-10-ND,26700-106-10,Aven Tools,VIDEO INSPECT SYST CCD 50X-300X,0,0,"Obsolete","0","1","i360","Obsolete","CCD 1/3""","50x ~ 300x","0.05"" ~ 0.36"" (1.3mm ~ 9.2mm)","2.19"" (55.5mm)","LED","15"" LCD"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/Aven2007Catalog.pdf,-,26700-106-14-ND,26700-106-14,Aven Tools,VID INSP SYST USB 1.4MP 50X-300X,0,0,"Obsolete","0","1","i360","Obsolete","USB 1.4MP","50x ~ 300x","0.05"" ~ 0.36"" (1.3mm ~ 9.2mm)","2.19"" (55.5mm)","LED","15"" LCD"
