Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Number of LEDs","Color","Controller Type","Utilized LED","Interface","Mounting Type","Size / Dimension"
https://optoelectronics.liteon.com/UPLOAD/DOWNLOAD/DS35-2018-0039/LTST-E683CEGBK.PDF,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-E683CEGBK.JPG,160-2265-2-ND,LTST-E683CEGBK,Lite-On Inc.,ADDRESSABLE LED DISCRETE SERIAL,2000,0,"0.19695","0","2000","-","Active","Discrete","1","Red, Green, Blue (RGB)","-","-","Serial","Surface Mount","3.20mm L x 2.80mm W"
https://optoelectronics.liteon.com/UPLOAD/DOWNLOAD/DS35-2018-0039/LTST-E683CEGBK.PDF,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-E683CEGBK.JPG,160-2265-1-ND,LTST-E683CEGBK,Lite-On Inc.,ADDRESSABLE LED DISCRETE SERIAL,5163,0,"0.72000","0","1","-","Active","Discrete","1","Red, Green, Blue (RGB)","-","-","Serial","Surface Mount","3.20mm L x 2.80mm W"
https://optoelectronics.liteon.com/UPLOAD/DOWNLOAD/DS35-2018-0039/LTST-E683CEGBK.PDF,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-E683CEGBK.JPG,160-2265-6-ND,LTST-E683CEGBK,Lite-On Inc.,ADDRESSABLE LED DISCRETE SERIAL,5163,0,"Digi-Reel","0","1","-","Active","Discrete","1","Red, Green, Blue (RGB)","-","-","Serial","Surface Mount","3.20mm L x 2.80mm W"
http://americanbrightled.com/pdffiles/plcc/BL-HRGB32M-TRB.pdf,//media.digikey.com/photos/American-Bright-Optoelectronics-Corporation/BL-HRGB32M-TRB.JPG,BL-HRGB32M-TRBTR-ND,BL-HRGB32M-TRB,American Bright Optoelectronics Corporation,3528 PLCC4 RGB W/ IC,6000,0,"0.20475","0","2000","-","Active","Discrete","1","Red, Green, Blue (RGB)","-","APA104","Serial","Surface Mount","3.20mm L x 2.80mm W"
http://americanbrightled.com/pdffiles/plcc/BL-HRGB32M-TRB.pdf,//media.digikey.com/photos/American-Bright-Optoelectronics-Corporation/BL-HRGB32M-TRB.JPG,BL-HRGB32M-TRBCT-ND,BL-HRGB32M-TRB,American Bright Optoelectronics Corporation,3528 PLCC4 RGB W/ IC,7315,0,"0.68000","0","1","-","Active","Discrete","1","Red, Green, Blue (RGB)","-","APA104","Serial","Surface Mount","3.20mm L x 2.80mm W"
http://americanbrightled.com/pdffiles/plcc/BL-HRGB32M-TRB.pdf,//media.digikey.com/photos/American-Bright-Optoelectronics-Corporation/BL-HRGB32M-TRB.JPG,BL-HRGB32M-TRBDKR-ND,BL-HRGB32M-TRB,American Bright Optoelectronics Corporation,3528 PLCC4 RGB W/ IC,7315,0,"Digi-Reel","0","1","-","Active","Discrete","1","Red, Green, Blue (RGB)","-","APA104","Serial","Surface Mount","3.20mm L x 2.80mm W"
https://optoelectronics.liteon.com/UPLOAD/DOWNLOAD/DS22-2017-0030/LTST-E263CEGBK.PDF,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-E263CEGBK.JPG,160-2263-2-ND,LTST-E263CEGBK,Lite-On Inc.,ADDRESSABLE LED DISCRETE SERIAL,4000,0,"0.28000","0","4000","-","Active","Discrete","1","Red, Green, Blue (RGB)","-","-","Serial","Surface Mount","1.80mm L x 1.80mm W"
https://optoelectronics.liteon.com/UPLOAD/DOWNLOAD/DS22-2017-0030/LTST-E263CEGBK.PDF,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-E263CEGBK.JPG,160-2263-1-ND,LTST-E263CEGBK,Lite-On Inc.,ADDRESSABLE LED DISCRETE SERIAL,7810,0,"0.99000","0","1","-","Active","Discrete","1","Red, Green, Blue (RGB)","-","-","Serial","Surface Mount","1.80mm L x 1.80mm W"
https://optoelectronics.liteon.com/UPLOAD/DOWNLOAD/DS22-2017-0030/LTST-E263CEGBK.PDF,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-E263CEGBK.JPG,160-2263-6-ND,LTST-E263CEGBK,Lite-On Inc.,ADDRESSABLE LED DISCRETE SERIAL,7810,0,"Digi-Reel","0","1","-","Active","Discrete","1","Red, Green, Blue (RGB)","-","-","Serial","Surface Mount","1.80mm L x 1.80mm W"
http://cdn.sparkfun.com/datasheets/Components/LED/WS2812.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11821.jpg,1568-1800-ND,COM-11821,SparkFun Electronics,ADDRESS LED DISCRETE SERIAL RGB,2521,0,"0.50000","0","1","-","Active","Discrete","1","Red, Green, Blue (RGB)","-","WS2812 (5050)","Serial (Shift Register)","Surface Mount","5.00mm L x 5.00mm W"
https://cdn.sparkfun.com/datasheets/Components/LED/COM-12877.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/COM-12986.JPG,1568-1213-ND,COM-12986,SparkFun Electronics,ADDRESS LED DISC SER RGB 5MM 5PC,455,0,"2.95000","0","1","-","Active","Discrete","5","Red, Green, Blue (RGB)","-","WS2812","Serial (Shift Register)","Through Hole","5.00mm Dia"
https://cdn.sparkfun.com/datasheets/Components/LED/COM-12877.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12877.jpg,1568-1202-ND,COM-12877,SparkFun Electronics,ADDRESS LED DISCR SERIAL RGB 5PC,243,0,"2.95000","0","1","-","Active","Discrete","5","Red, Green, Blue (RGB)","-","WS2812","Serial (Shift Register)","Through Hole","8.00mm Dia"
https://cdn.sparkfun.com/datasheets/Components/LED/COM-12877.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/COM-12999.JPG,1568-1214-ND,COM-12999,SparkFun Electronics,ADDRESS LED DISC SER RGB 5MM 5PC,235,0,"2.95000","0","1","-","Active","Discrete","5","Red, Green, Blue (RGB)","-","WS2812","Serial (Shift Register)","Through Hole","5.00mm Dia"
https://github.com/sparkfun/WS2812_Breakout/tree/V_1.1b,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-13282.jpg,1568-1530-ND,BOB-13282,SparkFun Electronics,ADDRESS LED MODULE SERIAL RGB,194,0,"3.50000","0","1","-","Active","Module","1","Red, Green, Blue (RGB)","-","WS2812 (5050)","Serial (Shift Register)","User Defined","-"
https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/1655.JPG,1528-1104-ND,1655,Adafruit Industries LLC,ADDRESS LED DISCR SER RGB 1=10,6060,0,"4.50000","0","1","Neopixel","Active","Discrete","10","Red, Green, Blue (RGB)","-","SK6812 or WS2812","Serial (Shift Register)","Surface Mount","5.00mm L x 5.00mm W"
https://cdn-shop.adafruit.com/product-files/2343/APA102C.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2343.jpg,1528-1436-ND,2343,Adafruit Industries LLC,ADDRESS LED DISCR SER RGB 10PK,593,0,"4.50000","0","1","-","Active","Discrete","10","Red, Green, Blue (RGB)","-","APA102C","Serial (Shift Register)","Surface Mount","5.00mm L x 5.00mm W"
https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2659.jpg,1528-1542-ND,2659,Adafruit Industries LLC,ADDRESS LED DISCR SER RGB 1=10,1464,0,"4.95000","0","1","Neopixel","Active","Discrete","10","Red, Green, Blue (RGB)","-","SK6812 (3535)","Serial (Shift Register)","Surface Mount","3.50mm L x 3.50mm W"
https://cdn-shop.adafruit.com/product-files/3484/3484_Datasheet.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3484.jpg,1528-2291-ND,3484,Adafruit Industries LLC,ADDRESS LED DISCRETE SERIAL RGB,772,0,"4.95000","0","1","Neopixel","Active","Discrete","10","Red, Green, Blue (RGB)","-","SK6805 (2427)","Serial (Shift Register)","Surface Mount","2.70mm L x 2.40mm W"
http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3341.jpg,1528-1826-ND,3341,Adafruit Industries LLC,ADDRESS LED DISCRETE SERIAL RGB,2900,0,"5.95000","0","1","-","Active","Discrete","10","Red, Green, Blue (RGB)","-","APA102","Serial (Shift Register)","Surface Mount","2.00mm L x 2.00mm W"
https://cdn-shop.adafruit.com/product-files/2757/p2757_SK6812RGBW_REV01.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/2759.jpg,1528-1710-ND,2759,Adafruit Industries LLC,ADDRESS LED DISCR SER RGBW 1=10,663,0,"5.95000","0","1","Neopixel","Active","Discrete","10","Red, Green, Blue, White (RGBW)","-","SK6812 (5050)","Serial (Shift Register)","Surface Mount","5.00mm L x 5.00mm W"
