Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Touchscreen","Voltage - Input","Voltage - Output","Size / Dimension","Interface","Operating Temperature"
http://multimedia.3m.com/mws/media/243907O/3mtm-microtouch-electronics-ex-product-sheet.pdf,//media.digikey.com/renders/3M%20Renders/EXII_7760UC.jpg,3M9138-ND,EXII-7760UC,3M Touch Systems,LCD DRVR BRD CAPACITIVE USB,105,0,"69.04000","0","1","MicroTouch™ Controller EX","Active","Capacitive","-","-","-","USB","-"
http://www.digitalview.com/media/brochures/ALR-1920_Brochure.pdf,//media.digikey.com/Photos/Digital%20View%20Photos/MFG_4172700XX-3.jpg,586-1058-ND,4172700XX-3,Digital View Inc.,LCD DRVR BRD INFRARED/PUSHBUTTON,54,0,"199.50000","0","1","-","Active","-","12V, 24V","3.3V, 5V, 12V, 18V","4.2"" L x 3.6"" W (107.4mm x 91.5mm)","Infrared, Pushbutton, RS-232","0°C ~ 50°C"
http://multimedia.3m.com/mws/media/243907O/3mtm-microtouch-electronics-ex-product-sheet.pdf,//media.digikey.com/photos/3M%20Photos/EXII-7769UC.JPG,3M9137-ND,EXII-7769UC,3M Touch Systems,LCD DRVR BRD CAPACITIVE USB,251,0,"69.04000","0","1","MicroTouch™ Controller EX","Active","Capacitive","-","-","-","USB","-"
http://www.amulettechnologies.com/images/stories/Downloads/gcc-2%20new.pdf,//media.digikey.com/Photos/Amulet%20Tech%20Photos/GCC-2.JPG,681-1020-ND,GCC-2,Amulet Technologies LLC,LCD DRVR BRD 4 OR 5WIRE RESISTVE,60,0,"144.00000","0","1","GEMexpress™","Active","4 or 5 Wire Resistive","4.75V ~ 20V","-","3"" L x 1.5"" W (76.2mm x 38.1mm)","TWI, UART, USB","-"
//media.digikey.com/pdf/Data%20Sheets/Amulet%20PDFs/GCC-1.pdf,//media.digikey.com/photos/Amulet%20Tech%20Photos/GCC-1.jpg,681-1019-ND,GCC-1,Amulet Technologies LLC,LCD DRVR BRD 4 OR 5WIRE RESISTVE,162,0,"126.00000","0","1","GEMexpress™","Obsolete","4 or 5 Wire Resistive","4.75V ~ 20V","-","3"" L x 1.5"" W (76.2mm x 38.1mm)","TWI, UART, USB","-"
https://multimedia.3m.com/mws/media/243907O/3mtm-microtouch-electronics-ex-product-sheet.pdf,//media.digikey.com/photos/3M%20Photos/EXII-7720SC.jpg,3M5540-ND,EXII-7720SC,3M Touch Systems,LCD DRVR BRD CAPACITIVE RS-232,21,0,"69.04000","0","1","MicroTouch™ Controller EX","Active","Capacitive","-","-","-","RS-232","-"
http://www.newhavendisplay.com/app_notes/8051_Control_Board_Schematic.pdf,//media.digikey.com/Photos/Newhaven%20Display%20Photos/MFG_8051%20CONTROL%20BOARD.jpg,8051CONTROLBOARD-ND,8051 CONTROL BOARD,Newhaven Display Intl,LCD DRVR BRD INFRARED/PUSHBUTTON,0,0,"20.75020","0","50","-","Active","-","-","-","-","Infrared, Pushbutton, Serial","-"
-,//media.digikey.com/Photos/Digital%20View%20Photos/MFG_4174300XX-3.jpg,4174300XX-3-ND,4174300XX-3,Digital View Inc.,LCD DRVR BRD DD-1920 VGA,0,0,"99.00000","0","100","-","Active","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Digital%20View%20Photos/MFG_4173000XX-3.jpg,4173000XX-3-ND,4173000XX-3,Digital View Inc.,LCD DRVR BRD DD-1920 HDMI HEADER,0,0,"106.25000","0","100","-","Active","-","-","-","-","-","-"
-,-,4173001XX-3-ND,4173001XX-3,Digital View Inc.,LCD DRVR BRD DD-1920 HDMI CONN,0,0,"110.00000","0","100","-","Active","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Digital%20View%20Photos/MFG_4174900XX-3.jpg,4174900XX-3-ND,4174900XX-3,Digital View Inc.,LCD DRVR BRD DD-1920 DISPLAYPORT,0,0,"111.37500","0","100","-","Active","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Digital%20View%20Photos/MFG_4173900XX-3.jpg,4173900XX-3-ND,4173900XX-3,Digital View Inc.,LCD DRVR BRD RS-232 DUAL DVI,0,0,"123.75000","0","100","-","Active","-","12V, 24V","3.3V, 5V, 12V, 18V","-","RS-232","-"
-,-,4173002XX-3-ND,4173002XX-3,Digital View Inc.,LCD DRVR BRD HDD-1920 HDMI HDR,0,0,"133.75000","0","100","-","Active","-","-","-","-","-","-"
-,-,4173902XX-3-ND,4173902XX-3,Digital View Inc.,LCD DRVR BRD HDD-1920 DUAL DVI,0,0,"136.25000","0","100","-","Active","-","-","-","-","-","-"
http://www.digitalview.com/media/brochures/ALR-1400v2-LCD-Controller-v1-3.pdf,//media.digikey.com/Photos/Digital%20View%20Photos/MFG_4175800XX-3.jpg,586-1091-ND,4175800XX-3,Digital View Inc.,LCD DRVR BRD PUSHBUTTON/SERIAL,0,0,"138.60000","0","1","-","Active","-","12V, 24V","3.3V, 5V, 12V, 18V","4.2"" L x 3.6"" W (107.4mm x 91.4mm)","Pushbutton, Serial","0°C ~ 60°C"
