Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Voltage - Input","Output","Type","Size / Dimension","Mounting Type"
https://www.jkllamps.com/pdfs/BXA-12529.pdf,//media.digikey.com/photos/JKL/BXA-12529.jpg,289-1025-ND,BXA-12529,JKL Components Corp.,INVERTER 1000V FOR CCFL UV LAMP,1448,0,"20.89000","0","1","-","Active","12V","1000V","CCFL and UV Lamps","1.50"" L x 0.83"" W x 0.59"" H (38.1mm x 21.1mm x 15mm)","Through Hole"
https://www.jkllamps.com/pdfs/BXA-24529.pdf,//media.digikey.com/photos/JKL/BXA-12529.jpg,289-1027-ND,BXA-24529,JKL Components Corp.,INVERTER 1000V FOR CCFL LAMP,1306,0,"20.89000","0","1","-","Active","24V","1000V","CCFL and UV Lamps","1.83"" L x 0.83"" W x 0.59"" H (46.5mm x 21mm x 15mm)","Through Hole"
https://www.jkllamps.com/pdfs/BXA-601.pdf,//media.digikey.com/Photos/JKL/MFG_BXA-601.jpg,289-1265-ND,BXA-601,JKL Components Corp.,5V DUAL OUTPUT CCFL INVERTER,264,0,"20.89000","0","1","-","Active","5V","900V","CCFL and UV Lamps","1.73"" L x 0.83"" W x 0.59"" H (44mm x 21mm x 15mm)","Through Hole"
-,//media.digikey.com/photos/TDK%20Photos/CXA-0454.JPG,445-4080-ND,CXA-0454,TDK Corporation,INVERTER 12V-INPUT 1700V-OUTPUT,143,0,"24.42000","0","1","CXA","Obsolete","10.8 ~ 13.2V","1700V","CCFL and UV Lamps","6.02"" L x 0.85"" W x 0.33"" H (153mm x 21.5mm x 8.5mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/CXA-0538-A%20Drawing.pdf,//media.digikey.com/Photos/TDK%20Photos/CXA-0538-A.jpg,445-5401-ND,CXA-0538-A,TDK Corporation,INVERTER 12V-INPUT 2000V-OUTPUT,691,0,"55.44000","0","1","-","Obsolete","10.8 ~ 13.2V","2000V","CCFL and UV Lamps","5.91"" L x 1.97"" W x 0.33"" H (150mm x 50mm x 8.5mm)","Chassis Mount"
https://www.sparkfun.com/datasheets/Components/LED/SPECIFICATION%20of%2012V12M-1.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-10469.jpg,1568-1343-ND,COM-10469,SparkFun Electronics,EL INVERTER - 12V,15,0,"14.95000","0","1","-","Active","12V","110V","Electroluminescent (EL) Backlighting","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1349_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1349.jpg,1528-1315-ND,1349,Adafruit Industries LLC,INVERTER MINI 1-AAA EL WIRE,26,0,"4.95000","0","1","-","Active","-","-","Electroluminescent (EL) Backlighting","-","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/CXA-K0612-VSL.pdf,//media.digikey.com/photos/TDK%20Photos/CXA-K0612-VSL.jpg,445-1613-ND,CXA-K0612-VSL,TDK Corporation,INVERTER 12V-INPUT 1600V-OUTPUT,25,0,"19.46000","0","1","CXA","Obsolete","12V","1600V","CCFL and UV Lamps","4.13"" L x 0.47"" W x 0.24"" H (105mm x 12mm x 6mm)","Chassis Mount"
http://www.microsemi.com/document-portal/doc_download/9441-lxmg1628-12-6x-pdf,//media.digikey.com/photos/Microsemi%20Photos/lxmg1628-12-61.JPG,LXMG1628-12-61-ND,LXMG1628-12-61,Microsemi Corporation,MOD INVERTER CCFL DUAL 6W 12V,33,0,"25.55000","0","1","PanelMatch™","Obsolete","12V","1650V","CCFL and UV Lamps","6.50"" L x 0.83"" W x 0.39"" H (165mm x 21mm x 10mm)","Chassis Mount"
-,//media.digikey.com/photos/Optrex%20America%20Photos/S-12564.JPG,73-1115-ND,S-12564,"Kyocera International, Inc.",INVERTER FOR GRAPHIC MODULE,37,0,"35.19000","0","1","-","Active","-","-","-","-","-"
