Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Color","Configuration","Lens Color","Lens Transparency","Millicandela Rating","Lens Style","Lens Size","Voltage - Forward (Vf) (Typ)","Current - Test","Viewing Angle","Mounting Type","Wavelength - Dominant","Wavelength - Peak","Features","Package / Case","Supplier Device Package","Size / Dimension","Height (Max)"
https://www.rohm.com/datasheet/SML-D12U1W,//media.digikey.com/Renders/Rohm%20Renders/Rohm-SMLD12.jpg,SML-D12U1WT86TR-ND,SML-D12U1WT86,Rohm Semiconductor,LED RED DIFFUSED 1608 SMD,42000,0,"0.03565","0","3000","Tape & Reel (TR)","SML-D12","Active","Red","Standard","White","Diffused","63mcd","Rectangle with Flat Top","1.20mm x 0.80mm","2.2V","20mA","-","Surface Mount","620nm","-","-","0603 (1608 Metric)","1608 (0603)","1.60mm L x 0.80mm W","0.65mm"
https://www.rohm.com/datasheet/SML-D12U1W,//media.digikey.com/Renders/Rohm%20Renders/Rohm-SMLD12.jpg,SML-D12U1WT86CT-ND,SML-D12U1WT86,Rohm Semiconductor,LED RED DIFFUSED 1608 SMD,53244,0,"0.22000","0","1","Cut Tape (CT)","SML-D12","Active","Red","Standard","White","Diffused","63mcd","Rectangle with Flat Top","1.20mm x 0.80mm","2.2V","20mA","-","Surface Mount","620nm","-","-","0603 (1608 Metric)","1608 (0603)","1.60mm L x 0.80mm W","0.65mm"
https://www.rohm.com/datasheet/SML-D12U1W,//media.digikey.com/Renders/Rohm%20Renders/Rohm-SMLD12.jpg,SML-D12U1WT86DKR-ND,SML-D12U1WT86,Rohm Semiconductor,LED RED DIFFUSED 1608 SMD,53244,0,"Digi-Reel","0","1","Digi-Reel®","SML-D12","Active","Red","Standard","White","Diffused","63mcd","Rectangle with Flat Top","1.20mm x 0.80mm","2.2V","20mA","-","Surface Mount","620nm","-","-","0603 (1608 Metric)","1608 (0603)","1.60mm L x 0.80mm W","0.65mm"
http://optoelectronics.liteon.com/upload/download/DS22-2000-222/LTST-C191KFKT.pdf,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1445-2-ND,LTST-C191KFKT,Lite-On Inc.,LED ORANGE CLEAR SMD,60000,0,"0.03760","0","5000","Tape & Reel (TR)","-","Active","Orange","Standard","Colorless","Clear","90mcd","Rectangle with Flat Top","1.10mm x 0.80mm","2V","20mA","130°","Surface Mount","605nm","611nm","-","0603 (1608 Metric)","-","1.60mm L x 0.80mm W","0.65mm"
http://optoelectronics.liteon.com/upload/download/DS22-2000-222/LTST-C191KFKT.pdf,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1445-1-ND,LTST-C191KFKT,Lite-On Inc.,LED ORANGE CLEAR SMD,70264,0,"0.27000","0","1","Cut Tape (CT)","-","Active","Orange","Standard","Colorless","Clear","90mcd","Rectangle with Flat Top","1.10mm x 0.80mm","2V","20mA","130°","Surface Mount","605nm","611nm","-","0603 (1608 Metric)","-","1.60mm L x 0.80mm W","0.65mm"
http://optoelectronics.liteon.com/upload/download/DS22-2000-222/LTST-C191KFKT.pdf,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1445-6-ND,LTST-C191KFKT,Lite-On Inc.,LED ORANGE CLEAR SMD,70264,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Orange","Standard","Colorless","Clear","90mcd","Rectangle with Flat Top","1.10mm x 0.80mm","2V","20mA","130°","Surface Mount","605nm","611nm","-","0603 (1608 Metric)","-","1.60mm L x 0.80mm W","0.65mm"
http://optoelectronics.liteon.com/upload/download/DS-22-99-0186/LTST-C190KFKT.PDF,"//media.digikey.com/photos/Lite%20On%20Photos/LTST-C190TBKT,LTST-C190KAKT,LTST-C190KFKT.jpg",160-1434-2-ND,LTST-C190KFKT,Lite-On Inc.,LED ORANGE CLEAR CHIP SMD,100000,0,"0.04025","0","4000","Tape & Reel (TR)","-","Active","Orange","Standard","Colorless","Clear","90mcd","Rectangle with Flat Top","1.10mm x 0.80mm","2V","20mA","130°","Surface Mount","605nm","611nm","-","0603 (1608 Metric)","Chip LED","1.60mm L x 0.80mm W","0.90mm"
http://optoelectronics.liteon.com/upload/download/DS-22-99-0186/LTST-C190KFKT.PDF,"//media.digikey.com/photos/Lite%20On%20Photos/LTST-C190TBKT,LTST-C190KAKT,LTST-C190KFKT.jpg",160-1434-1-ND,LTST-C190KFKT,Lite-On Inc.,LED ORANGE CLEAR CHIP SMD,105906,0,"0.25000","0","1","Cut Tape (CT)","-","Active","Orange","Standard","Colorless","Clear","90mcd","Rectangle with Flat Top","1.10mm x 0.80mm","2V","20mA","130°","Surface Mount","605nm","611nm","-","0603 (1608 Metric)","Chip LED","1.60mm L x 0.80mm W","0.90mm"
http://optoelectronics.liteon.com/upload/download/DS-22-99-0186/LTST-C190KFKT.PDF,"//media.digikey.com/photos/Lite%20On%20Photos/LTST-C190TBKT,LTST-C190KAKT,LTST-C190KFKT.jpg",160-1434-6-ND,LTST-C190KFKT,Lite-On Inc.,LED ORANGE CLEAR CHIP SMD,105906,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Orange","Standard","Colorless","Clear","90mcd","Rectangle with Flat Top","1.10mm x 0.80mm","2V","20mA","130°","Surface Mount","605nm","611nm","-","0603 (1608 Metric)","Chip LED","1.60mm L x 0.80mm W","0.90mm"
http://optoelectronics.liteon.com/upload/download/DS22-2000-228/LTST-C191KGKT.PDF,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1446-2-ND,LTST-C191KGKT,Lite-On Inc.,LED GREEN CLEAR SMD,1325000,0,"0.04040","0","5000","Tape & Reel (TR)","-","Active","Green","Standard","Colorless","Clear","35mcd","Rectangle with Flat Top","1.10mm x 0.80mm","2V","20mA","130°","Surface Mount","571nm","574nm","-","0603 (1608 Metric)","-","1.60mm L x 0.80mm W","0.65mm"
http://optoelectronics.liteon.com/upload/download/DS22-2000-228/LTST-C191KGKT.PDF,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1446-1-ND,LTST-C191KGKT,Lite-On Inc.,LED GREEN CLEAR SMD,1345492,0,"0.29000","0","1","Cut Tape (CT)","-","Active","Green","Standard","Colorless","Clear","35mcd","Rectangle with Flat Top","1.10mm x 0.80mm","2V","20mA","130°","Surface Mount","571nm","574nm","-","0603 (1608 Metric)","-","1.60mm L x 0.80mm W","0.65mm"
http://optoelectronics.liteon.com/upload/download/DS22-2000-228/LTST-C191KGKT.PDF,//media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1446-6-ND,LTST-C191KGKT,Lite-On Inc.,LED GREEN CLEAR SMD,1345492,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Green","Standard","Colorless","Clear","35mcd","Rectangle with Flat Top","1.10mm x 0.80mm","2V","20mA","130°","Surface Mount","571nm","574nm","-","0603 (1608 Metric)","-","1.60mm L x 0.80mm W","0.65mm"
