Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Color","CCT (K)","Wavelength","Configuration","Flux @ Current/Temperature - Test","Current - Test","Temperature - Test","Voltage - Forward (Vf) (Typ)","Lumens/Watt @ Current - Test","Current - Max","CRI (Color Rendering Index)","Viewing Angle","Features","Size / Dimension","Height","Light Emitting Surface (LES)","Lens Type"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS90%20Vero%2010%20Gen%207%20Array%20Data%20Sheet%2020181105%20Rev%20N.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-Vero-10-Array.JPG,976-1406-ND,BXRC-30G1000-D-73,Bridgelux,LED COB VERO 10 3000K STARBOARD,1632,0,"3.36000","0","1","Tray","Gen 7 Vero® 10 Array","Active","Chip On Board (COB)","White, Warm","3000K 3-Step MacAdam Ellipse","-","Starboard","1020lm (Typ)","350mA","85°C","25.3V","115 lm/W","700mA","90","-","With Connector","20.00mm Dia","1.90mm","9.90mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS90%20Vero%2010%20Gen%207%20Array%20Data%20Sheet%2020181105%20Rev%20N.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-Vero-10-Array.JPG,976-1433-ND,BXRC-40G1000-D-73,Bridgelux,LED COB VERO 10 4000K STARBOARD,1394,0,"3.36000","0","1","Tray","Gen 7 Vero® 10 Array","Active","Chip On Board (COB)","White, Neutral","4000K 3-Step MacAdam Ellipse","-","Starboard","1093lm (Typ)","350mA","85°C","25.3V","123 lm/W","700mA","90","-","With Connector","20.00mm Dia","1.90mm","9.90mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS90%20Vero%2010%20Gen%207%20Array%20Data%20Sheet%2020181105%20Rev%20N.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-Vero-10-Array.JPG,976-1418-ND,BXRC-35E1000-D-73,Bridgelux,LED COB VERO 10 3500K STARBOARD,236,0,"3.36000","0","1","Tray","Gen 7 Vero® 10 Array","Active","Chip On Board (COB)","White, Warm","3500K 3-Step MacAdam Ellipse","-","Starboard","1265lm (Typ)","350mA","85°C","25.3V","143 lm/W","700mA","80","-","With Connector","20.00mm Dia","1.90mm","9.90mm Dia","Flat"
http://www.bridgelux.com/sites/default/files/resource_media/DS30%20Vero%2010%20Array%20Data%20Sheet%20Rev%20L%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/Vero%2010.jpg,976-1252-ND,BXRC-30E1000-B-23,Bridgelux,LED ARRAY 1000LM WARM WHITE COB,1586,0,"3.74000","0","1","Tray","Vero® 10 Array","Active","Chip On Board (COB)","White, Warm","3000K 3-Step MacAdam Ellipse","-","Starboard","976lm (Typ)","350mA","85°C","25.7V","108 lm/W","700mA","80","120°","With Connector","20.00mm Dia","1.90mm","9.90mm Dia","Flat"
http://www.bridgelux.com/sites/default/files/resource_media/DS30%20Vero%2010%20Array%20Data%20Sheet%20Rev%20L%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/Vero%2010.jpg,976-1276-ND,BXRC-50C1000-B-24,Bridgelux,LED ARRAY 1000LM COOL WHITE COB,1528,0,"3.74000","0","1","Tray","Vero® 10 Array","Active","Chip On Board (COB)","White, Cool","5000K 4-Step MacAdam Ellipse","-","Starboard","1194lm (Typ)","350mA","85°C","25.7V","133 lm/W","700mA","70","120°","With Connector","20.00mm Dia","1.90mm","9.90mm Dia","Flat"
http://www.bridgelux.com/sites/default/files/resource_media/DS30%20Vero%2010%20Array%20Data%20Sheet%20Rev%20L%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/Vero%2010.jpg,976-1263-ND,BXRC-35E1000-B-23,Bridgelux,LED ARRAY 1000LM WARM WHITE COB,857,0,"3.74000","0","1","Tray","Vero® 10 Array","Active","Chip On Board (COB)","White, Warm","3500K 3-Step MacAdam Ellipse","-","Starboard","1074lm (Typ)","350mA","85°C","25.7V","119 lm/W","700mA","80","120°","With Connector","20.00mm Dia","1.90mm","9.90mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/DS131%20Bridgelux%20EB%20Series%20Gen2%20Data%20Sheet%2020171020%20Rev%20A.pdf,//media.digikey.com/Photos/Bridgelux/MFG_EB-Series.jpg,976-1736-ND,BXEB-L0280Z-35E1000-C-B3,Bridgelux,1000 LM NEUTRAL WHITE LINEAR MOD,1127,0,"4.14000","0","1","Bulk","EB Series™ Gen 2","Active","LED Module","White, Warm","3500K 3-Step MacAdam Ellipse","-","Linear Light Strip","1195lm (Typ)","350mA","25°C","19.5V","175 lm/W","700mA","80","120°","-","280.00mm L x 24.00mm W","6.10mm","-","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS121%20Vero%20SE%2013%20Array%20Data%20Sheet%2020181105%20Rev%20K.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero_SE13_Array.jpg,976-1553-ND,BXRC-40E2000-D-73-SE,Bridgelux,LED COB VERO SE 4000K ROUND,513,0,"4.57000","0","1","Tray","Vero® SE 13 Array","Active","Chip On Board (COB)","White, Neutral","4000K 3-Step MacAdam Ellipse","-","Round","2260lm (Typ)","500mA","85°C","30.9V","146 lm/W","1A","80","120°","-","36.20mm Dia","3.60mm","13.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS121%20Vero%20SE%2013%20Array%20Data%20Sheet%2020181105%20Rev%20K.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero_SE13_Array.jpg,976-1549-ND,BXRC-30E2000-D-73-SE,Bridgelux,LED COB VERO SE 3000K ROUND,104,0,"4.57000","0","1","Tray","Vero® SE 13 Array","Active","Chip On Board (COB)","White, Warm","3000K 3-Step MacAdam Ellipse","-","Round","2173lm (Typ)","500mA","85°C","30.9V","141 lm/W","1A","80","120°","-","36.20mm Dia","3.60mm","13.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/DS31%20Vero%2013%20Array%20Datasheet%20Rev%20L%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/MFG_BXRC.jpg,976-1254-ND,BXRC-30E2000-C-23,Bridgelux,LED ARRAY 2000LM WARM WHITE COB,2175,0,"5.87000","0","1","Tray","Vero® 13 Array","Active","Chip On Board (COB)","White, Warm","3000K 3-Step MacAdam Ellipse","-","Round","1910lm (Typ)","500mA","85°C","31.3V","122 lm/W","1.05A","80","120°","With Connector","36.20mm Dia","1.90mm","13.20mm Dia","Flat"
