Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Power (Watts)","Tolerance","Adjustment Type","Diameter","Length","Mounting Type","Termination","Package / Case"
http://www.vishay.com/docs/31841/avt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/AVT25-100.JPG,AVT25-100-ND,AVT02506E100R0KE,Vishay Huntington Electric Inc.,RES ADJ 100 OHM 25W 10% LUGS,170,0,"5.02000","0","1","Bulk","AVT","Active","100 Ohms","25W","±10%","Slide","0.559"" OD, 0.311"" ID (14.20mm x 7.90mm)","2.000"" (50.80mm)","Chassis Mount","Solder Lug","Radial, 3 Lead, Tubular"
http://www.vishay.com/docs/31841/avt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/AVT25-25.jpg,AVT25-25-ND,AVT02506E25R00KE,Vishay Huntington Electric Inc.,RES ADJ 25 OHM 25W 10% LUGS,146,0,"5.02000","0","1","Bulk","AVT","Active","25 Ohms","25W","±10%","Slide","0.559"" OD, 0.311"" ID (14.20mm x 7.90mm)","2.000"" (50.80mm)","Chassis Mount","Solder Lug","Radial, 3 Lead, Tubular"
http://www.vishay.com/docs/31841/avt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/AVT25-10.jpg,AVT25-10-ND,AVT02506E10R00KE,Vishay Huntington Electric Inc.,RES ADJ 10 OHM 25W 10% LUGS,120,0,"5.02000","0","1","Bulk","AVT","Active","10 Ohms","25W","±10%","Slide","0.559"" OD, 0.311"" ID (14.20mm x 7.90mm)","2.000"" (50.80mm)","Chassis Mount","Solder Lug","Radial, 3 Lead, Tubular"
http://www.vishay.com/docs/31841/avt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/AVT25-50.JPG,AVT25-50-ND,AVT02506E50R00KE,Vishay Huntington Electric Inc.,RES ADJ 50 OHM 25W 10% LUGS,109,0,"5.02000","0","1","Bulk","AVT","Active","50 Ohms","25W","±10%","Slide","0.559"" OD, 0.311"" ID (14.20mm x 7.90mm)","2.000"" (50.80mm)","Chassis Mount","Solder Lug","Radial, 3 Lead, Tubular"
http://www.vishay.com/docs/31841/avt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/Huntington%20Electric%20Inc.-%20AVT50-1.0.jpg,AVT50-1.0-ND,AVT05006E1R000KE,Vishay Huntington Electric Inc.,RES ADJ 1.0 OHM 50W 10% LUGS,684,0,"7.56000","0","1","Bulk","AVT","Active","1 Ohms","50W","±10%","Slide","0.559"" OD, 0.311"" ID (14.20mm x 7.90mm)","4.016"" (102.00mm)","Chassis Mount","Solder Lug","Radial, 3 Lead, Tubular"
http://www.vishay.com/docs/31841/avt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/AVT50-5.0.jpg,AVT50-5.0-ND,AVT05006E5R000KE,Vishay Huntington Electric Inc.,RES ADJ 5.0 OHM 50W 10% LUGS,232,0,"7.56000","0","1","Bulk","AVT","Active","5 Ohms","50W","±10%","Slide","0.559"" OD, 0.311"" ID (14.20mm x 7.90mm)","4.016"" (102.00mm)","Chassis Mount","Solder Lug","Radial, 3 Lead, Tubular"
http://www.vishay.com/docs/31841/avt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/AVT50-10.JPG,AVT50-10-ND,AVT05006E10R00KE,Vishay Huntington Electric Inc.,RES ADJ 10 OHM 50W 10% LUGS,176,0,"7.56000","0","1","Bulk","AVT","Active","10 Ohms","50W","±10%","Slide","0.559"" OD, 0.311"" ID (14.20mm x 7.90mm)","4.016"" (102.00mm)","Chassis Mount","Solder Lug","Radial, 3 Lead, Tubular"
http://www.vishay.com/docs/31841/avt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/AVT50-100.JPG,AVT50-100-ND,AVT05006E100R0KE,Vishay Huntington Electric Inc.,RES ADJ 100 OHM 50W 10% LUGS,115,0,"7.56000","0","1","Bulk","AVT","Active","100 Ohms","50W","±10%","Slide","0.559"" OD, 0.311"" ID (14.20mm x 7.90mm)","4.016"" (102.00mm)","Chassis Mount","Solder Lug","Radial, 3 Lead, Tubular"
http://www.vishay.com/docs/31841/avt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/avt100-1.0k.JPG,AVT100-1.0K-ND,AVT10006E1K000KE,Vishay Huntington Electric Inc.,RES ADJ 1.0K OHM 100W 10% LUGS,256,0,"13.62000","0","1","Bulk","AVT","Active","1 kOhms","100W","±10%","Slide","0.748"" OD, 0.500"" ID (19.00mm x 12.70mm)","6.496"" (165.00mm)","Chassis Mount","Solder Lug","Radial, 3 Lead, Tubular"
http://www.vishay.com/docs/31841/avt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/AVT100-10.JPG,AVT100-10-ND,AVT10006E10R00KE,Vishay Huntington Electric Inc.,RES ADJ 10 OHM 100W 10% LUGS,183,0,"13.62000","0","1","Bulk","AVT","Active","10 Ohms","100W","±10%","Slide","0.748"" OD, 0.500"" ID (19.00mm x 12.70mm)","6.496"" (165.00mm)","Chassis Mount","Solder Lug","Radial, 3 Lead, Tubular"
