Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance (Ohms)","Tolerance","Power (Watts)","Built in Switch","Number of Turns","Taper","Number of Gangs","Adjustment Type","Temperature Coefficient","Rotation","Resistive Material","Termination Style","Actuator Type","Actuator Length","Actuator Diameter","Bushing Thread","Mounting Type"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Potentiometers/Datasheets/P09x.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/P0915N-FC15BR10K.jpg,987-1649-ND,P0915N-FC15BR10K,TT Electronics/BI,POT 10K OHM 1/20W PLASTIC LINEAR,16609,0,"1.36000","0","1","Tray","P09x","Active","10k","±20%","0.05W, 1/20W","None","1","Linear","1","Top Adjustment","-","300°","Conductive Plastic","PC Pins, Board Locks","Flatted","0.591"" (15.00mm)","0.236"" (6.00mm)","M7 x 0.75","Panel Mount"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Potentiometers/Datasheets/P09x.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/P091S-FC20BR10K.jpg,987-1283-ND,P091S-FC20BR10K,TT Electronics/BI,POT 10K OHM 1/20W PLASTIC LINEAR,5230,0,"1.63000","0","1","Tray","P09x","Active","10k","±20%","0.05W, 1/20W","Rotary, SPST","1","Linear","1","Side Adjustment","-","300°","Conductive Plastic","PC Pins, Board Locks","Flatted","0.787"" (20.00mm)","0.236"" (6.00mm)","M7 x 0.75","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/3310.pdf,//media.digikey.com/Photos/Bourns%20Photos/3310Y-001.jpg,3310Y-001-103L-ND,3310Y-001-103L,Bourns Inc.,POT 10K OHM 1/4W PLASTIC LINEAR,2095,0,"2.90000","0","1","Tube","Pro Audio 3310","Active","10k","±20%","0.25W, 1/4W","None","1","Linear","1","Top Adjustment","±1000ppm/°C","300°","Conductive Plastic","PC Pins","Slotted","0.500"" (12.70mm)","0.125"" (3.18mm)","1/4-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/3310.pdf,//media.digikey.com/Photos/Bourns%20Photos/3310C-001.jpg,3310C-001-502L-ND,3310C-001-502L,Bourns Inc.,POT 5K OHM 1/4W PLASTIC LINEAR,1567,0,"2.90000","0","1","Bulk","Pro Audio 3310","Active","5k","±20%","0.25W, 1/4W","None","1","Linear","1","Side Adjustment","±1000ppm/°C","300°","Conductive Plastic","PC Pins","Slotted","0.500"" (12.70mm)","0.125"" (3.18mm)","1/4-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/3310.pdf,//media.digikey.com/Photos/Bourns%20Photos/3310C-001.jpg,3310C-001-503L-ND,3310C-001-503L,Bourns Inc.,POT 50K OHM 1/4W PLASTIC LINEAR,1324,0,"2.90000","0","1","Bulk","Pro Audio 3310","Active","50k","±20%","0.25W, 1/4W","None","1","Linear","1","Side Adjustment","±1000ppm/°C","300°","Conductive Plastic","PC Pins","Slotted","0.500"" (12.70mm)","0.125"" (3.18mm)","1/4-32","Panel Mount"
https://www.ctscorp.com/wp-content/uploads/2015/11/26.pdf,//media.digikey.com/Photos/CTS%20Photos/026TB32R101B1A1.jpg,CT2154-ND,026TB32R101B1A1,CTS Electrocomponents,POT 100 OHM 5W WIREWOUND LINEAR,5320,0,"5.29000","0","1","Bulk","026","Active","100","±20%","5W","None","1","Linear","1","User Defined","-","300°","Wirewound","Solder Lug","Round","1.000"" (25.40mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
https://www.ctscorp.com/wp-content/uploads/2015/11/26.pdf,//media.digikey.com/Photos/CTS%20Photos/026TB32R101B1A1.jpg,CT2158-ND,026TB32R502B1A1,CTS Electrocomponents,POT 5K OHM 5W WIREWOUND LINEAR,1566,0,"5.29000","0","1","Bulk","026","Active","5k","±20%","5W","None","1","Linear","1","User Defined","-","300°","Wirewound","Solder Lug","Round","1.000"" (25.40mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/91_95.pdf,//media.digikey.com/Photos/Bourns%20Photos/91A1A-B16-B10L.jpg,91A1A-B16-B10L-ND,91A1A-B16-B10L,Bourns Inc.,POT 1K OHM 1W PLASTIC LINEAR,3323,0,"5.85000","0","1","Bulk","91","Active","1k","±20%","1W","None","1","Linear","1","Side Adjustment","±1000ppm/°C","300°","Conductive Plastic","PC Pins","Slotted","0.500"" (12.70mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/91_95.pdf,//media.digikey.com/photos/Bourns%20Photos/91%20SERIES.jpg,91A1A-B28-B15L-ND,91A1A-B28-B15L,Bourns Inc.,POT 10K OHM 1W PLASTIC LINEAR,3887,0,"5.91000","0","1","Bulk","91","Active","10k","±20%","1W","None","1","Linear","1","Side Adjustment","±1000ppm/°C","300°","Conductive Plastic","PC Pins","Slotted","0.875"" (22.23mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/91_95.pdf,//media.digikey.com/Photos/Bourns%20Photos/91A1A-B24-B15L.jpg,91A1A-B24-B15L-ND,91A1A-B24-B15L,Bourns Inc.,POT 10K OHM 1W PLASTIC LINEAR,1815,0,"5.91000","0","1","Bulk","91","Active","10k","±20%","1W","None","1","Linear","1","Side Adjustment","±1000ppm/°C","300°","Conductive Plastic","PC Pins","Slotted","0.750"" (19.05mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
