Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Shaft Size","Number of Turns"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Turn%20Counting%20Dials/Datasheets/2696.pdf,//media.digikey.com/Photos/TT%20Electronics-Optek%20Photos/MFG_2694_2696.jpg,987-1002-ND,2696,TT Electronics/BI,DIAL-7/8"" 10-TURN 1/4"" SHAFT,1559,0,"8.87000","0","1","2696","Active","0.250"" (6.35mm)","10"
https://www.bourns.com/docs/Product-Datasheets/H22.pdf,"//media.digikey.com/photos/Bourns%20Photos/H-22-6A,%20H-22-6M,%20H-22-3A.jpg",H-22-6A-ND,H-22-6A,Bourns Inc.,COUNTING DIAL W/CLICK BRAKE,1941,0,"12.89000","0","1","H-22","Active","0.250"" (6.35mm)","15"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Turn%20Counting%20Dials/Datasheets/2600.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/2606.jpg,987-1000-ND,2606,TT Electronics/BI,DIAL 7/8"" 20 TURN 1/4""SHAFT,132,0,"18.14000","0","1","2600","Active","0.250"" (6.35mm)","20"
https://www.bourns.com/docs/Product-Datasheets/H46.pdf,//media.digikey.com/photos/Bourns%20Photos/H-46-6A.jpg,H-46-6A-ND,H-46-6A,Bourns Inc.,COUNTING DIAL 0-20 TURNS,75,0,"21.95000","0","1","H-46","Active","0.250"" (6.35mm)","20"
http://www.vishay.com/docs/57085/11.pdf,//media.digikey.com/Photos/Vishay%20Spectrol%20Photos/11A11B10.jpg,SP011-1-11-ND,11A11B10,Vishay Spectrol,DIAL SCALE 11 TURN CONCENTRIC,189,0,"29.20000","0","1","11","Active","0.250"" (6.35mm)","11"
http://www.vishay.com/docs/57088/21.pdf,//media.digikey.com/photos/Vishay%20Photos/VISHAYSPECTROL-021-1-11.jpg,SP021-1-11-ND,21A11B10,Vishay Spectrol,DIAL SCALE 15 TURN CONCENTRIC,1934,0,"30.23000","0","1","21","Active","0.250"" (6.35mm)","15"
http://www.vishay.com/docs/57086/15.pdf,//media.digikey.com/photos/Vishay%20Spectrol%20Photos/015-1-11.jpg,SP015-1-11-ND,15A11B10,Vishay Spectrol,DIAL DIGITAL 10 TURN 3 DIGIT,235,0,"33.48000","0","1","15","Active","0.250"" (6.35mm)","10"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb799de4bb23fd59c447/1471396738983/400_PNB_fv1-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/412.jpg,412KL-ND,412,Kilo International,DIAL SCALE 10 TURN CONCENTRIC,344,0,"37.87000","0","1","400","Active","0.250"" (6.35mm)","10"
https://www.bourns.com/docs/Product-Datasheets/H-516.pdf,//media.digikey.com/Photos/Bourns%20Photos/H-516-6A.jpg,H-516-6A-ND,H-516-6A,Bourns Inc.,DIAL COUNTING 0-15 TURNS,1387,0,"6.70000","0","1","H-516","Active","0.250"" (6.35mm)","15"
https://www.bourns.com/docs/Product-Datasheets/H22.pdf,//media.digikey.com/photos/Bourns%20Photos/H-22-6A-B.JPG,H-22-6A-B-ND,H-22-6A-B,Bourns Inc.,DIAL SCALE 15 TURN CONCENTRIC,152,0,"12.89000","0","1","H-22","Active","0.250"" (6.35mm)","15"
