Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Power (Watts)","Tolerance","Number of Turns","Adjustment Type","Size / Dimension","Termination","Mounting Type"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91AR1MEGLF.jpg,987-1167-ND,91AR10KLF,TT Electronics/BI,TRIMMER 10K OHM 3/8"" CERMET TH,1300,0,"1.50000","0","1","Bulk","91","Active","10 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.375"" Dia x 0.200"" H (9.53mm x 5.08mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-104LF-ND,3352T-1-104LF,Bourns Inc.,POT 100K OHM THUMBWHEEL CERM ST,8524,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","100 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-203LF-ND,3352T-1-203LF,Bourns Inc.,POT 20K OHM THUMBWHEEL CERM ST,6670,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","20 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352H%20SERIES.jpg,3352H-503LF-ND,3352H-1-503LF,Bourns Inc.,POT 50K OHM THUMBWHEEL CERM ST,4346,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","50 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.350"" H (8.89mm x 8.89mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-103LF-ND,3352T-1-103LF,Bourns Inc.,POT 10K OHM THUMBWHEEL CERM ST,3209,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","10 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-105LF-ND,3352T-1-105LF,Bourns Inc.,POT 1.0M OHM THUMBWHEEL CERM ST,2508,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","1 MOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352P%20SERIES.jpg,3352P-103LF-ND,3352P-1-103LF,Bourns Inc.,POT 10K OHM THUMBWHEEL CERM ST,2293,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","10 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-201LF-ND,3352T-1-201LF,Bourns Inc.,POT 200 OHM THUMBWHEEL CERM ST,1063,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","200 Ohms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-502LF-ND,3352T-1-502LF,Bourns Inc.,POT 5.0K OHM THUMBWHEEL CERM ST,1019,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","5 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-101LF-ND,3352T-1-101LF,Bourns Inc.,POT 100 OHM THUMBWHEEL CERM ST,1002,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","100 Ohms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352E%20SERIES.jpg,3352E-105LF-ND,3352E-1-105LF,Bourns Inc.,POT 1.0M OHM THUMBWHEEL CERM ST,5040,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","1 MOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352P%20SERIES.jpg,3352P-204LF-ND,3352P-1-204LF,Bourns Inc.,POT 200K OHM THUMBWHEEL CERM ST,1042,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","200 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91AR1MEGLF.jpg,987-1168-ND,91AR1KLF,TT Electronics/BI,TRIMMER 1K OHM 3/8"" CERMET TH,747,0,"1.50000","0","1","Bulk","91","Active","1 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.375"" Dia x 0.200"" H (9.53mm x 5.08mm)","PC Pins","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91AR1MEGLF.jpg,987-1171-ND,91AR5KLF,TT Electronics/BI,TRIMMER 5K OHM 3/8"" CERMET TH,691,0,"1.50000","0","1","Bulk","91","Active","5 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.375"" Dia x 0.200"" H (9.53mm x 5.08mm)","PC Pins","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91AR1MEGLF.jpg,987-1166-ND,91AR100KLF,TT Electronics/BI,TRIMMER 100K OHM 3/8"" CERMET TH,247,0,"1.50000","0","1","Bulk","91","Active","100 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.375"" Dia x 0.200"" H (9.53mm x 5.08mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-254LF-ND,3352T-1-254LF,Bourns Inc.,POT 250K OHM THUMBWHEEL CERM ST,853,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","250 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-104LF-ND,3352W-1-104LF,Bourns Inc.,POT 100K OHM THUMBWHEEL CERM ST,680,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","100 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352E%20SERIES.jpg,3352E-103LF-ND,3352E-1-103LF,Bourns Inc.,THUMBWHEEL POT 10K 0.5W TOP ADJ,634,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","10 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-103LF-ND,3352W-1-103LF,Bourns Inc.,POT 10K OHM THUMBWHEEL CERM ST,628,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","10 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-501LF-ND,3352W-1-501LF,Bourns Inc.,POT 500 OHM THUMBWHEEL CERM ST,527,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","500 Ohms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
