Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Power (Watts)","Tolerance","Adjustment Type","Number of Characters","Mounting Type","Size / Dimension","Termination Style"
https://www.bourns.com/docs/Product-Datasheets/3680.pdf,//media.digikey.com/photos/Bourns%20Photos/3682S%20SERIES.jpg,3682S-1-103L-ND,3682S-1-103L,Bourns Inc.,VALUE DISPLAY POT 10K 2W PNL MT,146,0,"38.09000","0","1","Bulk","3680","Active","10 kOhms","2W","±3%","Push Button","2","Panel Mount","Square - 1.050"" L x 0.930"" W x 1.050"" H (26.67mm x 23.62mm x 26.67mm)","Solder Lug"
https://www.bourns.com/docs/Product-Datasheets/3680.pdf,//media.digikey.com/Photos/Bourns%20Photos/3684S.jpg,3684S-1-103L-ND,3684S-1-103L,Bourns Inc.,VALUE DISPLAY POT 10K 2W PNL MT,40,0,"103.96000","0","1","Bulk","3680","Active","10 kOhms","2W","±3%","Push Button","4","Panel Mount","Square - 1.870"" L x 0.930"" W x 1.050"" H (47.50mm x 23.62mm x 26.67mm)","Solder Lug"
https://www.bourns.com/docs/Product-Datasheets/3680.pdf,//media.digikey.com/photos/Bourns%20Photos/3683S%20SERIES.jpg,3683S-1-103L-ND,3683S-1-103L,Bourns Inc.,VALUE DISPLAY POT 10K 2W PNL MT,100,0,"52.81000","0","1","Bulk","3680","Active","10 kOhms","2W","±3%","Push Button","3","Panel Mount","Square - 1.460"" L x 0.930"" W x 1.050"" H (37.08mm x 23.62mm x 26.67mm)","Solder Lug"
https://www.bourns.com/docs/Product-Datasheets/3680.pdf,//media.digikey.com/photos/Bourns%20Photos/3683S%20SERIES.jpg,3683S-1-104L-ND,3683S-1-104L,Bourns Inc.,VALUE DISPLAY POT 100K 2W PNL MT,71,0,"52.81000","0","1","Bulk","3680","Active","100 kOhms","2W","±3%","Push Button","3","Panel Mount","Square - 1.460"" L x 0.930"" W x 1.050"" H (37.08mm x 23.62mm x 26.67mm)","Solder Lug"
https://www.bourns.com/docs/Product-Datasheets/3680.pdf,//media.digikey.com/photos/Bourns%20Photos/3683S%20SERIES.jpg,3683S-1-503L-ND,3683S-1-503L,Bourns Inc.,VALUE DISPLAY POT 50K 2W PNL MT,49,0,"52.81000","0","1","Bulk","3680","Active","50 kOhms","2W","±3%","Push Button","3","Panel Mount","Square - 1.460"" L x 0.930"" W x 1.050"" H (37.08mm x 23.62mm x 26.67mm)","Solder Lug"
https://www.bourns.com/docs/Product-Datasheets/3680.pdf,//media.digikey.com/photos/Bourns%20Photos/3683S%20SERIES.jpg,3683S-1-202L-ND,3683S-1-202L,Bourns Inc.,VALUE DISPLAY POT 2K 2W PNL MT,40,0,"52.81000","0","1","Bulk","3680","Active","2 kOhms","2W","±3%","Push Button","3","Panel Mount","Square - 1.460"" L x 0.930"" W x 1.050"" H (37.08mm x 23.62mm x 26.67mm)","Solder Lug"
https://www.bourns.com/docs/Product-Datasheets/3680.pdf,//media.digikey.com/photos/Bourns%20Photos/3683S%20SERIES.jpg,3683S-1-502L-ND,3683S-1-502L,Bourns Inc.,VALUE DISPLAY POT 5K 2W PNL MT,30,0,"52.81000","0","1","Bulk","3680","Active","5 kOhms","2W","±3%","Push Button","3","Panel Mount","Square - 1.460"" L x 0.930"" W x 1.050"" H (37.08mm x 23.62mm x 26.67mm)","Solder Lug"
https://www.bourns.com/docs/Product-Datasheets/3680.pdf,//media.digikey.com/Photos/Bourns%20Photos/3684S-1-104L.JPG,3684S-1-104L-ND,3684S-1-104L,Bourns Inc.,VALUE DISPLAY POT 100K 2W PNL MT,21,0,"103.96000","0","1","Bulk","3680","Active","100 kOhms","2W","±3%","Push Button","4","Panel Mount","Square - 1.870"" L x 0.930"" W x 1.050"" H (47.50mm x 23.62mm x 26.67mm)","Solder Lug"
https://www.bourns.com/docs/Product-Datasheets/3680.pdf,//media.digikey.com/Photos/Bourns%20Photos/3681S-1.jpg,3681S-1-103L-ND,3681S-1-103L,Bourns Inc.,VALUE DISPLAY POT 10K 2W PNL MT,53,0,"28.06000","0","1","Bulk","3680","Active","10 kOhms","2W","±3%","Push Button","1","Panel Mount","Square - 0.650"" L x 0.930"" W x 1.050"" H (16.51mm x 23.62mm x 26.67mm)","Solder Lug"
https://www.bourns.com/docs/Product-Datasheets/3680.pdf,//media.digikey.com/photos/Bourns%20Photos/3682S%20SERIES.jpg,3682S-1-104L-ND,3682S-1-104L,Bourns Inc.,VALUE DISPLAY POT 100K 2W PNL MT,36,0,"38.09000","0","1","Bulk","3680","Active","100 kOhms","2W","±3%","Push Button","2","Panel Mount","Square - 1.050"" L x 0.930"" W x 1.050"" H (26.67mm x 23.62mm x 26.67mm)","Solder Lug"
