Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Outputs","Voltage - Input","Voltage - Output 1","Voltage - Output 2","Voltage - Output 3","Voltage - Output 4","Current - Output (Max)","Power (Watts)","Applications","Features","Operating Temperature","Efficiency","Mounting Type","Package / Case","Size / Dimension"
https://www.cui.com/product/resource/digikeypdf/pbo-1.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PBO-1.jpg,102-4600-ND,PBO-1-S5,CUI Inc.,"AC-DC, 1 W, 5 VDC, SINGLE OUTPUT",2109,0,"5.51000","0","1","PBO-1 (1W)","Active","Open Frame","1","85 ~ 305 VAC","5V","-","-","-","200mA","1W","ITE (Commercial)","DC Input Capable","-40°C ~ 85°C (With Derating)","66%","Through Hole","12-SIP Module, 6 Leads","1.38"" L x 0.43"" W x 0.71"" H (35.0mm x 11.0mm x 18.0mm)"
https://www.recom-power.com/pdf/Powerline-AC-DC/RAC01-GA.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RAC01-GA.jpg,945-3043-ND,RAC01-05SGA,Recom Power,AC/DC CONVERTER 5V 1W,2431,980,"6.34000","0","1","POWERLINE RAC01-GA (1W)","Active","Enclosed","1","100 ~ 240 VAC","5V","-","-","-","200mA","1W","Household Appliances, ITE (Commercial)","-","-25°C ~ 80°C (With Derating)","63%","Through Hole","4-DIP Module","1.33"" L x 0.87"" W x 0.75"" H (33.7mm x 22.2mm x 19.0mm)"
https://www.recom-power.com/pdf/Powerline-AC-DC/RAC01-GB.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_POWERLINE-RAC01-SB-Series.jpg,945-3045-ND,RAC01-05SGB,Recom Power,AC/DC CONVERTER 5V 1W,1080,40,"6.34000","0","1","POWERLINE RAC01-GB (1W)","Active","Enclosed","1","100 ~ 240 VAC","5V","-","-","-","200mA","1W","ITE (Commercial)","Universal Input","-25°C ~ 70°C (With Derating)","63%","Through Hole","4-DIP Module","1.33"" L x 0.87"" W x 0.75"" H (33.7mm x 22.2mm x 19.0mm)"
https://www.cui.com/product/resource/digikeypdf/vof-6b.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_VOF-6B.jpg,102-4242-ND,VOF-6B-S5,CUI Inc.,AC DC CONVERTER 5V 6W,1644,0,"8.80000","0","1","VOF-6B (6W)","Active","Open Frame","1","85 ~ 264 VAC","5V","-","-","-","1.2A","6W","ITE (Commercial)","OCP, OVP, SCP","-25°C ~ 70°C (With Derating)","75.18%","Through Hole","4-DIP Module","1.91"" L x 0.92"" W x 0.64"" H (48.6mm x 23.3mm x 16.2mm)"
https://www.recom-power.com/pdf/Powerline-AC-DC/RAC05-K.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RAC05-K.jpg,945-3119-5-ND,RAC05-05SK,Recom Power,AC/DC CONVERTER 5V 5W,1741,18,"9.63000","0","1","POWERLINE RAC05-K (5W)","Active","Enclosed","1","85 ~ 264 VAC, 120 ~ 370 VDC","5V","-","-","-","1A","5W","ITE (Commercial)","DC Input Capable, Universal Input","-25°C ~ 70°C (With Derating)","80%","Through Hole","5-DIP Module","1.00"" L x 1.00"" W x 0.65"" H (25.4mm x 25.4mm x 16.5mm)"
https://www.recom-power.com/pdf/Powerline-AC-DC/RAC05-K.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RAC05-K.jpg,945-3117-5-ND,RAC05-12SK,Recom Power,AC/DC CONVERTER 12V 5W,839,990,"9.63000","0","1","POWERLINE RAC05-K (5W)","Active","Enclosed","1","85 ~ 264 VAC, 120 ~ 370 VDC","12V","-","-","-","416mA","5W","ITE (Commercial)","DC Input Capable, Universal Input","-25°C ~ 70°C (With Derating)","81%","Through Hole","5-DIP Module","1.00"" L x 1.00"" W x 0.65"" H (25.4mm x 25.4mm x 16.5mm)"
https://www.recom-power.com/pdf/Powerline-AC-DC/RAC05-K.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RAC05-K.jpg,945-3118-5-ND,RAC05-24SK,Recom Power,AC/DC CONVERTER 24V 5W,366,576,"9.63000","0","1","POWERLINE RAC05-K (5W)","Active","Enclosed","1","85 ~ 264 VAC, 120 ~ 370 VDC","24V","-","-","-","210mA","5W","ITE (Commercial)","DC Input Capable, Universal Input","-25°C ~ 70°C (With Derating)","84%","Through Hole","5-DIP Module","1.00"" L x 1.00"" W x 0.65"" H (25.4mm x 25.4mm x 16.5mm)"
https://www.recom-power.com/pdf/Powerline_AC-DC/RAC10-K_277.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RAC10-K_277.jpg,945-3122-5-ND,RAC10-12SK/277,Recom Power,CONV AC/DC 10W 85-305VIN 12VOUT,1057,0,"10.78000","0","1","POWERLINE RAC10-K/277 (10W)","Active","Enclosed","1","80 ~ 305 VAC","12V","-","-","-","840mA","10W","Household Appliances, ITE (Commercial)","Universal Input","-40°C ~ 80°C (With Derating)","84%","Through Hole","4-DIP Module","2.07"" L x 1.08"" W x 0.93"" H (52.5mm x 27.4mm x 23.5mm)"
https://www.recom-power.com/pdf/Powerline_AC-DC/RAC10-K_277.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RAC10-K_277.jpg,945-3125-5-ND,RAC10-12DK/277,Recom Power,CONV AC/DC 10W 85-305VIN +/-12VO,701,990,"10.78000","0","1","POWERLINE RAC10-K/277 (10W)","Active","Enclosed","2","80 ~ 305 VAC","12V","-12V","-","-","420mA, 420mA","10W","Household Appliances, ITE (Commercial)","Universal Input","-40°C ~ 80°C (With Derating)","82%","Through Hole","5-DIP Module","2.07"" L x 1.08"" W x 0.93"" H (52.5mm x 27.4mm x 23.5mm)"
https://www.recom-power.com/pdf/Powerline_AC-DC/RAC10-K_277.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RAC10-K_277.jpg,945-3121-5-ND,RAC10-05SK/277,Recom Power,CONV AC/DC 10W 85-305VIN 05VOUT,425,990,"10.78000","0","1","POWERLINE RAC10-K/277 (10W)","Active","Enclosed","1","80 ~ 305 VAC","5V","-","-","-","2A","10W","Household Appliances, ITE (Commercial)","Universal Input","-40°C ~ 80°C (With Derating)","82%","Through Hole","4-DIP Module","2.07"" L x 1.08"" W x 0.93"" H (52.5mm x 27.4mm x 23.5mm)"
