Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Number of Outputs","Voltage - Input (Min)","Voltage - Input (Max)","Voltage - Output 1","Voltage - Output 2","Voltage - Output 3","Voltage - Output 4","Current - Output (Max)","Power (Watts)","Voltage - Isolation","Applications","Features","Operating Temperature","Efficiency","Mounting Type","Package / Case","Size / Dimension","Supplier Device Package","Control Features"
https://www.torexsemi.com/file/xcl208/XCL208-XCL209.pdf,//media.digikey.com/Renders/Torex/XCL209F%20Series.jpg,893-1172-2-ND,XCL209F083DR,Torex Semiconductor Ltd,DC DC CONVERTER 0.9-6V,6000,0,"0.96320","0","3000","Tape & Reel (TR)","XCL209","Active","Non-Isolated PoL Module","1","1.8V","6V","0.9 ~ 6V","-","-","-","400mA","-","-","ITE (Commercial)","SCP, UVLO","-40°C ~ 85°C","90%","Surface Mount","2520 (5650 Metric)","0.10"" L x 0.08"" W x 0.04"" H (2.5mm x 2.0mm x 1.0mm)","-","-"
https://www.torexsemi.com/file/xcl208/XCL208-XCL209.pdf,//media.digikey.com/Renders/Torex/XCL209F%20Series.jpg,893-1172-1-ND,XCL209F083DR,Torex Semiconductor Ltd,DC DC CONVERTER 0.9-6V,6732,0,"1.24000","0","1","Cut Tape (CT)","XCL209","Active","Non-Isolated PoL Module","1","1.8V","6V","0.9 ~ 6V","-","-","-","400mA","-","-","ITE (Commercial)","SCP, UVLO","-40°C ~ 85°C","90%","Surface Mount","2520 (5650 Metric)","0.10"" L x 0.08"" W x 0.04"" H (2.5mm x 2.0mm x 1.0mm)","-","-"
https://www.torexsemi.com/file/xcl208/XCL208-XCL209.pdf,//media.digikey.com/Renders/Torex/XCL209F%20Series.jpg,893-1172-6-ND,XCL209F083DR,Torex Semiconductor Ltd,DC DC CONVERTER 0.9-6V,6732,0,"Digi-Reel","0","1","Digi-Reel®","XCL209","Active","Non-Isolated PoL Module","1","1.8V","6V","0.9 ~ 6V","-","-","-","400mA","-","-","ITE (Commercial)","SCP, UVLO","-40°C ~ 85°C","90%","Surface Mount","2520 (5650 Metric)","0.10"" L x 0.08"" W x 0.04"" H (2.5mm x 2.0mm x 1.0mm)","-","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps826711,//media.digikey.com/Renders/Texas%20Instr%20Renders/TPS8267xSIPxx.jpg,296-30586-2-ND,TPS826711SIPR,Texas Instruments,DC DC CONVERTER 1.8V 1W,15000,9000,"1.11645","0","3000","Tape & Reel (TR)","MicroSip™","Active","Non-Isolated PoL Module","1","2.3V","4.8V","1.8V","-","-","-","600mA","-","-","ITE (Commercial)","Remote On/Off, OCP, OTP, UVLO","-40°C ~ 85°C","90%","Surface Mount","8-BGA Module","0.12"" L x 0.09"" W x 0.04"" H (3.0mm x 2.4mm x 1.0mm)","8-uSIP","Enable, Active High"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps826711,//media.digikey.com/Renders/Texas%20Instr%20Renders/TPS8267xSIPxx.jpg,296-30586-1-ND,TPS826711SIPR,Texas Instruments,DC DC CONVERTER 1.8V 1W,22112,10001,"2.51000","0","1","Cut Tape (CT)","MicroSip™","Active","Non-Isolated PoL Module","1","2.3V","4.8V","1.8V","-","-","-","600mA","-","-","ITE (Commercial)","Remote On/Off, OCP, OTP, UVLO","-40°C ~ 85°C","90%","Surface Mount","8-BGA Module","0.12"" L x 0.09"" W x 0.04"" H (3.0mm x 2.4mm x 1.0mm)","8-uSIP","Enable, Active High"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps826711,//media.digikey.com/Renders/Texas%20Instr%20Renders/TPS8267xSIPxx.jpg,296-30586-6-ND,TPS826711SIPR,Texas Instruments,DC DC CONVERTER 1.8V 1W,22112,10001,"Digi-Reel","0","1","Digi-Reel®","MicroSip™","Active","Non-Isolated PoL Module","1","2.3V","4.8V","1.8V","-","-","-","600mA","-","-","ITE (Commercial)","Remote On/Off, OCP, OTP, UVLO","-40°C ~ 85°C","90%","Surface Mount","8-BGA Module","0.12"" L x 0.09"" W x 0.04"" H (3.0mm x 2.4mm x 1.0mm)","8-uSIP","Enable, Active High"
https://www.semtech.com/uploads/documents/sc202a.pdf,//media.digikey.com/Photos/Semtech%20Photos/SC202AMLTRT.JPG,SC202AMLTR-ND,SC202AMLTRT,Semtech Corporation,DC DC CONVERTER 0.8-3.3V,45000,0,"1.12000","0","3000","Tape & Reel (TR)","SC202","Active","Non-Isolated PoL Module","1","2.9V","5.5V","0.8 ~ 3.3V","-","-","-","500mA","-","-","ITE (Commercial)","OCP, OTP, OVP, SCP, UVLO","-40°C ~ 85°C","-","Surface Mount","13-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 1.0mm)","13-MLPQ (2.5x3)","-"
https://www.semtech.com/uploads/documents/sc202a.pdf,//media.digikey.com/Photos/Semtech%20Photos/SC202AMLTRT.JPG,SC202AMLCT-ND,SC202AMLTRT,Semtech Corporation,DC DC CONVERTER 0.8-3.3V,49071,0,"1.44000","0","1","Cut Tape (CT)","SC202","Active","Non-Isolated PoL Module","1","2.9V","5.5V","0.8 ~ 3.3V","-","-","-","500mA","-","-","ITE (Commercial)","OCP, OTP, OVP, SCP, UVLO","-40°C ~ 85°C","-","Surface Mount","13-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 1.0mm)","13-MLPQ (2.5x3)","-"
https://www.semtech.com/uploads/documents/sc202a.pdf,//media.digikey.com/Photos/Semtech%20Photos/SC202AMLTRT.JPG,SC202AMLDKR-ND,SC202AMLTRT,Semtech Corporation,DC DC CONVERTER 0.8-3.3V,49071,0,"Digi-Reel","0","1","Digi-Reel®","SC202","Active","Non-Isolated PoL Module","1","2.9V","5.5V","0.8 ~ 3.3V","-","-","-","500mA","-","-","ITE (Commercial)","OCP, OTP, OVP, SCP, UVLO","-40°C ~ 85°C","-","Surface Mount","13-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 1.0mm)","13-MLPQ (2.5x3)","-"
https://www.torexsemi.com/file/xcl213/XCL213-XCL214.pdf,//media.digikey.com/Photos/Torex%20Semiconductor/XCL214BxxxDR.JPG,893-1213-2-ND,XCL214B123DR,Torex Semiconductor Ltd,DC DC CONVERTER 1.2V 2W,3000,0,"1.26630","0","3000","Tape & Reel (TR)","XCL214","Active","Non-Isolated PoL Module","1","2.7V","5.5V","1.2V","-","-","-","1.5A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 85°C","92%","Surface Mount","9-PowerTFQFN","0.13"" L x 0.10"" W x 0.04"" H (3.2mm x 2.5mm x 1.0mm)","USP-9B01","-"
