Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Topology","Number of Outputs","Voltage - Input (Min)","Voltage - Input (Max)","Voltage - Output","Current - Output (Max)","Power (Watts)","Dimming","Features","Operating Temperature","Efficiency","Mounting Type","Package / Case","Size / Dimension"
https://katalog.we-online.de/pm/datasheet/172946001.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_7-SMD%20Module.jpg,732-6218-2-ND,172946001,Wurth Electronics Inc.,LED STEP DOWN HIGH CURRENT MODUL,250,0,"6.00000","0","250","MagI³C, LDHM","Active","Constant Current","Buck","1","4.5V","60V","4.5 ~ 60V","450mA","-","PWM","OTP, SCP, UVLO","-40°C ~ 85°C","95%","Surface Mount","7-SMD Module","0.40"" L x 0.39"" W x 0.18"" H (10.2mm x 9.9mm x 4.6mm)"
https://katalog.we-online.de/pm/datasheet/172946001.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_7-SMD%20Module.jpg,732-6218-1-ND,172946001,Wurth Electronics Inc.,LED STEP DOWN HIGH CURRENT MODUL,304,0,"7.43000","0","1","MagI³C, LDHM","Active","Constant Current","Buck","1","4.5V","60V","4.5 ~ 60V","450mA","-","PWM","OTP, SCP, UVLO","-40°C ~ 85°C","95%","Surface Mount","7-SMD Module","0.40"" L x 0.39"" W x 0.18"" H (10.2mm x 9.9mm x 4.6mm)"
https://katalog.we-online.de/pm/datasheet/172946001.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_7-SMD%20Module.jpg,732-6218-6-ND,172946001,Wurth Electronics Inc.,LED STEP DOWN HIGH CURRENT MODUL,304,0,"Digi-Reel","0","1","MagI³C, LDHM","Active","Constant Current","Buck","1","4.5V","60V","4.5 ~ 60V","450mA","-","PWM","OTP, SCP, UVLO","-40°C ~ 85°C","95%","Surface Mount","7-SMD Module","0.40"" L x 0.39"" W x 0.18"" H (10.2mm x 9.9mm x 4.6mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24-Series.jpg,945-1117-ND,RCD-24-0.35,Recom Power,LED SUPPLY CC BUCK 2-35V 350MA,1078,975,"10.30000","0","1","LIGHTLINE RCD-24","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","350mA","12W","Analog, PWM","Remote On/Off, SCP","-40°C ~ 85°C","96%","Through Hole","6-DIP Module","0.87"" L x 0.49"" W x 0.33"" H (22.1mm x 12.6mm x 8.5mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24-Series.jpg,945-1123-ND,RCD-24-0.70,Recom Power,LED SUPPLY CC BUCK 2-35V 700MA,1198,975,"11.90000","0","1","LIGHTLINE RCD-24","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","700mA","25W","Analog, PWM","Remote On/Off, SCP","-40°C ~ 71°C","96%","Through Hole","6-DIP Module","0.87"" L x 0.49"" W x 0.33"" H (22.1mm x 12.6mm x 8.5mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24-Series.jpg,945-1128-ND,RCD-24-1.00,Recom Power,LED SUPPLY CC BUCK 3-31V 1A,546,975,"14.44000","0","1","LIGHTLINE RCD-24","Active","Constant Current","Buck","1","6V","36V","3 ~ 31V","1A","31W","Analog, PWM","Remote On/Off, SCP","-40°C ~ 71°C","96%","Through Hole","6-DIP Module","0.87"" L x 0.49"" W x 0.33"" H (22.1mm x 12.6mm x 8.5mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24-Series.jpg,945-1132-ND,RCD-24-1.20,Recom Power,LED SUPPLY CC BUCK 3-31V 1.2A,534,975,"15.32000","0","1","LIGHTLINE RCD-24","Active","Constant Current","Buck","1","6V","36V","3 ~ 31V","1.2A","37W","Analog, PWM","Remote On/Off, SCP","-40°C ~ 65°C","96%","Through Hole","6-DIP Module","0.87"" L x 0.49"" W x 0.33"" H (22.1mm x 12.6mm x 8.5mm)"
http://www.linear.com/docs/29820,//media.digikey.com/Renders/Linear%20Tech%20Renders/56-LGA.jpg,LTM8042EV#PBF-ND,LTM8042EV#PBF,Linear Technology/Analog Devices,LED SUPP CC BOOST BUCK 2-32V 1A,704,0,"16.97000","0","1","µModule®","Active","Constant Current","Boost, Buck, Buck-Boost","1","3V","30V","2 ~ 32V","1A","32W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 125°C","-","Surface Mount","77-BLGA","0.59"" L x 0.35"" W x 0.11"" H (15.0mm x 9.0mm x 2.8mm)"
https://www.recom-power.com/pdf/Lightline/RCD-48.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-48-Series.jpg,945-1643-5-ND,RCD-48-0.70,Recom Power,LED SUPPLY CC BUCK 2-56V 700MA,1418,986,"19.68000","0","1","LIGHTLINE RCD-48","Active","Constant Current","Buck","1","9V","60V","2 ~ 56V","700mA","39W","Analog, PWM","Remote On/Off, SCP","-40°C ~ 75°C","96%","Through Hole","7-DIP Module","1.28"" L x 0.64"" W x 0.44"" H (32.6mm x 16.5mm x 11.1mm)"
https://www.recom-power.com/pdf/Lightline/RCD-48.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-48-Series.jpg,945-1645-5-ND,RCD-48-1.20/M,Recom Power,LED SUPP CC BUCK 2-56V 1.2A 7DIP,734,290,"24.85000","0","1","LIGHTLINE RCD-48","Active","Constant Current","Buck","1","9V","60V","2 ~ 56V","1.2A","67W","Analog, PWM","Remote On/Off, SCP","0°C ~ 50°C","96%","Through Hole","7-DIP Module","1.28"" L x 0.62"" W x 0.44"" H (32.6mm x 16.0mm x 11.2mm)"
https://www.monolithicpower.com/pub/media/document/MPM6010_r1.0.pdf,-,1589-1774-2-ND,MPM6010GQVE-AEC1-Z,Monolithic Power Systems Inc.,HIGH EFFICIENCY 36V/1.5A MODULE,5000,0,"3.86100","0","2500","Automotive, AEC-Q100","Active","Constant Current","Buck","1","4V","36V","-","1.5A","-","PWM","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","-","Surface Mount","17-PowerLQFN","0.12"" L x 0.20"" W x 0.06"" H (3.0mm x 5.0mm x 1.7mm)"
https://www.monolithicpower.com/pub/media/document/MPM6010_r1.0.pdf,-,1589-1774-1-ND,MPM6010GQVE-AEC1-Z,Monolithic Power Systems Inc.,HIGH EFFICIENCY 36V/1.5A MODULE,7167,0,"7.65000","0","1","Automotive, AEC-Q100","Active","Constant Current","Buck","1","4V","36V","-","1.5A","-","PWM","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","-","Surface Mount","17-PowerLQFN","0.12"" L x 0.20"" W x 0.06"" H (3.0mm x 5.0mm x 1.7mm)"
https://www.monolithicpower.com/pub/media/document/MPM6010_r1.0.pdf,-,1589-1774-6-ND,MPM6010GQVE-AEC1-Z,Monolithic Power Systems Inc.,HIGH EFFICIENCY 36V/1.5A MODULE,7167,0,"Digi-Reel","0","1","Automotive, AEC-Q100","Active","Constant Current","Buck","1","4V","36V","-","1.5A","-","PWM","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","-","Surface Mount","17-PowerLQFN","0.12"" L x 0.20"" W x 0.06"" H (3.0mm x 5.0mm x 1.7mm)"
https://www.meanwell.com/Upload/PDF/LDD-H/LDD-H-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_LDDx00H.jpg,1866-3091-ND,LDD-1000H,MEAN WELL USA Inc.,LED DRIVER CC BUCK 2-52V 1A,3460,0,"6.46000","0","1","LDD-H","Active","Constant Current","Buck","1","9V","56V","2 ~ 52V","1A","-","PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","97%","Through Hole","24-DIP Module, 9 Leads","1.25"" L x 0.80"" W x 0.48"" H (31.8mm x 20.3mm x 12.2mm)"
https://www.meanwell.com/Upload/PDF/LDD-H/LDD-H-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_LDD-xxxH.jpg,1866-3119-ND,LDD-700H,MEAN WELL USA Inc.,LED DRIVER CC BUCK 2-52V 700MA,608,0,"6.46000","0","1","LDD-H","Active","Constant Current","Buck","1","9V","56V","2 ~ 52V","700mA","-","PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","97%","Through Hole","24-DIP Module, 9 Leads","1.25"" L x 0.80"" W x 0.48"" H (31.8mm x 20.3mm x 12.2mm)"
https://www.xppower.com/Portals/0/pdfs/SF_LDU05-14.pdf,//media.digikey.com/Photos/XP%20Power/MFG_LDU14.jpg,1470-2154-5-ND,LDU1416S1000,XP Power,LED SUPPLY CC BUCK 2-14V 1000MA,440,0,"8.75000","0","1","LDU14","Active","Constant Current","Buck","1","7V","16V","2 ~ 14V","1A","14W","Analog, PWM","Remote On/Off, SCP","-40°C ~ 85°C","93%","Through Hole","8-DIP Module, 5 Leads","0.50"" L x 0.40"" W x 0.27"" H (12.7mm x 10.2mm x 6.9mm)"
http://www.luxdrive.com/content/3021-BuckPuck.pdf,//media.digikey.com/Photos/LEDdynamics/BuckPuck%203021.jpg,788-1109-ND,3021-D-E-700,LEDdynamics Inc.,LED SUPP CC BUCK 32V 700MA 7SIP,1475,0,"13.99000","0","1","BuckPuck™ 3021","Active","Constant Current","Buck","1","7V","32V","32V (Max)","700mA","22W","Analog","Remote On/Off, SCP","-40°C ~ 80°C","95%","Through Hole","7-SIP Module, 6 Leads","0.83"" L x 0.83"" W x 0.43"" H (21.0mm x 21.0mm x 11.0mm)"
http://www.luxdrive.com/content/3021-BuckPuck.pdf,//media.digikey.com/Photos/LEDdynamics/BuckPuck%203021.jpg,788-1113-ND,3021-D-E-350,LEDdynamics Inc.,LED SUPP CC BUCK 32V 350MA 7SIP,741,0,"13.99000","0","1","BuckPuck™ 3021","Active","Constant Current","Buck","1","7V","32V","32V (Max)","350mA","11W","Analog","Remote On/Off, SCP","-40°C ~ 80°C","95%","Through Hole","7-SIP Module, 6 Leads","0.83"" L x 0.83"" W x 0.43"" H (21.0mm x 21.0mm x 11.0mm)"
http://www.luxdrive.com/content/3021-BuckPuck.pdf,//media.digikey.com/Photos/LEDdynamics/BuckPuck%203021.jpg,788-1107-ND,3021-D-E-1000,LEDdynamics Inc.,LED SUPPLY CC BUCK 32V 1A 7SIP,539,0,"13.99000","0","1","BuckPuck™ 3021","Active","Constant Current","Buck","1","7V","32V","32V (Max)","1A","32W","Analog","Remote On/Off, SCP","-40°C ~ 80°C","95%","Through Hole","7-SIP Module, 6 Leads","0.83"" L x 0.83"" W x 0.43"" H (21.0mm x 21.0mm x 11.0mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24PL.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24PL.jpg,945-1818-5-ND,RCD-24-0.70/PL/B,Recom Power,LED SUPPLY CC BUCK 2-35V 700MA,291,996,"14.12000","0","1","LIGHTLINE RCD-24-PL","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","700mA","25W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 75°C","96%","Surface Mount","6-SMD","1.22"" L x 0.45"" W x 0.26"" H (31.0mm x 11.4mm x 6.6mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24-Series.jpg,945-1122-ND,RCD-24-0.50,Recom Power,LED SUPPLY CC BUCK 2-35V 500MA,846,975,"14.50000","0","1","LIGHTLINE RCD-24","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","500mA","18W","Analog, PWM","Remote On/Off, SCP","-40°C ~ 80°C","96%","Through Hole","6-DIP Module","0.87"" L x 0.49"" W x 0.33"" H (22.1mm x 12.6mm x 8.5mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24PL.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24PL.jpg,945-1639-5-ND,RCD-24-1.00/PL/A,Recom Power,LED SUPPLY CC BUCK 2-32V 1A 6SMD,199,144,"15.66000","0","1","LIGHTLINE RCD-24-PL","Active","Constant Current","Buck","1","6V","36V","2 ~ 32V","1A","32W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 65°C","96%","Surface Mount","6-SMD","1.22"" L x 0.45"" W x 0.26"" H (31.0mm x 11.4mm x 6.6mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24-Series.jpg,945-1806-5-ND,RCD-24-0.70/VREF,Recom Power,LED SUPPLY CC BUCK 2-35V 700MA,791,975,"16.48000","0","1","LIGHTLINE RCD-24","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","700mA","25W","Analog","SCP","-40°C ~ 71°C","96%","Through Hole","6-DIP Module","0.87"" L x 0.49"" W x 0.33"" H (22.1mm x 12.6mm x 8.5mm)"
https://www.recom-power.com/pdf/Lightline/RCD-48.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-48-Series.jpg,945-1640-5-ND,RCD-48-0.35,Recom Power,LED SUPPLY CC BUCK 2-56V 350MA,293,464,"17.92000","0","1","LIGHTLINE RCD-48","Active","Constant Current","Buck","1","9V","60V","2 ~ 56V","350mA","20W","Analog, PWM","Remote On/Off, SCP","-40°C ~ 80°C","96%","Through Hole","7-DIP Module","1.28"" L x 0.64"" W x 0.44"" H (32.6mm x 16.5mm x 11.1mm)"
http://www.luxdrive.com/content/4015-BoostPuck1.pdf,//media.digikey.com/Photos/LEDdynamics/BoostPuck%204015%20SERIES.JPG,788-1002-ND,4015-D-E-350,LEDdynamics Inc.,LED SUPP CC BOOST 48V 350MA 7SIP,929,0,"19.99000","0","1","BoostPuck 4015","Active","Constant Current","Boost","1","5V","28V","48V (Max)","350mA","17W","Analog","Remote On/Off","-40°C ~ 85°C","95%","Through Hole","7-SIP Module","0.83"" L x 0.83"" W x 0.43"" H (21.1mm x 21.1mm x 10.9mm)"
https://www.meanwell.com/Upload/PDF/LDD-L/LDD-L-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_LDD-xxxL.jpg,1866-3121-ND,LDD-700L,MEAN WELL USA Inc.,LED DRIVER CC BUCK 2-32V 700MA,1656,0,"4.37000","0","1","LDD-L","Active","Constant Current","Buck","1","9V","36V","2 ~ 32V","700mA","-","PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","95%","Through Hole","6-DIP Module, 5 Leads","0.89"" L x 0.39"" W x 0.35"" H (22.6mm x 9.9mm x 8.9mm)"
https://www.meanwell.com/Upload/PDF/LDD-L/LDD-L-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_LDD-xxxL.jpg,1866-3109-ND,LDD-350L,MEAN WELL USA Inc.,LED DRIVER CC BUCK 2-32V 350MA,445,0,"4.37000","0","1","LDD-L","Active","Constant Current","Buck","1","9V","36V","2 ~ 32V","350mA","-","PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","95%","Through Hole","6-DIP Module, 5 Leads","0.89"" L x 0.39"" W x 0.35"" H (22.6mm x 9.9mm x 8.9mm)"
https://www.meanwell.com/Upload/PDF/LDD-L/LDD-L-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_LDD-1000L.jpg,1866-3093-ND,LDD-1000L,MEAN WELL USA Inc.,LED DRIVER CC BUCK 2-30V 1A,227,0,"6.27000","0","1","LDD-L","Active","Constant Current","Buck","1","6V","36V","2 ~ 30V","1A","-","Analog, PWM","Remote On/Off, SCP","-40°C ~ 71°C","95%","Through Hole","24-DIP Module, 9 Leads","1.25"" L x 0.80"" W x 0.48"" H (31.8mm x 20.3mm x 12.2mm)"
https://www.meanwell.com/Upload/PDF/LDD-H/LDD-H-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_LDD-1500H.jpg,1866-3099-ND,LDD-1500H,MEAN WELL USA Inc.,LED DRIVER CC BUCK 2-46V 1.5A,436,0,"7.98000","0","1","LDD-H","Active","Constant Current","Buck","1","9V","52V","2 ~ 46V","1.5A","-","PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","97%","Through Hole","24-DIP Module, 9 Leads","1.25"" L x 0.80"" W x 0.48"" H (31.8mm x 20.3mm x 12.2mm)"
https://www.cui.com/product/resource/digikeypdf/vld25-dip.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_VLD25-DIP.jpg,102-2643-ND,VLD25-350-DIP,CUI Inc.,LED SUPPLY CC BUCK 3.3-36V 350MA,2364,0,"13.06000","0","1","VLD25-DIP","Active","Constant Current","Buck","1","5.5V","46V","3.3 ~ 36V","350mA","13W","Analog, PWM","Remote On/Off, SCP","-40°C ~ 85°C","95%","Through Hole","6-DIP Module","0.90"" L x 0.40"" W x 0.37"" H (22.9mm x 10.2mm x 9.5mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24-Series.jpg,945-1804-5-ND,RCD-24-0.35/VREF,Recom Power,LED SUPPLY CC BUCK 2-35V 350MA,1127,156,"13.94000","0","1","LIGHTLINE RCD-24","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","350mA","12W","Analog","SCP","-40°C ~ 85°C","96%","Through Hole","6-DIP Module","0.87"" L x 0.49"" W x 0.33"" H (22.1mm x 12.6mm x 8.5mm)"
