Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Region Utilized","Form","Input Type","Voltage - Input","Voltage - Output","Current - Output (Max)","Power (Watts)","No Load Power Consumption","Applications","Efficiency","Operating Temperature","Output Connector","Size / Dimension","Approvals"
http://www.hammondmfg.com/pdf/5c0062.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_BPE2G.jpg,HM1580-ND,BPE2G,Hammond Manufacturing,AC/AC WALL MOUNT ADAPTER 24V 40W,388,1114,"22.43000","0","1","BPE2x","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","1.67A","40W","-","ITE (Commercial)","-","-","Screw Terminal","2.13"" L x 2.80"" W x 3.58"" H (54.1mm x 71.1mm x 91.0mm)","CSA, UL"
http://catalog.triadmagnetics.com/Asset/WAU12-500.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-12%20Series.jpg,237-1883-ND,WAU12-500,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 500MA,104,168,"13.55000","0","1","WAU12","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","500mA","6W","500mW (Max)","ITE (Commercial)","80%","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.61"" L x 1.97"" W x 2.76"" H (41.0mm x 50.0mm x 70.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU24-750.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-24%20Series.jpg,237-1894-ND,WAU24-750,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 700MA,326,0,"13.98000","0","1","WAU24","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","700mA","17W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU16-1000.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-16%20Series.jpg,237-1884-ND,WAU16-1000,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 1A,129,32,"13.98000","0","1","WAU16","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","1A","16W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU24-450.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-24%20Series.jpg,237-1893-ND,WAU24-450,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 450MA,102,281,"14.85000","0","1","WAU24","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","450mA","11W","500mW (Max)","ITE (Commercial)","80%","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.61"" L x 1.97"" W x 2.76"" H (41.0mm x 50.0mm x 70.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU12-2000.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-12%20Series.jpg,237-1881-ND,WAU12-2000,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 2A,122,512,"15.45000","0","1","WAU12","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","2A","24W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU120-1000-SG.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_SG.jpg,237-2264-ND,WAU120-1000-SG,Triad Magnetics,AC/AC WALL MNT ADAPTER 12V 1A,511,0,"17.02000","0","1","WAU120","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1A","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Screw Terminal","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://www.hammondmfg.com/pdf/5c0062.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/BPD2F.jpg,HM1576-ND,BPD2G,Hammond Manufacturing,AC/AC WALL MOUNT ADAPTER 24V 20W,451,489,"17.58000","0","1","BPD2x","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","830mA","20W","-","ITE (Commercial)","-","-","Screw Terminal","2.13"" L x 2.44"" W x 2.75"" H (54.1mm x 62.0mm x 70.0mm)","CSA, UL"
http://www.hammondmfg.com/pdf/5c0062.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/BPD2F.jpg,HM1574-ND,BPD2F,Hammond Manufacturing,AC/AC WALL MOUNT ADAPTER 16V 20W,141,266,"17.58000","0","1","BPD2x","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","1.25A","20W","-","ITE (Commercial)","-","-","Screw Terminal","2.13"" L x 2.44"" W x 2.75"" H (54.1mm x 62.0mm x 70.0mm)","CSA, UL"
http://catalog.triadmagnetics.com/Asset/WAU240-500.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/MFG_WAU_T.jpg,WAU240-500-ND,WAU240-500,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 500MA,640,928,"17.64000","0","1","WAU240","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","500mA","12W","210mW (Max)","ITE (Commercial)","Level VI","-10°C ~ 50°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
