Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","User Configuration","Type","Number of Positions","Voltage - Input","Power (Watts)","Voltage - Isolation","Efficiency","Features","Operating Temperature","Size / Dimension","Height"
http://www.excelsys.com/wp-content/uploads/2012/08/XL-4-Page-2nd.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1000-ND,XLA-01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 200W 4 SLOT,136,0,"223.47000","0","1","Xgen, XL","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","4","85 ~ 264 VAC","200W","3kV","89%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/08/XL-4-Page-2nd.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1001-ND,XLB-01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 400W 4 SLOT,110,0,"227.42000","0","1","Xgen, XL","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","4","85 ~ 264 VAC","400W","3kV","89%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
https://www.advancedenergy.com/globalassets/resources-root/data-sheets/en-lv-ultimod-data-sheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/UX4.jpg,633-1294-ND,UX4,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,186,0,"233.35000","0","1","UltiMod, UX","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical","4","85 ~ 264 VAC","600W","4kV","90%","-","-40°C ~ 70°C (With Derating)","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/08/XL-4-Page-2nd.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1002-ND,XLC-01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,100,0,"233.35000","0","1","Xgen, XL","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","4","85 ~ 264 VAC","600W","3kV","89%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/08/XL-4-Page-2nd.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1025-ND,XLC-00,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,27,0,"233.35000","0","1","Xgen, XL","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","4","85 ~ 264 VAC","600W","3kV","89%","-","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XM_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1009-ND,XMC-01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,32,0,"264.99000","0","1","Xgen, XM","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical","4","85 ~ 264 VAC","600W","4kV","89%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/08/XL-4-Page-2nd.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1088-ND,XLD-00,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 750W 4 SLOT,209,0,"278.42000","0","1","Xgen, XL","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","4","85 ~ 264 VAC","750W","3kV","89%","-","-20°C ~ 70°C","10.55"" L x 3.50"" W (268.0mm x 89.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XK_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1274-ND,XKC-00,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,78,0,"285.74000","0","1","Xgen, XK","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard, Low Noise","4","85 ~ 264 VAC","600W","3kV","89%","-","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
https://www.advancedenergy.com/globalassets/resources-root/data-sheets/en-lv-ultimod-data-sheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/UX6.jpg,633-1295-ND,UX6,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1200W 6 SLOT,1212,0,"290.96000","0","1","UltiMod, UX","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical","6","85 ~ 264 VAC","1200W","4kV","90%","-","-40°C ~ 70°C (With Derating)","10.24"" L x 5.00"" W (260.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XT_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1269-ND,XTB-01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 400W 4 SLOT,35,0,"293.60000","0","1","Xgen, XT","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard, Ultra Quiet","4","85 ~ 264 VAC","400W","3kV","90%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.55"" L x 3.50"" W (268.0mm x 89.0mm)","1.59"" (40.40mm)"
