Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Outputs","Voltage - Input","Voltage - Output 1","Voltage - Output 2","Voltage - Output 3","Voltage - Output 4","Current - Output (Max)","Power (Watts)","Applications","Voltage - Isolation","Efficiency","Operating Temperature","Features","Mounting Type","Size / Dimension"
https://www.recom-power.com/pdf/Powerline-AC-DC/RAC04-SC_W.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RAC04-SC_W.jpg,945-2212-ND,RAC04-12SC/W,Recom Power,AC/DC CONVERTER 12V 4W,2992,210,"14.35000","0","1","POWERLINE RAC04-SC/W (4W)","Active","Enclosed","1","80 ~ 264 VAC","12V","-","-","-","333mA","4W","ITE (Commercial)","3kV","77%","-25°C ~ 85°C (With Derating)","DC Input Capable, Remote Sense, Universal Input","Chassis Mount","1.49"" L x 0.94"" W x 0.65"" H (37.8mm x 23.9mm x 16.4mm)"
https://www.recom-power.com/pdf/Powerline-AC-DC/RAC04-SC_W.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RAC04-SC_W.jpg,945-2214-ND,RAC04-24SC/W,Recom Power,AC/DC CONVERTER 24V 4W,1015,600,"14.96000","0","1","POWERLINE RAC04-SC/W (4W)","Active","Enclosed","1","80 ~ 264 VAC","24V","-","-","-","167mA","4W","ITE (Commercial)","3kV","79%","-25°C ~ 85°C (With Derating)","DC Input Capable, Remote Sense, Universal Input","Chassis Mount","1.49"" L x 0.94"" W x 0.65"" H (37.8mm x 23.9mm x 16.4mm)"
http://www.deltapsu.com/products/download/Datasheet/MDS-040APS12-B,//media.digikey.com/Photos/Delta%20Photos/MDS-040APS12%20BA.JPG,1145-1003-ND,MDS-040APS12 BA,Delta Electronics,AC/DC CONVERTER 12V 40W,7570,0,"15.16000","0","1","MDS-040 (40W)","Active","Open Frame","1","90 ~ 264 VAC","12V","-","-","-","3.3A","40W","ITE (Commercial), Medical","4kV","84%","-10°C ~ 70°C","Standby Output, Universal Input","Chassis Mount","3.00"" L x 2.00"" W x 0.90"" H (76.2mm x 50.8mm x 22.9mm)"
https://www.recom-power.com/pdf/Powerline-AC-DC/RAC04-SC_W.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RAC04-SC_W.jpg,945-2210-ND,RAC04-05SC/W,Recom Power,AC/DC CONVERTER 5V 4W,2715,990,"15.30000","0","1","POWERLINE RAC04-SC/W (4W)","Active","Enclosed","1","80 ~ 264 VAC","5V","-","-","-","800mA","4W","ITE (Commercial)","3kV","72%","-25°C ~ 85°C (With Derating)","DC Input Capable, Remote Sense, Universal Input","Chassis Mount","1.49"" L x 0.94"" W x 0.65"" H (37.8mm x 23.9mm x 16.4mm)"
http://www.deltapsu.com/products/download/Datasheet/PMC-05V015W1AA,//media.digikey.com/Photos/Delta%20Photos/PMC-05V015W1AA.JPG,1145-1066-ND,PMC-05V015W1AA,Delta Electronics,AC/DC CONVERTER 5V 15W,670,0,"17.09000","0","1","PMC (15W)","Active","Enclosed","1","85 ~ 264 VAC","5V","-","-","-","3A","15W","ITE (Commercial)","3kV","80%","-20°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.03"" L x 2.01"" W x 1.10"" H (77.0mm x 51.0mm x 28.0mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS25-12.JPG,285-1884-ND,LS25-12,TDK-Lambda Americas Inc.,AC/DC CONVERTER 12V 25W,1710,0,"17.61000","0","1","LS (25W)","Active","Enclosed","1","88 ~ 264 VAC","12V","-","-","-","2.1A","25W","ITE (Commercial)","3kV","83%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.10"" L x 2.00"" W x 1.10"" H (78.7mm x 50.8mm x 27.9mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS25-12.JPG,285-1886-ND,LS25-24,TDK-Lambda Americas Inc.,AC/DC CONVERTER 24V 25W,658,0,"17.61000","0","1","LS (25W)","Active","Enclosed","1","88 ~ 264 VAC","24V","-","-","-","1.1A","25W","ITE (Commercial)","3kV","84%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.10"" L x 2.00"" W x 1.10"" H (78.7mm x 50.8mm x 27.9mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS25-12.JPG,285-1885-ND,LS25-15,TDK-Lambda Americas Inc.,AC/DC CONVERTER 15V 25W,214,0,"17.61000","0","1","LS (25W)","Active","Enclosed","1","88 ~ 264 VAC","15V","-","-","-","1.7A","25W","ITE (Commercial)","3kV","83%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.10"" L x 2.00"" W x 1.10"" H (78.7mm x 50.8mm x 27.9mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS25-12.JPG,285-1890-ND,LS25-5,TDK-Lambda Americas Inc.,AC/DC CONVERTER 5V 25W,940,0,"18.02000","0","1","LS (25W)","Active","Enclosed","1","88 ~ 264 VAC","5V","-","-","-","5A","25W","ITE (Commercial)","3kV","79%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.10"" L x 2.00"" W x 1.10"" H (78.7mm x 50.8mm x 27.9mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS25-12.JPG,285-1887-ND,LS25-3.3,TDK-Lambda Americas Inc.,AC/DC CONVERTER 3.3V 25W,439,0,"18.02000","0","1","LS (25W)","Active","Enclosed","1","88 ~ 264 VAC","3.3V","-","-","-","6A","25W","ITE (Commercial)","3kV","75%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.10"" L x 2.00"" W x 1.10"" H (78.7mm x 50.8mm x 27.9mm)"
http://www.deltapsu.com/products/download/Datasheet/PMT-12V35W1AA,//media.digikey.com/Photos/Delta%20Photos/PMT-12V35W1AA.JPG,1145-1072-ND,PMT-12V35W1AA,Delta Electronics,AC/DC CONVERTER 12V 35W,2241,0,"19.13000","0","1","PMT (35W)","Active","Enclosed","1","90 ~ 264 VAC","12V","-","-","-","2.92A","35W","ITE (Commercial)","3kV","84%","-10°C ~ 70°C (With Derating)","Adjustable Output, Universal Input","Chassis Mount","3.86"" L x 3.86"" W x 1.50"" H (98.0mm x 98.0mm x 38.0mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS35-12.JPG,285-1893-ND,LS35-24,TDK-Lambda Americas Inc.,AC/DC CONVERTER 24V 35W,1283,0,"19.39000","0","1","LS (35W)","Active","Enclosed","1","88 ~ 264 VAC","24V","-","-","-","1.5A","35W","ITE (Commercial)","3kV","84%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.90"" L x 3.20"" W x 1.40"" H (99.1mm x 81.3mm x 35.6mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS35-12.JPG,285-1891-ND,LS35-12,TDK-Lambda Americas Inc.,AC/DC CONVERTER 12V 35W,829,0,"19.39000","0","1","LS (35W)","Active","Enclosed","1","88 ~ 264 VAC","12V","-","-","-","3A","35W","ITE (Commercial)","3kV","82%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.90"" L x 3.20"" W x 1.40"" H (99.1mm x 81.3mm x 35.6mm)"
http://www.deltapsu.com/products/download/Datasheet/DRC-5V10W1AZ,//media.digikey.com/Photos/Delta%20Photos/DRC-5V10W1AZ.jpg,1145-1134-ND,DRC-5V10W1AZ,Delta Electronics,AC/DC CONVERTER 5V 10W,802,0,"21.01000","0","1","Chrome (10W)","Active","Enclosed","1","90 ~ 264 VAC","5V","-","-","-","1.5A","10W","ITE (Commercial)","3kV","78%","-25°C ~ 71°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","DIN Rail","3.58"" L x 0.81"" W x 2.19"" H (91.0mm x 18.0mm x 55.6mm)"
http://www.deltapsu.com/products/download/Datasheet/DRC-24V10W1AZ,//media.digikey.com/Photos/Delta%20Photos/MFG_DRC-24V10W1AZ.jpg,1145-1042-ND,DRC-24V10W1AZ,Delta Electronics,AC/DC CONVERTER 24V 10W,594,0,"21.01000","0","1","Chrome (10W)","Active","Enclosed","1","90 ~ 264 VAC","24V","-","-","-","420mA","10W","ITE (Commercial)","3kV","80%","-25°C ~ 71°C (With Derating)","Adjustable Output, DC Input Capable, IP20, Universal Input","DIN Rail","3.58"" L x 0.71"" W x 2.19"" H (91.0mm x 18.0mm x 55.6mm)"
https://www.artesyn.com/power/assets/nps40-m_ds_05-09-2014_0c782fd991.pdf,//media.digikey.com/Photos/Emerson%20Network%20Photos/NPS43-M.jpg,454-1482-ND,NPS45-M,Artesyn Embedded Technologies,AC/DC CONVERTER 24V 45W,1180,0,"21.29000","0","1","NPS40-M (60W)","Active","Open Frame","1","90 ~ 264 VAC","24V","-","-","-","1.9A","45W (60W Forced Air)","ITE (Commercial), Medical","-","87%","0°C ~ 80°C (With Derating)","Adjustable Output, DC Input Capable, Remote Sense, Universal Input","Chassis Mount","4.00"" L x 2.00"" W x 1.00"" H (101.6mm x 50.8mm x 21.8mm)"
