Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Region Utilized","Form","Input Type","Voltage - Input","Voltage - Output","Current - Output (Max)","Power (Watts)","No Load Power Consumption","Polarization","Applications","Efficiency","Operating Temperature","Output Connector","Cord Length","Input Connector","Size / Dimension","Approvals"
https://www.phihong.com/admin/uploads/PSM03E.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_PSM03E-050Q-3W-R.JPG,993-1250-ND,PSM03E-050Q-3W-R,Phihong USA,AC/DC WALL MOUNT ADAPTER 5V 3W,1124,0,"3.53001","0","1000","PSM03 (2.75W)","Active","Europe","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","550mA","2.8W","150mW (Max)","-","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 40°C","USB A Receptacle","-","CEE 7/16","0.83"" L x 1.69"" W x 2.37"" H (21.0mm x 43.0mm x 60.2mm)","cULus"
https://www.phihong.com/admin/uploads/PSM03A.pdf,//media.digikey.com/Photos/Phihong%20USA/PSM03X-2P-SERIES.jpg,993-1030-ND,PSM03A-050Q,Phihong USA,AC/DC WALL MOUNT ADAPTER 5V 3W,41537,0,"4.25000","0","1","PSM03 (2.75W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","550mA","2.8W","150mW (Max)","-","ITE (Commercial)","Level VI","0°C ~ 40°C","USB A Receptacle","-","NEMA 1-15P","0.83"" L x 1.69"" W x 1.65"" H (21.0mm x 43.0mm x 42.0mm)","cULus"
//media.digikey.com/pdf/Data%20Sheets/Phihong%20PDFs/PSM03A-050ID-R_Dwg.pdf,//media.digikey.com/Photos/Phihong%20USA/PSM03A-050(ID)-R.jpg,993-1254-ND,PSM03A-050(ID)-R,Phihong USA,AC/DC WALL MOUNT ADAPTER 5V 3W,19320,0,"4.42000","0","1","PSM03 (2.75W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","550mA","2.8W","100mW (Max)","-","ITE (Commercial)","Level VI","0°C ~ 40°C","USB Mini","59"" (1.50m)","NEMA 1-15P","1.69"" L x 0.83"" W x 1.55"" H (43.0mm x 21.0mm x 39.4mm)","cULus"
https://www.phihong.com/admin/uploads/PSM03E.pdf,//media.digikey.com/Photos/Phihong%20USA/PSM03E-050Q.jpg,993-1031-ND,PSM03E-050Q,Phihong USA,AC/DC WALL MOUNT ADAPTER 5V 3W,9540,0,"4.55000","0","1","PSM03 (2.75W)","Active","Europe","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","550mA","2.8W","150mW (Max)","-","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 40°C","USB A Receptacle","-","CEE 7/16","0.83"" L x 1.69"" W x 2.37"" H (21.0mm x 43.0mm x 60.2mm)","cULus"
https://www.phihong.com/admin/uploads/PSAA05A-050QL6.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_PSAA05A-050QL6-R.jpg,993-1394-ND,PSAA05A-050QL6-R,Phihong USA,AC/DC WALL MOUNT ADAPTER 5V 5W,8930,0,"4.63000","0","1","PSAA05 (5W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","1A","5W","75mW (Max)","-","ITE (Commercial)","Level VI, CoC Tier 2","-10°C ~ 45°C","USB A Receptacle","-","NEMA 1-15P","2.19"" L x 1.32"" W x 0.82"" H (55.6mm x 33.5mm x 20.8mm)","cULus, PSE"
https://www.phihong.com/admin/uploads/PSM03A-XXX.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_PSM03A-XXX.JPG,993-1232-ND,PSM03A-120-R,Phihong USA,AC/DC WALL MOUNT ADAPTER 12V 3W,1937,0,"4.68000","0","1","PSM03 (2.75W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","12V","230mA","3W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI","0°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 10.0mm","59"" (1.50m)","NEMA 1-15P","0.83"" L x 1.69"" W x 1.65"" H (21.0mm x 43.0mm x 42.0mm)","cULus"
https://www.phihong.com/admin/uploads/PSM03A-XXX.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_PSM03A-XXX.JPG,993-1236-ND,PSM03A-050-R,Phihong USA,AC/DC WALL MOUNT ADAPTER 5V 3W,1725,0,"4.68000","0","1","PSM03 (2.75W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","550mA","3W","100mW (Max)","Positive Center","ITE (Commercial)","Level VI","0°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 10.0mm","59"" (1.50m)","NEMA 1-15P","0.83"" L x 1.69"" W x 1.65"" H (21.0mm x 43.0mm x 42.0mm)","cULus"
https://www.phihong.com/admin/uploads/PSM03A.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_PSM03A-050Q-3W-R.jpg,993-1251-ND,PSM03A-050Q-3W-R,Phihong USA,AC/DC WALL MOUNT ADAPTER 5V 3W,20713,0,"4.96000","0","1","PSM03 (2.75W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","550mA","2.8W","150mW (Max)","-","ITE (Commercial)","Level VI","0°C ~ 40°C","USB A Receptacle","-","NEMA 1-15P","0.83"" L x 1.69"" W x 1.65"" H (21.0mm x 43.0mm x 42.0mm)","cULus"
https://www.xppower.com/Portals/0/pdfs/SF_VEL05.pdf,//media.digikey.com/Photos/XP%20Power/MFG_VEL05US050-US-BB.JPG,1470-2768-ND,VEL05US050-US-BB,XP Power,AC/DC WALL MOUNT ADAPTER 5V 5W,8222,0,"5.00000","0","1","VEL05 (5W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","1A","5W","100mW (Max)","-","ITE (Commercial)","Level VI","0°C ~ 60°C","USB A Receptacle","-","NEMA 1-15P","2.17"" L x 0.95"" W x 1.40"" H (55.1mm x 24.1mm x 35.5mm)","CB, TUV"
https://www.cui.com/product/resource/digikeypdf/swi3-n.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_SWI3-N.jpg,102-4478-ND,SWI3-5-N-MUB,CUI Inc.,AC/DC WALL MOUNT ADAPTER 5V 3W,1974,0,"5.20000","0","1","SWI3-N (3W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","600mA","3W","75mW (Max)","-","ITE (Commercial)","Level VI","0°C ~ 40°C","USB Micro","59"" (1.50m)","NEMA 1-15P","1.16"" L x 2.13"" W x 1.49"" H (29.5mm x 54.0mm x 37.9mm)","cULus, PSE"
https://www.phihong.com/admin/uploads/PSA05A.pdf,//media.digikey.com/Photos/Phihong%20USA/PSA05A-050QA-H.jpg,993-1327-ND,PSA05A-050QL6-H,Phihong USA,AC/DC WALL MOUNT ADAPTER 5V 5W,28590,0,"5.55000","0","1","PSA05A (5W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","1A","5W","30mW (Max)","-","ITE (Commercial)","Level VI","0°C ~ 40°C","USB A Receptacle","-","NEMA 1-15P","0.83"" L x 1.69"" W x 1.65"" H (21.0mm x 43.0mm x 42.0mm)","cULus"
https://www.phihong.com/admin/uploads/PSA05A.pdf,//media.digikey.com/Photos/Phihong%20USA/PSA05A-050QW.jpg,993-1329-ND,PSA05A-050QL6W,Phihong USA,AC/DC WALL MOUNT ADAPTER 5V 5W,2845,0,"5.63000","0","1","PSA05A (5W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","1A","5W","30mW (Max)","-","ITE (Commercial)","Level VI","0°C ~ 40°C","USB A Receptacle","-","NEMA 1-15P","0.83"" L x 1.69"" W x 1.65"" H (21.0mm x 43.0mm x 42.0mm)","CB, CE, cULus"
https://www.cui.com/product/resource/digikeypdf/swi5-n-usb.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_SWI5-N-USB.jpg,102-3422-ND,SWI5-5-N-I38,CUI Inc.,AC/DC WALL MOUNT ADAPTER 5V 5W,12869,0,"5.98000","0","1","SWI5-N-USB (5W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","1A","5W","75mW (Max)","-","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 40°C","USB A Receptacle","-","NEMA 1-15P","0.89"" L x 1.42"" W x 1.88"" H (22.6mm x 36.0mm x 47.7mm)","cULus, PSE"
http://www.qualtekusa.com/images/Power%20Supplies/pdf_files/QFAW%20Series.pdf,//media.digikey.com/Photos/Qualtek%20Photos/MFG_QFAW-05-05.jpg,Q971-ND,QFAW-05-05,Qualtek,AC/DC WALL MOUNT ADAPTER 5V 5W,1088,0,"6.09000","0","1","QFAW-05 (5W)","Active","North America","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","1A","5W","100mW (Max)","-","ITE (Commercial)","Level VI","-20°C ~ 40°C","USB A Receptacle","-","NEMA 1-15P","1.18"" L x 1.18"" W x 1.52"" H (30.0mm x 30.0mm x 38.6mm)","cULus, FCC"
https://www.cui.com/product/resource/digikeypdf/swi5-e-usb.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_SWI5-E-USB.jpg,102-3423-ND,SWI5-5-E-I38,CUI Inc.,AC/DC WALL MOUNT ADAPTER 5V 5W,12155,0,"6.17000","0","1","SWI5-E-USB (5W)","Active","Europe","Wall Mount","Fixed Blade","90 ~ 264 VAC","5V","1A","5W","75mW (Max)","-","ITE (Commercial)","Level VI, CoC Tier 2","0°C ~ 40°C","USB A Receptacle","-","CEE 7/16","0.89"" L x 1.42"" W x 2.58"" H (22.6mm x 36.0mm x 65.6mm)","CE, TUVgs"
