Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/Phihong%20PDFs/R-Series_Interchangeable_Clips.pdf,//media.digikey.com/Photos/Phihong%20USA/RPA.JPG,993-1054-ND,RPA,Phihong USA,INPUT PLUG US FOR R WALL ADAPTER,43855,0,"0.59000","0","1","-","Active","Input Plug, United States","R Series Wall Adapters"
//media.digikey.com/pdf/Data%20Sheets/Phihong%20PDFs/R-Series_Interchangeable_Clips.pdf,//media.digikey.com/Photos/Phihong%20USA/RPBAG.JPG,993-1053-ND,RPBAG,Phihong USA,INTERCHANGE BLADE KIT FOR R SER,42396,0,"3.06000","0","1","-","Active","Interchangeable Blade Kit","R Series Wall Adapters"
//media.digikey.com/pdf/Data%20Sheets/Phihong%20PDFs/PSA05F_Series_Interchangeable_Clips.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_FP%20Kit.jpg,993-1064-ND,FPBAG,Phihong USA,INTERCHANGE BLADE KIT FOR F SER,12761,0,"3.07000","0","1","-","Active","Interchangeable Blade Kit","F Series Wall Adapters"
https://www.cui.com/product/resource/digikeypdf/stk-din.pdf,//media.digikey.com/photos/CUI%20Photos/STK-DIN.JPG,102-1832-ND,STK-DIN,CUI Inc.,BRACKET DIN RAIL MOUNTING,10497,0,"4.20000","0","1","-","Active","Bracket - DIN Rail","-"
//media.digikey.com/pdf/Data%20Sheets/Condor%20Power%20Supplies%20PDFs/PW170.pdf,//media.digikey.com/photos/SL%20Pwr%20Elect%20Mfg%20of%20Condor/KT1027K.jpg,271-2392-ND,KT1027K,SL Power Electronics Manufacture of Condor/Ault Brands,INTERCHANG BLADE KIT PW170/MW172,4931,0,"6.44000","0","1","PW170KA","Active","Interchangeable Blade Kit","PW170, MW172 Power Supplies"
http://www.vicorpower.com/documents/datasheets/DCM3714xD2H26F0yzz_ds.pdf,//media.digikey.com/Photos/Vicor%20Corporation/42550.jpg,1102-5484-ND,42550,Vicor Corporation,CONN HARNESS FOR DC/DC CONVERTER,738,0,"10.21000","0","1","DCM™","Active","Connector Harness","DC/DC Converter"
https://www.advancedenergy.com/globalassets/resources-root/data-sheets/en-lv-ultimod-data-sheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/XE1.JPG,633-1307-ND,XE1,Excelsys Technologies Ltd,ADAPTER FOR POWERMODS,801,0,"15.91000","0","1","-","Active","Adapter","powerMods"
https://belfuse.com/resources/datasheets/powersolutions/ds-bps-linear-series.pdf,//media.digikey.com/photos/Power-One%20Photos/OVP-24G.JPG,179-2354-ND,OVP-24G,Bel Power Solutions,OVERVOLT PROT FOR BEL POWER,156,0,"38.50000","0","1","Linear","Active","Overvoltage Protection","Bel Power Solutions Linear Power Supplies"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2866857.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2866857.jpg,277-6989-ND,2866857,Phoenix Contact,ADAPTER MOUNT FOR QUINT PWR SUPP,142,563,"40.52000","0","1","-","Active","Adapter - Mounting","Quint Power Supply"
http://www.pulspower.com/fileadmin/Dateien/pdf/pisa11eclass2.pdf,"//media.digikey.com/Photos/PULS,%20LP/MFG_PISA11.CLASS2.jpg",1736-1045-ND,PISA11.CLASS2,"PULS, LP",MOD LOAD MONITOR FOR POWER CNVTR,34,0,"112.50000","0","1","PISA11","Active","Module, Load Monitor","Power Converters"
http://www.vicorpower.com/documents/datasheets/ds_AIM1714xB6MC7D5yzz.pdf,//media.digikey.com/Photos/Vicor%20Corporation/MFG_VIA-AIM-Series.jpg,1102-5497-ND,AIM1714VB6MC7D5T00,Vicor Corporation,FILTER FOR VICOR VIA PFM PWR SUP,467,0,"113.87000","0","1","VIA AIM™","Active","Single Phase AC Input Module","VICOR VIA PFM™ Power Supplies"
http://www.vicorpower.com/documents/datasheets/ds_MFM1714x50M50C5yzz.pdf,//media.digikey.com/Photos/Vicor%20Corporation/LV-MFM-Series_MFM1714xxx.jpg,1102-5688-ND,MFM1714B50M50C5M08,Vicor Corporation,FILTER FOR VICOR POWER SUPPLY,70,0,"293.61000","0","1","LV MFM™","Active","Filter","VICOR Power Supplies"
http://www.vicorpower.com/documents/datasheets/ds_MFM1714x50M50C5yzz.pdf,//media.digikey.com/Photos/Vicor%20Corporation/LV-MFM-Series_MFM1714xxx.jpg,1102-5687-ND,MFM1714B50M50C5M04,Vicor Corporation,FILTER FOR VICOR POWER SUPPLY,42,0,"293.61000","0","1","LV MFM™","Active","Filter","VICOR Power Supplies"
