Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Voltage - Input (Min)","Voltage - Input (Max)","Number of Outputs","Voltage - Output 1","Voltage - Output 2","Voltage - Output 3","Voltage - Output 4","Current - Output (Max)","Power (Watts)","Voltage - Isolation","Applications","Efficiency","Operating Temperature","Mounting Type","Size / Dimension"
https://www.recom-power.com/pdf/Innoline/R-78Wxx-0.5.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_R-78Wxx-0.5.jpg,945-2202-ND,R-78W5.0-0.5,Recom Power,DC/DC CONVERTER 5V,1527,1000,"8.40000","0","1","Bulk","INNOLINE R-78-0.5","Active","Enclosed","6.5V","32V","1","5V","-","-","-","500mA","-","-","ITE (Commercial)","93%","-40°C ~ 85°C","Chassis Mount","0.69"" L x 0.45"" W x 0.33"" H (17.5mm x 11.5mm x 8.5mm)"
https://www.recom-power.com/pdf/Innoline/R-78Wxx-0.5.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_R-78Wxx-0.5.jpg,945-2204-ND,R-78W12-0.5,Recom Power,DC/DC CONVERTER 12V,1448,1000,"8.58000","0","1","Bulk","INNOLINE R-78-0.5","Active","Enclosed","15V","32V","1","12V","-","-","-","500mA","-","-","ITE (Commercial)","96%","-40°C ~ 85°C","Chassis Mount","0.45"" L x 0.33"" W x 0.69"" H (11.5mm x 8.5mm x 17.5mm)"
https://www.recom-power.com/pdf/Innoline/R-78Wxx-0.5.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_R-78Wxx-0.5.jpg,945-2203-ND,R-78W9.0-0.5,Recom Power,DC/DC CONVERTER 9V,874,1000,"8.58000","0","1","Bulk","INNOLINE R-78-0.5","Active","Enclosed","11V","32V","1","9V","-","-","-","500mA","-","-","ITE (Commercial)","95%","-40°C ~ 85°C","Chassis Mount","0.45"" L x 0.33"" W x 0.69"" H (11.5mm x 8.5mm x 17.5mm)"
https://www.recom-power.com/pdf/Innoline/R-78Wxx-0.5.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_R-78Wxx-0.5.jpg,945-2270-ND,R-78W3.3-0.5,Recom Power,DC/DC CONVERTER 3.3V,660,825,"8.64000","0","1","Bulk","INNOLINE R-78-0.5","Active","Enclosed","6.5V","32V","1","3.3V","-","-","-","500mA","-","-","ITE (Commercial)","90%","-40°C ~ 85°C","Chassis Mount","0.69"" L x 0.45"" W x 0.33"" H (17.5mm x 11.5mm x 8.5mm)"
https://www.recom-power.com/pdf/Innoline/R-78HBxx-0.5_W.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_R-78HB%5EW-Series.jpg,945-2444-ND,R-78HB5.0-0.5/W,Recom Power,DC/DC CONVERTER 5V 3W,2122,1000,"14.22000","0","1","Box","INNOLINE R-78HBxx","Active","Enclosed","9V","72V","1","5V","-","-","-","500mA","3W","-","ITE (Commercial)","86%","-40°C ~ 85°C","Chassis Mount","0.48"" L x 0.38"" W x 0.94"" H (12.1mm x 9.7mm x 24.0mm)"
https://www.recom-power.com/pdf/Innoline/R-78HBxx-0.5_W.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_R-78HB%5EW-Series.jpg,945-2445-ND,R-78HB12-0.5/W,Recom Power,DC/DC CONVERTER 12V 6W,312,225,"14.93000","0","1","Box","INNOLINE R-78HBxx","Active","Enclosed","17V","72V","1","12V","-","-","-","500mA","6W","-","ITE (Commercial)","93%","-40°C ~ 85°C","Chassis Mount","0.48"" L x 0.38"" W x 0.94"" H (12.1mm x 9.7mm x 24.0mm)"
https://www.cui.com/product/resource/digikeypdf/pyb10-u.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB10-U.jpg,102-3154-ND,PYB10-Q24-S5-U,CUI Inc.,DC/DC CONVERTER 5V 10W,413,0,"29.88000","0","1","Tray","PYB10-U (10W)","Active","Enclosed","9V","36V","1","5V","-","-","-","2A","10W","-","-","82%","-40°C ~ 85°C","Chassis Mount","2.16"" L x 2.06"" W x 0.75"" H (54.9mm x 52.3mm x 19.1mm)"
https://www.cui.com/product/resource/digikeypdf/pyb10-u.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB10-U.jpg,102-3155-ND,PYB10-Q24-S12-U,CUI Inc.,DC/DC CONVERTER 12V 10W,407,0,"29.94000","0","1","Tray","PYB10-U (10W)","Active","Enclosed","9V","36V","1","12V","-","-","-","833mA","10W","-","-","86%","-40°C ~ 85°C","Chassis Mount","2.16"" L x 2.06"" W x 0.75"" H (54.9mm x 52.3mm x 19.1mm)"
https://www.cui.com/product/resource/digikeypdf/pyb10-t.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB10-T.jpg,102-3138-ND,PYB10-Q24-S5-T,CUI Inc.,DC/DC CONVERTER 5V 10W,762,0,"33.35000","0","1","Tray","PYB10-T (10W)","Active","Enclosed","9V","36V","1","5V","-","-","-","2A","10W","-","-","82%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb10-t.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB10-T.jpg,102-3137-ND,PYB10-Q24-S3-T,CUI Inc.,DC/DC CONVERTER 3.3V 10W,516,0,"33.35000","0","1","Tray","PYB10-T (10W)","Active","Enclosed","9V","36V","1","3.3V","-","-","-","2.4A","10W","-","-","79%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
