Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Proto Board Type","Package Accepted","Number of Positions","Pitch","Board Thickness","Material","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-00717_Web.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/BOB-00717.jpg,1568-1098-ND,BOB-00717,SparkFun Electronics,SOT23 TO DIP ADAPTER,2952,0,"0.95000","0","1","-","Active","SMD to DIP","SOT-23","6","-","-","-","0.460"" L x 0.340"" W (11.68mm x 8.64mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/8-Pin_SOIC_to_DIP_Adapter_HookupGuide_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/BOB-13655.jpg,1568-1123-ND,BOB-13655,SparkFun Electronics,SOIC TO DIP ADAPTER 8PIN 1=4 PCS,764,0,"2.95000","0","1","-","Active","SMD to DIP","SOIC","8","-","-","-","0.400"" L x 0.400"" W (10.16mm x 10.16mm)"
https://www.arieselec.com/products/data/19000-small-outline-prototyping-adapters.pdf,//media.digikey.com/Photos/Aries/LCQT-SOIC8-8.JPG,A880AR-ND,LCQT-SOIC8-8,Aries Electronics,SOCKET ADAPTER SOIC TO 8DIP,2089,0,"3.09000","0","1","Correct-A-Chip®","Active","SMD to DIP","SOIC","8","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.500"" L x 0.500"" W (12.70mm x 12.70mm)"
http://www.chipquik.com/datasheets/PA0001.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0001.JPG,PA0001-ND,PA0001,Chip Quik Inc.,SOIC-8 TO DIP-8 SMT ADAPTER,282,0,"3.49000","0","1","Proto-Advantage","Active","SMD to DIP","SOIC","8","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.400"" (17.78mm x 10.16mm)"
http://www.chipquik.com/datasheets/PA0006.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0006.JPG,PA0006-ND,PA0006,Chip Quik Inc.,SOIC-16 TO DIP-16 SMT ADAPTER,874,0,"4.09000","0","1","Proto-Advantage","Active","SMD to DIP","SOIC","16","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.800"" (17.78mm x 20.32mm)"
http://www.chipquik.com/datasheets/PA0034.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0034.JPG,PA0034-ND,PA0034,Chip Quik Inc.,TSSOP-16 TO DIP-16 SMT ADAPTER,248,0,"4.19000","0","1","Proto-Advantage","Active","SMD to DIP","TSSOP","16","0.026"" (0.65mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.700"" x 0.800"" (17.78mm x 20.32mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-10031_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/BOB-10031.JPG,1568-1192-ND,BOB-10031,SparkFun Electronics,USB MICROB PLUG BREAKOUT,377,0,"4.25000","0","1","-","Active","Connector to Plated Through Hole","USB - micro B","5","-","-","-","0.900"" L x 0.550"" W (22.86mm x 13.97mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/USB_TypeA_Female_Brkout_HookupGuide.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/BOB-12700.JPG,1568-1300-ND,BOB-12700,SparkFun Electronics,SPARKFUN USB TYPE A FEMALE BREAK,760,0,"4.50000","0","1","-","Active","Connector to Plated Through Hole","USB - A","4","-","-","-","1.020"" L x 0.900"" W (25.90mm x 22.90mm)"
http://www.logicalsys.com/datasht/sod3sm18.pdf,//media.digikey.com/photos/Logical%20Systems%20Photos/MFG_PA-SOD3SM18-08.JPG,309-1098-ND,PA-SOD3SM18-08,Logical Systems Inc.,SOCKET ADAPTER SOIC TO 8DIP,3018,0,"5.00000","0","1","-","Active","SMD to DIP","SOIC","8","0.050"" (1.27mm)","0.031"" (0.79mm) 1/32""","-","0.450"" L x 0.500"" W (11.43mm x 12.70mm)"
http://www.logicalsys.com/datasht/sod3sm18.pdf,//media.digikey.com/Photos/Logical%20Systems%20Photos/MFG_pa-sod3sm18-16.jpg,309-1122-ND,PA-SOD3SM18-16,Logical Systems Inc.,SOCKET ADAPTER SOIC TO 16DIP,400,0,"8.00000","0","1","-","Active","SMD to DIP","SOIC","16","0.050"" (1.27mm)","0.031"" (0.79mm) 1/32""","-","0.850"" L x 0.500"" W (21.59mm x 12.70mm)"
