Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size / Dimension","Contacts","Material"
https://www.vectorelect.com/ueb220-6u.html,//media.digikey.com/Photos/Vector%20Photos/MFG_UEB220-6U-FR-08-01-2012.jpg,V2121-ND,UEB220-6U,Vector Electronics,CARD EXTENDERS 96 PINS CONTACTS,7,0,"429.53000","0","1","-","Active","-","-","96 Pins","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/VME64-M_web.pdf,//media.digikey.com/Photos/Vector%20Photos/MFG_VME64-M.jpg,V2101-ND,VME64-M,Vector Electronics,CARD EXTENDERS VME,8,0,"1498.50000","0","1","-","Active","VME","11.750"" x 9.187"" (298.00mm x 233.35mm)","-","FR4 Epoxy Glass"
https://www.vectorelect.com/ueb220-3u.html,//media.digikey.com/Photos/Vector%20Photos/MFG_UEB220-3U-FR-08-01-2012.jpg,V2107-ND,UEB220-3U,Vector Electronics,CARD EXTENDERS 96 PINS CONTACTS,9,0,"276.00000","0","1","-","Active","-","-","96 Pins","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Twin%20Industries%20PDFs/cPCI_Extender_Cards.pdf,//media.digikey.com/Photos/Twin%20Industries%20Photos/2000-6U-EXTM-LF.jpg,438-1056-ND,2000-6U-EXTM-LF,Twin Industries,CARD EXTENDERS PCI,2,0,"854.84000","0","1","-","Active","PCI","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,//media.digikey.com/photos/Vector%20Photos/3690-16.jpg,V1115-ND,3690-16,Vector Electronics,CARD EXTENDERS 28 ES CT GEN PURP,38,0,"48.04000","0","1","Vectorbord®","Active","General Purpose","6.500"" x 4.500"" (165.10mm x 114.30mm)","28 each side, 0.125"" (3.18mm) Centers","FR4 Epoxy Glass"
-,//media.digikey.com/Photos/Twin%20Industries%20Photos/8196-6U-EXT-LF.JPG,438-1063-ND,8196-6U-EXT-LF,Twin Industries,CARD EXTENDERS VME,11,0,"185.00000","0","1","-","Active","VME","9.200"" x 9.900"" (233.68mm x 251.46mm)","-","-"
-,//media.digikey.com/Photos/Twin%20Industries%20Photos/3300-EXTM-LF.JPG,438-1065-ND,3300-EXTM-LF,Twin Industries,CARD EXTENDERS PCMCIA,5,0,"116.82000","0","1","-","Active","PCMCIA","2.125"" x 6.350"" (53.97mm x 161.29mm)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Twin%20Industries%20PDFs/cPCI_Extender_Cards.pdf,//media.digikey.com/Photos/Twin%20Industries%20Photos/2000-EXTM-LF.JPG,438-1055-ND,2000-EXTM-LF,Twin Industries,CARD EXTENDERS PCI,8,0,"249.00000","0","1","-","Active","PCI","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/CardEdgeExtendersPage63.pdf,//media.digikey.com/photos/Vector%20Photos/3690-12.jpg,V1144-ND,3690-12,Vector Electronics,CARD EXTENDERS 50 ES CT GEN PURP,23,0,"76.98000","0","1","Vectorbord®","Active","General Purpose","-","50 each side, 0.125"" (3.18mm) Centers","FR4 Epoxy Glass"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/PCMCIA.pdf,//media.digikey.com/photos/Vector%20Photos/4625-3.jpg,V1169-ND,4625-3,Vector Electronics,CARD EXTENDER KIT PCMCIA ADAPTER,6,0,"135.98000","0","1","-","Active","-","6.000"" x 4.500"" (152.40mm x 114.30mm)","-","-"
