Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Form","Features","Shelf Life","Shelf Life Start","Storage/Refrigeration Temperature"
http://www.mgchemicals.com/downloads/tds/tds-8462.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/8462-85ML.JPG,473-1232-ND,8462-85ML,MG Chemicals,LUB DIELECT SIL GREASE TUBE 87G,105,0,"15.88000","0","1","8462","Active","Dielectric Silicone Grease","Translucent","Tube, 87g (2.7 oz)","Lubricant","60 Months","Date of Manufacture","32°F ~ 77°F (0°C ~ 25°C)"
https://www.chemtronics.com/content/msds/TDS_CW3300.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CW3300G.jpg,CW3300G-ND,CW3300G,Chemtronics,COAT ACRYLIC ADH PEN 4.9G GREEN,153,0,"27.18000","0","1","CircuitWorks®","Active","Acrylic Adhesive","Green","Pen, 4.9g (0.16 oz)","Coating, Static Dissipative","24 Months","Date of Manufacture","-"
https://www.mgchemicals.com/downloads/tds/tds-422B-a.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/422B-340G.jpg,473-1353-ND,422B-340G,MG Chemicals,CONFORMAL COATING SILICONE 14OZ,34,0,"24.43000","0","1","*","Active","-","-","-","-","-","-","-"
https://www.chemtronics.com/content/msds/TDS_CTSR.pdf,//media.digikey.com/Photos/Chemtronics/CTSR-12.jpg,CTSR-12-ND,CTSR-12,Chemtronics,CONFORMAL COATING SILICONE 10 OZ,82,0,"47.11000","0","1","Konform® SR","Active","Silicone","Clear","Can, 413mL (10 oz)","Conformal Coating","12 Months","Date of Manufacture","-"
http://www.mgchemicals.com/downloads/tds/tds-8331-2parts.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_8331-14G.jpg,473-1141-ND,8331-14G,MG Chemicals,COND EPOXY 2PART SYR 14G SILVER,58,0,"51.46000","0","1","8331","Active","Epoxy, 2 Part","Silver Gray","Syringe, 14g (0.47 oz)","Conductive, Repair","36 Months","Date of Manufacture","72°F (22°C), Room Temperature"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-11521_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11521.jpg,1568-1635-ND,COM-11521,SparkFun Electronics,COND PAINT PEN 10G BLACK,49,0,"10.31000","0","1","Bare Conductive","Active","Paint","Black","Pen, 10g (0.35 oz)","Conductive","6 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_CW2500.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CW2500.JPG,CW2500-ND,CW2500,Chemtronics,PROT COAT EP 2PART SYR 7.4G MULT,85,0,"19.80000","0","1","CircuitWorks®","Active","Epoxy, 2 Part","Multiple","Syringe, 7.4g (0.26 oz)","Protective Coating","12 Months","Date of Manufacture","77°F (25°C)"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/MFG_4223F-312G.jpg,473-1393-ND,4223F-312G,MG Chemicals,CONFORMAL COATING POLYURETHANE,11,0,"20.25000","0","1","4223F","Active","Polyurethane","-","Can, 430 mL (14.6 oz)","Coating","60 Months","Date of Manufacture","-"
http://www.chipquik.com/datasheets/CP1-10S.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/MFG_CP1-10S.jpg,CP1-10S-ND,CP1-10S,Chip Quik Inc.,COND PAINT SYRINGE 10G,13,0,"21.95000","0","1","-","Active","Paint","-","Syringe, 10g (0.35 oz)","Conductive","12 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-13254_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-13254.jpg,1568-1636-ND,COM-13254,SparkFun Electronics,CIRCUIT SCRIBE CONDUCTIVE INK PE,36,0,"22.50000","0","1","Circuit Scribe","Active","-","Gray","-","Conductive","-","-","-"
