Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Diameter - Bit","Diameter - Shank","Material"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL1004.jpg,1932-1008-ND,TL1004,Bantam Tools,DRILL BIT CARBIDE 0.031"",14,0,"25.92000","0","1","-","Active","End Mill, Flat","0.031"" (0.79mm)","-","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/PCB_Engraving_Bits_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL10xx.jpg,1932-1016-ND,TL1008,Bantam Tools,DRILL BIT CARBIDE 0.005"",16,0,"34.56000","0","1","-","Active","End Mill, Engraving","0.005"" (0.13mm)","-","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/PCB_Engraving_Bits_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL10xx.jpg,1932-1017-ND,TL1017,Bantam Tools,DRILL BIT CARBIDE 0.003"",17,0,"40.32000","0","1","-","Active","End Mill, Engraving","0.003"" (0.08mm)","-","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Electronics_Bit_Bundle_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_BN1002.jpg,1932-1042-ND,BN1002,Bantam Tools,DRILL BIT CARBIDE ASSORTED,17,0,"155.04000","0","1","-","Active","End Mill","Assorted","-","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/The_Works_Bit_Bundle_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_BN1010.jpg,1932-1041-ND,BN1010,Bantam Tools,DRILL BIT CARBIDE ASSORTED,11,0,"165.12000","0","1","-","Active","End Mill","Assorted","-","Carbide"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL1000.jpg,1932-1011-ND,TL1000,Bantam Tools,DRILL BIT CARBIDE 0.125"",22,0,"20.16000","0","1","-","Active","End Mill, Ball","0.125"" (3.18mm)","-","Carbide"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL1002.jpg,1932-1006-ND,TL1002,Bantam Tools,DRILL BIT CARBIDE 0.125"",20,0,"20.16000","0","1","-","Active","End Mill, Flat","0.125"" (3.18mm)","-","Carbide"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL1001.jpg,1932-1012-ND,TL1001,Bantam Tools,DRILL BIT CARBIDE 0.063"",33,0,"23.04000","0","1","-","Active","End Mill, Ball","0.063"" (1.60mm)","-","Carbide"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL1011.jpg,1932-1013-ND,TL1011,Bantam Tools,DRILL BIT CARBIDE 0.031"",28,0,"25.92000","0","1","-","Active","End Mill, Ball","0.031"" (0.79mm)","-","Carbide"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL1012.jpg,1932-1014-ND,TL1012,Bantam Tools,DRILL BIT CARBIDE 0.016"",31,0,"28.80000","0","1","-","Active","End Mill, Ball","0.016"" (0.41mm)","-","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Metal_Engraving_Bits_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL1007.jpg,1932-1015-ND,TL1007,Bantam Tools,DRILL BIT CARBIDE 0.005"",16,0,"28.80000","0","1","-","Active","End Mill, Engraving","0.005"" (0.13mm)","-","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Modeling_Bit_Bundle_Web.pdf,-,1932-1051-ND,BN1004,Bantam Tools,DRILL BIT MODELING BUNDLE,10,0,"88.40000","0","1","*","Active","End Mill","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Modeling_Bundle_Web.pdf,-,1932-1052-ND,BN1005,Bantam Tools,DRILL BIT MODELING BUNDLE,8,0,"138.60000","0","1","*","Active","End Mill","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/PCB_Engraving_Bits_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/TL1008-10.jpg,1932-1053-ND,TL1008-10,Bantam Tools,DRILL BIT PCB ENGRAV 0.005"" 10PK,6,0,"276.48000","0","1","*","Active","End Mill, Engraving","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/PCB_Engraving_Bits_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/TL1017-10.jpg,1932-1054-ND,TL1017-10,Bantam Tools,DRILL BIT PCB ENGRAV 0.003"" 10PK,7,0,"322.56000","0","1","*","Active","End Mill, Engraving","-","-","-"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL1003.jpg,1932-1007-ND,TL1003,Bantam Tools,DRILL BIT CARBIDE 0.063"",5,0,"23.04000","0","1","-","Active","End Mill, Flat","0.063"" (1.60mm)","-","Carbide"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL1005.jpg,1932-1009-ND,TL1005,Bantam Tools,DRILL BIT CARBIDE 0.016"",3,0,"28.80000","0","1","-","Active","End Mill, Flat","0.016"" (0.41mm)","-","Carbide"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_TL1010.jpg,1932-1010-ND,TL1010,Bantam Tools,DRILL BIT CARBIDE 0.010"",0,0,"31.68000","0","1","-","Active","End Mill, Flat","0.010"" (0.25mm)","-","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Capital%20Advanced%20PDFs/DBCxx-1.pdf,//media.digikey.com/photos/Injectorall%20Electronics%20Photos/PC300C-66.jpg,DBC69-1CA-ND,DBC69-1,Capital Advanced Technologies,DRILL BIT CARBIDE 0.029"",20,0,"5.28000","0","1","C","Active","Drill Bit","0.029"" (0.74mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Capital%20Advanced%20PDFs/DBCxx-1.pdf,//media.digikey.com/photos/Injectorall%20Electronics%20Photos/PC300C-66.jpg,DBC64-1CA-ND,DBC64-1,Capital Advanced Technologies,DRILL BIT CARBIDE 0.036"",20,0,"5.28000","0","1","C","Active","Drill Bit","0.036"" (0.91mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Capital%20Advanced%20PDFs/DBCxx-1.pdf,//media.digikey.com/photos/Injectorall%20Electronics%20Photos/PC300C-66.jpg,DBC66-1CA-ND,DBC66-1,Capital Advanced Technologies,DRILL BIT CARBIDE 0.033"",12,0,"5.28000","0","1","C","Active","Drill Bit","0.033"" (0.84mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Capital%20Advanced%20PDFs/DBCxx-1.pdf,//media.digikey.com/photos/Injectorall%20Electronics%20Photos/PC300C-66.jpg,DBC56-1CA-ND,DBC56-1,Capital Advanced Technologies,DRILL BIT CARBIDE 0.047"",11,0,"5.28000","0","1","C","Active","Drill Bit","0.047"" (1.19mm)","0.125"" (3.18mm)","Carbide"
