Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Storage/Refrigeration Temperature","Shelf Life Start","Shelf Life"
https://www.chemtronics.com/content/msds/TDS_CM8.pdf,//media.digikey.com/Photos/ITW%20Chemtronics%20Photos/CM8.JPG,CM8-ND,CM8,Chemtronics,CHEMASK PEELABLE,314,0,"25.42000","0","1","-","Active","Solder Mask","Printed Circuit Boards","-","Date of Manufacture","24 Months"
https://tdsna.henkel.com//NA/UT/HNAUTTDS.nsf/web/D5B85DF01ABDEFB1882571870000DC45/$File/SPOT-ON-EN.pdf,//media.digikey.com/Photos/Multicore/292959.JPG,82-154-ND,2323877,Multicore,SOLDER MASK MSC 1000S 250 ML,161,0,"30.80000","0","1","-","Active","Solder Mask","Printed Circuit Boards","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/GC%20Electronics%20PDFs/22-0222.pdf,//media.digikey.com/photos/GC%20Electronics%20Photos/22-0222.jpg,GC222-ND,22-0222,GC Electronics,PEN INK ETCH-RESIST 1/64"" TIP,115,0,"4.70000","0","1","-","Active","Etch Resist Pen","Printed Circuit Boards","-","-","-"
https://www.techspray.com/content/msds/TS-2211_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_2211-8SQ.jpg,1873-1109-ND,2211-8SQ,Techspray,WONDERMASK P PEELABLE SOLDER MAS,81,0,"16.08000","0","1","WonderMASK® PX","Active","Solder Mask","Printed Circuit Boards","-","Date of Manufacture","24 Months"
https://www.techspray.com/Content/msds/2222%20TDS%20093013.pdf,//media.digikey.com/Photos/Techspray/MFG_2222-8SQ.jpg,1873-1089-ND,2222-8SQ,Techspray,WONDERMASK PX LATEX,13,0,"16.71000","0","1","WonderMASK® PX","Active","Solder Mask","Printed Circuit Boards","-","Date of Manufacture","6 Months"
http://www.mgchemicals.com/downloads/tds/tds-862.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/MFG_862-250ML.jpg,473-1212-ND,862-250ML,MG Chemicals,"PEELABLE SOLDER MASK, AMMONIUM F",9,0,"20.43000","0","1","-","Active","Solder Mask","Printed Circuit Boards","-","Date of Manufacture","36 Months"
//media.digikey.com/pdf/Data%20Sheets/GC%20Electronics%20PDFs/22-0220.pdf,//media.digikey.com/photos/GC%20Electronics%20Photos/22-0220.JPG,GC220-ND,22-0220,GC Electronics,PEN INK ETCH-RESIST 1/32"" TIP,72,0,"3.10000","0","1","-","Active","Etch Resist Pen","Printed Circuit Boards","-","-","-"
https://www.aclstaticide.com/datasheets/8692_TDS_19.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8692.jpg,ST1199-ND,8692,ACL Staticide Inc,MIGHTY MASK II SLDR MSKNG AGENT,21,0,"24.50000","0","1","Staticide®","Active","Solder Mask","Printed Circuit Boards","-","-","-"
-,//media.digikey.com/Photos/Datak/DE-52.jpg,DE-52-ND,DE-52,Datak,"DIRECT ETCH TRANS 37, 50 PIN D",94,0,"1.20000","0","1","-","Obsolete","-","-","-","-","-"
-,//media.digikey.com/Photos/Datak/DE-51.jpg,DE-51-ND,DE-51,Datak,"DIRECT ETCH TRANS 15,25 PIN D",54,0,"1.20000","0","1","-","Obsolete","-","-","-","-","-"
https://www.techspray.com/content/msds/TC-533_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/53-4008-0533.jpg,1873-1123-ND,53-4008-0533,Techspray,TC533 TECHFORM SOLDER MASK 8OZ,1,0,"17.50000","0","1","Techform TC-533","Active","Solder Mask","Printed Circuit Boards","120°F (49°C)","-","-"
-,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_415_500ML.jpg,473-1387-ND,415-500ML,MG Chemicals,FERRIC CHLORIDE SOLUTION,9,0,"11.32000","0","1","-","Active","Chloride Solution","Printed Circuit Boards","60°F ~ 80°F (16°C ~ 27°C)","Date of Manufacture","36 Months"
http://www.aclstaticide.com/datasheets/8691TDS_14.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8691.jpg,ST8691-ND,8691,ACL Staticide Inc,MIGHTY MASK SLDR MSKNG AGENT,0,0,"12.50000","0","1","Staticide®","Active","Solder Mask","Printed Circuit Boards","65°F ~ 70°F (18°C ~ 21°C)","-","-"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/MFG_415-1L.jpg,473-1386-ND,415-1L,MG Chemicals,FERRIC CHLORIDE SOLUTION,2,0,"20.43000","0","1","-","Active","Chloride Solution","Printed Circuit Boards","60°F ~ 80°F (16°C ~ 27°C)","Date of Manufacture","36 Months"
http://www.mgchemicals.com/downloads/appguide/appguide0804.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/416-T.JPG,473-1038-ND,416-T,MG Chemicals,FILM TRANSPARENCY 8.5X11"" 5 SHTS,23,0,"9.96000","0","1","-","Obsolete","Transparency Film","Printed Circuit Boards","-","Date of Manufacture","60 Months"
https://www.chemtronics.com/content/msds/TDS_CNA8.pdf,-,CNA8-ND,CNA8,Chemtronics,SOLDER MASK,0,0,"18.36000","0","24","-","Active","Solder Mask","Printed Circuit Boards","-","Date of Manufacture","24 Months"
https://www.techspray.com/content/msds/TS-2205_ENG_TDS.pdf,-,2205-8SQ-ND,2205-8SQ,Techspray,WONDERMASK W,0,0,"19.01000","0","24","WonderMASK® WX","Active","Solder Mask","Printed Circuit Boards","-","Date of Manufacture","24 Months"
