Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Length","Color","Wire Gauge"
https://cdn.sparkfun.com/datasheets/Prototyping/ACCA-0270%20Model.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-12796.JPG,1568-1513-ND,PRT-12796,SparkFun Electronics,JUMPER WIRE F/F 6"" 20PCS,3289,0,"1.95000","0","1","20 per Pkg","-","Active","Female to Female","6.00"" (152.40mm)","Various","-"
https://cdn.sparkfun.com/datasheets/Prototyping/ACCA-0268%20Model.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-12794.JPG,1568-1511-ND,PRT-12794,SparkFun Electronics,JUMPER WIRE M/F 6"" 20PCS,2017,0,"1.95000","0","1","20 per Pkg","-","Active","Male to Female","6.00"" (152.40mm)","Various","-"
https://cdn.sparkfun.com/datasheets/Prototyping/ACCA-0269%20Model.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-12795.JPG,1568-1512-ND,PRT-12795,SparkFun Electronics,JUMPER WIRE M/M 6"" 20PCS,1364,0,"1.95000","0","1","20 per Pkg","-","Active","Male to Male","6.00"" (152.40mm)","Various","-"
-,//media.digikey.com/Photos/BUD%20Industries%20Photos/BC-32672.jpg,377-2264-ND,BC-32672,Bud Industries,JUMPER F/F 11.811"" 26AWG 10PCS,2873,3262,"4.50000","0","1","10 per Pkg","-","Active","Female to Female","11.811"" (300.00mm)","Various","26 AWG"
http://www.budind.com/pdf/hbBC32625.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/BC-32625.jpg,377-2093-ND,BC-32625,Bud Industries,JUMPER KIT VARIOUS 26AWG 65PCS,2546,1178,"5.30000","0","1","65 per Pkg","BG, Board-Ganizer","Active","Kit - Male to Male","Various","Various","26 AWG"
http://www.globalspecialties.com/accessories/wires-connectors/download/1650_77858e6b88f9ed486c4489d8f5de4001.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_WK-2.jpg,BKWK-2-ND,WK-2,Global Specialties,JUMPER KIT VARIOUS 22AWG 140PCS,842,0,"6.20000","0","1","140 per Pkg","-","Active","Kit - Pre-Formed for Breadboard","Various","Various","22 AWG"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/923345-05-C.JPG,923345-05-ND,923345-05-C,3M,JUMPER PREFORM 0.5"" 22AWG 200PCS,1191,0,"20.56000","0","1","200 per Pkg","-","Active","Pre-Formed for Breadboard","0.500"" (12.70mm)","Green","22 AWG"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/923345-03-C.jpg,923345-03-ND,923345-03-C,3M,JUMPER PREFORM 0.3"" 22AWG 200PCS,1092,0,"20.56000","0","1","200 per Pkg","-","Active","Pre-Formed for Breadboard","0.300"" (7.62mm)","Orange","22 AWG"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/923345-01-C.jpg,923345-01-ND,923345-01-C,3M,JUMPER PREFORM 0.1"" 22AWG 200PCS,1037,0,"20.56000","0","1","200 per Pkg","-","Active","Pre-Formed for Breadboard","0.100"" (2.54mm)","No Insulation","22 AWG"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/923345-04-C.jpg,923345-04-ND,923345-04-C,3M,JUMPER PREFORM 0.4"" 22AWG 200PCS,1037,0,"20.56000","0","1","200 per Pkg","-","Active","Pre-Formed for Breadboard","0.400"" (10.16mm)","Yellow","22 AWG"
http://www.globalspecialties.com/accessories/wires-connectors/download/1649_4a9d37809849309a5c33527b5f9ff7ac.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_WK-1.jpg,BKWK-1-ND,WK-1,Global Specialties,JUMPER KIT VARIOUS 22AWG 350PCS,266,0,"22.65000","0","1","350 per Pkg","-","Active","Kit - Pre-Formed for Breadboard","Various","Various","22 AWG"
-,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-511.JPG,1471-1230-ND,MIKROE-511,MikroElektronika,JUMPER WIRE F/F 5.91"" 10PCS,1124,0,"3.06000","0","1","10 per Pkg","-","Active","Female to Female","5.91"" (150.00mm)","Various","-"
-,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-512.jpg,1471-1231-ND,MIKROE-512,MikroElektronika,JUMPER WIRE M/F 5.91"" 10PCS,762,0,"3.06000","0","1","10 per Pkg","-","Active","Male to Female","5.91"" (150.00mm)","Various","-"
-,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-513.jpg,1471-1232-ND,MIKROE-513,MikroElektronika,JUMPER WIRE M/M 5.91"" 10PCS,566,0,"3.06000","0","1","10 per Pkg","-","Active","Male to Male","5.91"" (150.00mm)","Various","-"
http://www.globalspecialties.com/accessories/wires-connectors/download/1651_b10223947c2c2cc3ec433779e5b00549.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_WK-3.jpg,BKWK-3-ND,WK-3,Global Specialties,JUMPER KIT VARIOUS 22AWG 70PCS,450,0,"3.60000","0","1","70 per Pkg","-","Active","Kit - Pre-Formed for Breadboard","Various","Various","22 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/826_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/826.jpg,1528-1162-ND,826,Adafruit Industries LLC,JUMPER WIRE M/F 5.91"" 1PC,1333,0,"3.95000","0","1","1 per Pkg","-","Active","Male to Female, Zippable, 40 Conductor","5.91"" (150.00mm)","Various","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/758_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/758.jpg,1528-1154-ND,758,Adafruit Industries LLC,JUMPER M/M 5.91"" 28AWG 1PC,1171,0,"3.95000","0","1","1 per Pkg","-","Active","Male to Male, Zippable, 40 Conductor","5.91"" (150.00mm)","Various","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/266_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_266.jpg,1528-1379-ND,266,Adafruit Industries LLC,JUMPER WIRE F/F 5.91"" 1PC,848,0,"3.95000","0","1","1 per Pkg","-","Active","Female to Female, Zippable, 40 Conductor","5.91"" (150.00mm)","Various","-"
