Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Proto Board Type","Plating","Pitch","Circuit Pattern","Edge Contacts","Hole Diameter","Size / Dimension","Board Thickness"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-08808_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-08808.jpg,1568-1652-ND,PRT-08808,SparkFun Electronics,BREADBOARD GENERAL PURPOSE,1370,0,"1.50000","0","1","-","Active","Breadboard, General Purpose","-","0.1"" (2.54mm) Grid","Pad (Square)","-","-","1.00"" L x 1.00"" W (25.4mm x 25.4mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-12702_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-12702.jpg,1568-1083-ND,PRT-12702,SparkFun Electronics,BREADBOARD GENERAL PURPOSE PTH,1729,0,"2.95000","0","1","-","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","5 Hole Pad (Both Sides)","-","-","1.97"" L x 1.38"" W (50.0mm x 35.0mm)","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0203_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_FIT0203.jpg,1738-1001-ND,FIT0203,DFRobot,BREADBOARD GENERAL PURPOSE PTH,523,0,"2.99000","0","1","-","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","Pad Per Hole (Square)","-","-","3.08"" L x 2.28"" W (78.0mm x 58.0mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-12070_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-12070.jpg,1568-1082-ND,PRT-12070,SparkFun Electronics,BREADBOARD GENERAL PURPOSE PTH,1071,0,"4.95000","0","1","-","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm), 0.200"" (5.08mm)","5 Hole Pad (Both Sides)","-","-","3.70"" L x 2.50"" W (94.0mm x 63.5mm)","-"
http://nebula.wsimg.com/25c3ac685cf1fa524c4a152ea9049fc1?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,//media.digikey.com/photos/Vector%20Photos/8022.jpg,V2018-ND,8022,Vector Electronics,BREADBOARD GENERAL PURPOSE NPTH,740,0,"6.00000","0","1","Vectorbord® Circbord™","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","Common Bus","-","0.042"" (1.07mm)","3.50"" L x 3.00"" W (88.9mm x 76.2mm)","0.062"" (1.57mm) 1/16"""
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/8029_Dwg_RevA_8-24-04.pdf,//media.digikey.com/photos/Vector%20Photos/8029.JPG,V2025-ND,8029,Vector Electronics,BREADBOARD GENERAL PURPOSE PTH,390,0,"7.01000","0","1","Vectorbord® Circbord™","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.042"" (1.07mm)","3.00"" L x 2.00"" W (76.2mm x 50.8mm)","0.062"" (1.57mm) 1/16"""
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/8015-1_Web.pdf,//media.digikey.com/photos/Vector%20Photos/8015-1.jpg,V2010-ND,8015-1,Vector Electronics,BREADBOARD GENERAL PURPOSE NPTH,231,0,"7.66000","0","1","Vectorbord® Circbord™","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.042"" (1.07mm)","4.00"" L x 4.00"" W (101.6mm x 101.6mm)","0.062"" (1.57mm) 1/16"""
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-13268_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/PRT-13268.JPG,1568-1129-ND,PRT-13268,SparkFun Electronics,BREADBOARD GENERAL PURPOSE PTH,179,0,"7.95000","0","1","-","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","-","5.120"" L x 2.680"" W (130.05mm x 68.07mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Large-Solderable-Breadbrd_HookupGuide.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/PRT-12699.JPG,1568-1289-ND,PRT-12699,SparkFun Electronics,BREADBOARD GENERAL PURPOSE PTH,308,0,"8.95000","0","1","-","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","5 Hole Pad (Both Sides)","-","-","6.50"" L x 2.21"" W (165.0mm x 56.0mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/Vectorbord.pdf,//media.digikey.com/photos/Vector%20Photos/64P44WE.jpg,V1042-ND,64P44WE,Vector Electronics,BREADBRD PREPUNCHED INSULAT NPTH,276,0,"9.14000","0","1","Vectorbord®","Active","Breadboard, Prepunched Insulating","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","-","-","0.042"" (1.07mm)","6.50"" L x 4.50"" W (165.1mm x 114.3mm)","0.062"" (1.57mm) 1/16"""
