Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Terminal Strips","Number of Distribution Buses","Number of Tie Points (Total)","Number of 5-Tie Point Terminals","Number of Binding Posts","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0096_Web.pdf,//media.digikey.com/Photos/DFRobot/FIT0096.jpg,1738-1326-ND,FIT0096,DFRobot,BREADBRD TERM STRIP 3.20X2.00"",119,0,"2.99000","0","1","-","Active","Terminal Strip (No Frame)","1","2","400","60","-","3.20"" L x 2.00"" W (81.3mm x 50.8mm)"
-,//media.digikey.com/Photos/Parallax%20Photos/700-00012.JPG,700-00012-ND,700-00012,Parallax Inc.,BREADBOARD TERM STRIP 1.75X1.38"",519,0,"3.99000","0","1","-","Active","Terminal Strip (No Frame)","1","-","170","34","-","1.75"" x 1.38"" (44.5mm x 35.1mm)"
http://www.budind.com/pdf/hbBB32620.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/BB-32620.JPG,377-2094-ND,BB-32621,Bud Industries,BREADBOARD TERM STRIP 3.20X2.08"",4608,3748,"4.50000","0","1","BG, Board-Ganizer","Active","Terminal Strip (No Frame)","-","-","400","-","-","3.20"" x 2.08"" (81.3mm x 52.8mm)"
http://www.globalspecialties.com/media/k2/attachments/GS-400_datasheet.pdf,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_GS-400.jpg,BKGS-400-ND,GS-400,Global Specialties,BREADBRD TERM STRIP 3.30X1.40"",2056,0,"5.65000","0","1","GS","Active","Terminal Strip (No Frame)","1","2","400","60","-","3.30"" L x 1.40"" W (83.8mm x 35.6mm)"
http://www.globalspecialties.com/media/k2/attachments/GS-830_datasheet.pdf,//media.digikey.com/Photos/BK%20Precision%20Photos/GS-830.jpg,BKGS-830-ND,GS-830,Global Specialties,BREADBRD TERM STRIP 6.50X2.13"",1031,0,"8.25000","0","1","GS","Active","Terminal Strip (No Frame)","1","2","830","166","-","6.50"" L x 2.13"" W (165.1mm x 54.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Digilent%20PDFs/340-002-1_Web.pdf,"//media.digikey.com/Photos/Digilent,%20Inc/MFG_340-002-1_View-1.jpg",1286-1220-ND,340-002-1,"Digilent, Inc.",BREADBOARD KIT SOLDERLESS LARGE,197,0,"22.50000","0","1","-","Active","Assembly (On Frame)","3","5","2390","378","4","9.06"" x 6.89"" (230.0mm x 175.0mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/922318.jpg,922318-ND,922318,3M,BREADBOARD ASSEMBLY 7.75X6.25"",56,0,"94.67000","0","1","300","Active","Assembly (On Frame)","2","6","1824","256","3","7.75"" x 6.25"" (196.9mm x 158.8mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/922327.jpg,922327-ND,922327,3M,BREADBOARD ASSEMBLY 8.00X9.25"",42,0,"151.57000","0","1","300","Active","Assembly (On Frame)","3","8","2712","384","4","8.00"" x 9.25"" (203.2mm x 235.0mm)"
http://www.globalspecialties.com/solderless-breadboards/breadboards-powered/download/1188_b58da1df6f28612c3fd28b55613c0f1d.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_PB-203A.jpg,BKPB-203A-ND,PB-203A,Global Specialties,POWERED BREADBOARD,37,0,"195.70000","0","1","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0008_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_FIT0008.jpg,1738-1321-ND,FIT0008,DFRobot,BREADBOARD TERM STRIP 1.80X1.40"",250,0,"2.99000","0","1","-","Active","Terminal Strip (No Frame)","1","-","170","34","-","1.80"" x 1.40"" (45.7mm x 35.6mm)"
