Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Standards","Interface","Voltage - Supply","Operating Temperature","Package / Case","Supplier Device Package"
http://www.st.com/content/ccc/resource/technical/document/datasheet/4e/fd/ac/70/b2/bc/43/fa/DM00038059.pdf/files/DM00038059.pdf/jcr:content/translations/en.DM00038059.pdf,//media.digikey.com/Renders/STMicro%20Renders/8-DFN.jpg,497-13743-2-ND,M24LR04E-RMC6T/2,STMicroelectronics,IC RFID TRANSP 13.56MHZ 8UFDFPN,30000,0,"0.42560","0","5000","Tape & Reel (TR)","-","Active","RFID Transponder","13.56MHz","ISO 15693, ISO 18000-3, NFC","I²C","1.8V ~ 5.5V","-40°C ~ 85°C","8-UFDFN Exposed Pad","8-UFDFPN (2x3)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/4e/fd/ac/70/b2/bc/43/fa/DM00038059.pdf/files/DM00038059.pdf/jcr:content/translations/en.DM00038059.pdf,//media.digikey.com/Renders/STMicro%20Renders/8-DFN.jpg,497-13743-1-ND,M24LR04E-RMC6T/2,STMicroelectronics,IC RFID TRANSP 13.56MHZ 8UFDFPN,30558,0,"1.18000","0","1","Cut Tape (CT)","-","Active","RFID Transponder","13.56MHz","ISO 15693, ISO 18000-3, NFC","I²C","1.8V ~ 5.5V","-40°C ~ 85°C","8-UFDFN Exposed Pad","8-UFDFPN (2x3)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/4e/fd/ac/70/b2/bc/43/fa/DM00038059.pdf/files/DM00038059.pdf/jcr:content/translations/en.DM00038059.pdf,//media.digikey.com/Renders/STMicro%20Renders/8-DFN.jpg,497-13743-6-ND,M24LR04E-RMC6T/2,STMicroelectronics,IC RFID TRANSP 13.56MHZ 8UFDFPN,30558,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Transponder","13.56MHz","ISO 15693, ISO 18000-3, NFC","I²C","1.8V ~ 5.5V","-40°C ~ 85°C","8-UFDFN Exposed Pad","8-UFDFPN (2x3)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/56/58/3c/91/80/a4/49/89/DM00031737.pdf/files/DM00031737.pdf/jcr:content/translations/en.DM00031737.pdf,//media.digikey.com/Renders/STMicro%20Renders/8-DFN.jpg,497-11601-2-ND,M24LR16E-RMC6T/2,STMicroelectronics,IC RFID TRANSP 13.56MHZ 8UFDFPN,5000,0,"0.57190","0","5000","Tape & Reel (TR)","-","Active","RFID Transponder","13.56MHz","ISO 15693, ISO 18000-3, NFC","I²C","1.8V ~ 5.5V","-40°C ~ 85°C","8-UFDFN Exposed Pad","8-UFDFPN (2x3)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/56/58/3c/91/80/a4/49/89/DM00031737.pdf/files/DM00031737.pdf/jcr:content/translations/en.DM00031737.pdf,//media.digikey.com/Renders/STMicro%20Renders/8-DFN.jpg,497-11601-1-ND,M24LR16E-RMC6T/2,STMicroelectronics,IC RFID TRANSP 13.56MHZ 8UFDFPN,9603,0,"1.58000","0","1","Cut Tape (CT)","-","Active","RFID Transponder","13.56MHz","ISO 15693, ISO 18000-3, NFC","I²C","1.8V ~ 5.5V","-40°C ~ 85°C","8-UFDFN Exposed Pad","8-UFDFPN (2x3)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/56/58/3c/91/80/a4/49/89/DM00031737.pdf/files/DM00031737.pdf/jcr:content/translations/en.DM00031737.pdf,//media.digikey.com/Renders/STMicro%20Renders/8-DFN.jpg,497-11601-6-ND,M24LR16E-RMC6T/2,STMicroelectronics,IC RFID TRANSP 13.56MHZ 8UFDFPN,9603,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Transponder","13.56MHz","ISO 15693, ISO 18000-3, NFC","I²C","1.8V ~ 5.5V","-40°C ~ 85°C","8-UFDFN Exposed Pad","8-UFDFPN (2x3)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/45/6b/a2/02/63/ad/45/43/DM00047008.pdf/files/DM00047008.pdf/jcr:content/translations/en.DM00047008.pdf,//media.digikey.com/Renders/STMicro%20Renders/8-SOIC.jpg,497-13746-2-ND,M24LR64E-RMN6T/2,STMicroelectronics,IC RFID TRANSP 13.56MHZ 8SO,5000,0,"0.79650","0","2500","Tape & Reel (TR)","-","Active","RFID Transponder","13.56MHz","ISO 15693, ISO 18000-3, NFC","I²C","1.8V ~ 5.5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)","8-SO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/45/6b/a2/02/63/ad/45/43/DM00047008.pdf/files/DM00047008.pdf/jcr:content/translations/en.DM00047008.pdf,//media.digikey.com/Renders/STMicro%20Renders/8-SOIC.jpg,497-13746-1-ND,M24LR64E-RMN6T/2,STMicroelectronics,IC RFID TRANSP 13.56MHZ 8SO,7112,0,"1.92000","0","1","Cut Tape (CT)","-","Active","RFID Transponder","13.56MHz","ISO 15693, ISO 18000-3, NFC","I²C","1.8V ~ 5.5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)","8-SO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/45/6b/a2/02/63/ad/45/43/DM00047008.pdf/files/DM00047008.pdf/jcr:content/translations/en.DM00047008.pdf,//media.digikey.com/Renders/STMicro%20Renders/8-SOIC.jpg,497-13746-6-ND,M24LR64E-RMN6T/2,STMicroelectronics,IC RFID TRANSP 13.56MHZ 8SO,7112,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Transponder","13.56MHz","ISO 15693, ISO 18000-3, NFC","I²C","1.8V ~ 5.5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)","8-SO"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf7962a,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-46402-2-ND,TRF7962ARHBR,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,24000,0,"1.87264","0","3000","Tape & Reel (TR)","-","Active","RFID Reader","13.56MHz","ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-25°C ~ 85°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
