Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Features","Size / Dimension"
https://www.molex.com/pdm_docs/sd/1462360001_sd.pdf,-,WM22479-ND,1462360001,Molex,RECTANGLE STANDARD NFC ANTENNA 1,18242,0,"0.90000","0","1","-","146236","Active","13.56MHz","Near Field Communications (NFC)","15.00mm L x 25.00mm W x 0.17mm H"
http://productfinder.pulseeng.com/products/datasheets/L152.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_W7001.jpg,553-2633-ND,W7001,PulseLarsen Antennas,NFC STAMP FLEX ANTENNA,4479,0,"1.61000","0","1","Bulk","-","Active","13.56MHz","25mm x 25mm x 0.12mm","25.00mm L x 25.00mm W x 0.12mm H"
https://cdn.taoglas.com/datasheets/FXR.01.07.0100C.A.pdf,//media.digikey.com/Photos/Taoglas/MFG_FXR.01.07.0100C.A.jpg,931-1242-ND,FXR.01.07.0100C.A,Taoglas Limited,RFID ANTENNA FLEX READER MHFI,575,0,"12.51000","0","1","Bulk","-","Active","13.56MHz","Near Field Communications (NFC)","-"
https://en.tdk.eu/inf/30/db/ind_2008/b82451n.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82451N4754E2.jpg,495-6637-2-ND,B82451N4754E002,EPCOS (TDK),TRANSPONDER COIL 4.75MH SMD,1500,0,"0.92829","0","1500","Tape & Reel (TR)","Automotive, AEC-Q200, B82451N","Active","125kHz","-","-"
https://en.tdk.eu/inf/30/db/ind_2008/b82451n.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82451N4754E2.jpg,495-6637-1-ND,B82451N4754E002,EPCOS (TDK),TRANSPONDER COIL 4.75MH SMD,2874,0,"2.24000","0","1","Cut Tape (CT)","Automotive, AEC-Q200, B82451N","Active","125kHz","-","-"
https://en.tdk.eu/inf/30/db/ind_2008/b82451n.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82451N4754E2.jpg,495-6637-6-ND,B82451N4754E002,EPCOS (TDK),TRANSPONDER COIL 4.75MH SMD,2874,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q200, B82451N","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/db/ind_2008/b82450a_a.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-2721-2-ND,B82450A7004A000,EPCOS (TDK),TRANSPONDER COIL 7MH SMD,2500,0,"1.04415","0","2500","Tape & Reel (TR)","Automotive, AEC-Q200, B82450A","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/db/ind_2008/b82450a_a.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-2721-1-ND,B82450A7004A000,EPCOS (TDK),TRANSPONDER COIL 7MH SMD,3775,0,"2.60000","0","1","Cut Tape (CT)","Automotive, AEC-Q200, B82450A","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/db/ind_2008/b82450a_a.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-2721-6-ND,B82450A7004A000,EPCOS (TDK),TRANSPONDER COIL 7MH SMD,3775,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q200, B82450A","Active","125kHz","-","-"
https://www.molex.com/pdm_docs/sd/1462360031_sd.pdf,//media.digikey.com/Photos/Molex/MFG_1462360031.jpg,WM16672-ND,1462360031,Molex,RECTANGLE STANDARD NFC ANTENNA 4,4695,0,"2.56000","0","1","Bulk","-","Active","13.56MHz","-","55.00mm L x 45.00mm W x 0.17mm H"
