Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Frequency","For Use With/Related Products","Supplied Contents"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Simultaneous_RFID_Tag_Reader_HookupGuide_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/SEN-14066.jpg,1568-1519-ND,SEN-14066,SparkFun Electronics,M6ENANO SIMULTANEOUS RFID READER,68,0,"224.95000","0","1","Mercury®6e","Active","Read/Write","-","M6E-Nano","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/user_manual/group0/71/64/68/29/5c/78/43/20/DM00285905/files/DM00285905.pdf/jcr:content/translations/en.DM00285905.pdf,//media.digikey.com/Photos/STMicro%20Photos/MFG_ANT7-T-M24SR64.JPG,497-16555-ND,ANT7-T-M24SR64,STMicroelectronics,ANTENNA REF BOARD M24SR64-Y,154,0,"4.93000","0","1","-","Active","Antenna","13.56MHz","M24SR64-Y","Board(s)"
https://cdn-learn.adafruit.com/downloads/pdf/adafruit-pn532-rfid-nfc.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_364.jpg,1528-1781-ND,364,Adafruit Industries LLC,PN532 NFC/RFID BREAKOUT BOARD,245,0,"39.95000","0","1","-","Active","Near Field Communication (NFC)","13.56MHz","PN532","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/data_brief/30/35/86/6e/a1/e6/46/18/DM00052753.pdf/files/DM00052753.pdf/jcr:content/translations/en.DM00052753.pdf,//media.digikey.com/Photos/STMicro%20Photos/M24LR-DISCOVERY.jpg,497-13250-ND,M24LR-DISCOVERY,STMicroelectronics,NFC/RFID EVAL M24LR 13.56MHZ,42,0,"21.60000","0","1","-","Active","Read/Write","13.56MHz","M24LR","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/data_brief/group1/11/32/f2/f6/66/90/4e/13/DM00363429/files/DM00363429.pdf/jcr:content/translations/en.DM00363429.pdf,//media.digikey.com/Photos/STMicro%20Photos/MFG_ST25R3911B-DISCO.JPG,497-17250-ND,ST25R3911B-DISCO,STMicroelectronics,DISCOVERY KIT FOR ST25R3911B,36,0,"46.25000","0","1","-","Active","RFID Reader","13.56MHz","ST25R3911B","Board(s)"
http://www.ti.com/lit/pdf/scbu050,//media.digikey.com/Photos/Texas%20Instr%20Photos/MRD2EVM.jpg,296-37504-ND,MRD2EVM,Texas Instruments,KIT EVAL MICROREADER LF HSX RFID,0,0,"102.80000","0","1","-","Active","RFID Reader","134.2kHz","RI-STU-MRD2","Board(s), Accessories"
http://www.dlpdesign.com/rf/dlp-rfid2-ds-v114.pdf,//media.digikey.com/Photos/DLP%20Design%20Inc/MFG_DLP-RFID2-EDK.jpg,813-1041-ND,DLP-RFID2-EDK,DLP Design Inc.,KIT EVAL 13.56MHZ R/W DLP-RFID2,9,0,"299.95000","0","1","-","Active","Read/Write","13.56MHz","DLP-RFID2","Board(s), Accessories"
http://www.thingmagic.com/images/pdfs/USB-ProReader-datasheet.pdf,//media.digikey.com/Photos/ThingMagic/MFG_USB-6EP-DEVKIT.jpg,1523-1014-ND,USB-6EP-DEVKIT,"ThingMagic, a JADAK brand",USB PRO RFID READER DEVELOPMENT,19,0,"695.00000","0","1","Mercury®6e","Active","Read/Write","-","Micro-LTE (M6E-MICRO)","Board(s), Cable(s)"
http://www.thingmagic.com/images/stories/publicuserguides/Nano_Design_Guide_Apr15.pdf,//media.digikey.com/Photos/ThingMagic/MFG_ThingMagic%20Module%20DevKit.jpg,1523-1010-ND,M6E-NANO-DEVKIT,"ThingMagic, a JADAK brand",KIT DEV FOR M6E-NANO,5,0,"741.00000","0","1","Mercury®6e","Active","Read/Write","-","M6E-Nano","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/ThingMagic%20PDF's/Micro-LTE.pdf,//media.digikey.com/Photos/ThingMagic/MFG_ThingMagic%20Module%20DevKit.jpg,1523-1008-ND,M6E-MICRO-DEVKIT,"ThingMagic, a JADAK brand",KIT DEVELOPMENT M6E MICRO-LTE,8,0,"769.00000","0","1","Mercury®6e","Active","Read/Write","-","Micro-LTE (M6E-MICRO)","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/ThingMagic%20PDF's/MERCURYDevKit.pdf,//media.digikey.com/Photos/ThingMagic/MFG_ThingMagic%20Module%20DevKit.jpg,1523-1006-ND,M6E-DEVKIT,"ThingMagic, a JADAK brand",KIT DEV M6E MULTIPROTOCOL,19,0,"875.00000","0","1","Mercury®6e","Active","Read/Write","-","M6E","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/ThingMagic%20PDF's/Micro.pdf,//media.digikey.com/Photos/ThingMagic/MFG_ThingMagic%20Module%20DevKit.jpg,1523-1007-ND,M6E-M-DEVKIT,"ThingMagic, a JADAK brand",KIT DEVELOPMENT M6E MICRO,13,0,"875.01000","0","1","Mercury®6e","Active","Read/Write","-","Micro (M6E-M)","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/data_brief/group0/41/bb/2c/cd/06/98/4a/4d/DM00283045/files/DM00283045.pdf/jcr:content/translations/en.DM00283045.pdf,//media.digikey.com/Photos/STMicro%20Photos/MFG_ANT7-T-M24LR04E.JPG,497-16556-ND,ANT7-T-M24LR04E,STMicroelectronics,ANTENNA REF BOARD M24LR04E-R,69,0,"4.93000","0","1","-","Active","Antenna","13.56MHz","M24LR04E-R","Board(s)"
-,//media.digikey.com/Photos/Texas%20Instr%20Photos/RF430-TMPSNS-EVM.JPG,296-46762-ND,RF430-TMPSNS-EVM,Texas Instruments,EVALUATION MODULE,56,0,"10.33000","0","1","-","Active","Near Field Communication (NFC)","13.56MHz","RF430FRL152H","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/data_brief/group1/9f/ef/a5/6a/cb/f4/43/a6/DM00480650/files/DM00480650.pdf/jcr:content/translations/en.DM00480650.pdf,//media.digikey.com/Photos/STMicro%20Photos/MFG_STEVAL-SMARTAG1.jpg,497-18079-ND,STEVAL-SMARTAG1,STMicroelectronics,NFC DYNAMIC TAG SENSOR NODE EVAL,50,0,"18.62000","0","1","-","Active","Near Field Communication (NFC)","-","ST25DV","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/data_brief/group1/c2/55/b8/50/50/85/4e/3f/DM00313884/files/DM00313884.pdf/jcr:content/translations/en.DM00313884.pdf,//media.digikey.com/Photos/STMicro%20Photos/MFG_ANT-1-6-ST25DV.jpg,497-17726-ND,ANT-1-6-ST25DV,STMicroelectronics,75 MM X 45 MM AND 22.5 MM X 18.5,39,0,"18.90000","0","1","-","Active","Antenna","13.56MHz","ST25DV04K","Board(s)"
