Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Interface","Standards","Package / Case","Supplier Device Package"
http://www.dlpdesign.com/rf/dlp-rfid2-ds-v114.pdf,//media.digikey.com/Photos/DLP%20Design%20Inc/DLP-RFID2.jpg,813-1043-ND,DLP-RFID2,DLP Design Inc.,RFID READER R/W 13.56MHZ MOD,1242,0,"34.95000","0","1","Bulk","-","Active","Read/Write","13.56MHz","TTL","ISO 14443,  ISO 15693, ISO 18000-3, NFC","Module","-"
http://www.ti.com/lit/pdf/scbu049,//media.digikey.com/Photos/Texas%20Instr%20Photos/RI-STU-MRD2.jpg,296-35897-ND,RI-STU-MRD2,Texas Instruments,RFID READER R/W 134.2KHZ MODULE,665,10000,"92.40000","0","1","Bulk","-","Active","Read/Write","134.2kHz","TTL, USB","-","Module","Module"
http://www.dlpdesign.com/rf/dlp-rfid1-ds-v15.pdf,//media.digikey.com/photos/DLP%20Design%20Inc/DLP-RFID1-OG.JPG,813-1013-ND,DLP-RFID1-OG,DLP Design Inc.,RFID READER R/W 13.56MHZ MODULE,47,0,"94.50000","0","1","Bulk","-","Active","Read/Write","13.56MHz","USB","ISO 15693, ISO 18000-3","Module","Module"
http://www.dlpdesign.com/rf/dlp-rfid1-ds-v15.pdf,//media.digikey.com/Photos/DLP%20Design%20Inc/MFG_DLP-RFID1.jpg,813-1012-ND,DLP-RFID1,DLP Design Inc.,RFID READER R/W 13.56MHZ MODULE,49,0,"119.95000","0","1","Bulk","-","Active","Read/Write","13.56MHz","USB","ISO 15693, ISO 18000-3","Module","Module"
//media.digikey.com/pdf/Data%20Sheets/ThingMagic%20PDF's/Micro-LTE.pdf,//media.digikey.com/Photos/ThingMagic/MFG_M6E-MICRO.jpg,1523-1004-ND,M6E-MICRO,"ThingMagic, a JADAK brand",RFID READER R/W 865-928MHZ MOD,877,0,"234.00000","0","1","Bulk","Mercury®6e","Active","Read/Write","865MHz ~ 928MHz","UART, USB","EPC, ISO 18000-6","Module","-"
//media.digikey.com/pdf/Data%20Sheets/ThingMagic%20PDF's/Micro.pdf,//media.digikey.com/Photos/ThingMagic/MFG_M6E-M.jpg,1523-1003-ND,M6E-M,"ThingMagic, a JADAK brand",RFID READER R/W 865-928MHZ MOD,174,0,"291.00000","0","1","Bulk","-","Active","Read/Write","865MHz ~ 928MHz","UART, USB","EPC, ISO 18000-6","Module","-"
http://www.feig.de/fileadmin/user_upload/Downloads/Datenblaetter/Data_sheet_Identification_Handheld_Readers_ID_ISC_PRH101_102.pdf,//media.digikey.com/photos/Feig%20Elect%20Photos/1524.001.01.00.JPG,629-1011-ND,1524.001.01,FEIG Electronic,RFID READER READ ONLY 13.56MHZ,34,0,"398.21000","0","1","Bulk","OBID® i-scan® Proximity PRH101","Active","Read Only","13.56MHz","USB","ISO 15693, ISO 18000-3","Hand-held 231x80x100 mm, USB","-"
//media.digikey.com/pdf/Data%20Sheets/ThingMagic%20PDF's/UHF%20RFID%20Module%20Family.pdf,//media.digikey.com/Photos/ThingMagic/MFG_M6E.jpg,1523-1002-ND,M6E,"ThingMagic, a JADAK brand",RFID READER R/W 865-928MHZ MOD,57,0,"406.00000","0","1","Bulk","Mercury®6e","Active","Read/Write","865MHz ~ 928MHz","UART, USB","EPC, ISO 18000-6","Module","-"
http://www.thingmagic.com/images/pdfs/USB-ProReader-datasheet.pdf,//media.digikey.com/Photos/ThingMagic/MFG_USB-6EP-DEVKIT.jpg,1523-1013-ND,USB-6EP,"ThingMagic, a JADAK brand",RFID READER R/W 865-928MHZ,95,0,"495.00000","0","1","Bulk","-","Active","Read/Write","865MHz ~ 928MHz","USB","EPC, ISO 18000-6","Finished Unit","-"
http://www.dlpdesign.com/rf/dlp-lp8c-ds-v17.pdf,//media.digikey.com/photos/DLP%20Design%20Inc/DLP-RFID-LP8C.JPG,813-1020-ND,DLP-RFID-LP8C,DLP Design Inc.,RFID READER R/W 13.56MHZ MODULE,26,0,"199.95000","0","1","Bulk","-","Active","Read/Write","13.56MHz","USB","ISO 14443, ISO 15693, ISO 18000-3","Module","Module"
