Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","Technology","Frequency","Memory Type","Writable Memory","Standards","Operating Temperature","Size / Dimension"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-227m5-Datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/MFG_AD-227m5.jpg,1543-1005-ND,600368,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,96690,0,"0.68000","0","1","Impinj® Monza® 5","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","128b (EPC)","EPC, ISO 18000-6","-40°C ~ 85°C","95.03mm x 8.15mm"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-721-NFC-Datasheet-v1.pdf,//media.digikey.com/photos/Avery%20Dennison/MFG_AD-721.JPG,1543-1054-ND,700070,Avery Dennison RFID,RFID TAG R/W 13.56MHZ INLAY,1642,0,"0.81000","0","1","-","Active","Inlay","Passive","13.56MHz","Read/Write","144B (User)","ISO 14443","-25°C ~ 50°C","21.00mm Dia"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-709x-Datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/700037.jpg,1543-1052-ND,700067,Avery Dennison RFID,RFID TAG 13.56MHZ INLAY,10623,0,"0.88000","0","1","-","Active","Inlay","Passive","13.56MHz","-","-","ISO 15693, ISO 18000-3","-40°C ~ 85°C","47.00mm x 47.00mm"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Frf-hdt-dvbe,//media.digikey.com/Photos/Texas%20Instr%20Photos/RF-HDT-DVBE-N2.jpg,296-24842-ND,RF-HDT-DVBE-N2,Texas Instruments,RFID TAG R/W 13.56MHZ ENCAP,33114,10000,"2.46000","0","1","Encapsulated","Active","Encapsulated","Passive","13.56MHz","Read/Write","256b (User)","ISO 15693, ISO 18000-3","-25°C ~ 90°C","22.00mm Dia x 3.00mm"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrpgr30atga,//media.digikey.com/Photos/Texas%20Instr%20Photos/TRPGR30ATGA.jpg,296-37825-2-ND,TRPGR30ATGA,Texas Instruments,RFID TAG RD ONLY 134.2KHZ ENCAP,2000,10000,"2.73847","0","2000","-","Active","Glass Encapsulated","Passive","134.2kHz","Read Only","-","ISO 11784, ISO 11785","-25°C ~ 70°C","3.85mm Dia x 23.10mm"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrpgr30atga,//media.digikey.com/Photos/Texas%20Instr%20Photos/TRPGR30ATGA.jpg,296-37825-1-ND,TRPGR30ATGA,Texas Instruments,RFID TAG RD ONLY 134.2KHZ ENCAP,6283,10001,"5.94000","0","1","-","Active","Glass Encapsulated","Passive","134.2kHz","Read Only","-","ISO 11784, ISO 11785","-25°C ~ 70°C","3.85mm Dia x 23.10mm"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrpgr30atga,//media.digikey.com/Photos/Texas%20Instr%20Photos/TRPGR30ATGA.jpg,296-37825-6-ND,TRPGR30ATGA,Texas Instruments,RFID TAG RD ONLY 134.2KHZ ENCAP,6283,10001,"Digi-Reel","0","1","-","Active","Glass Encapsulated","Passive","134.2kHz","Read Only","-","ISO 11784, ISO 11785","-25°C ~ 70°C","3.85mm Dia x 23.10mm"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrpgr30atgb,//media.digikey.com/photos/Texas%20Instr%20Photos/TRPGR30ATGB.JPG,296-37823-2-ND,TRPGR30ATGB,Texas Instruments,RFID TAG RD ONLY 134.2KHZ ENCAP,6000,10000,"2.94994","0","2000","-","Active","Glass Encapsulated","Passive","134.2kHz","Read Only","-","ISO 11784, ISO 11785","-25°C ~ 70°C","3.85mm Dia x 31.20mm"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrpgr30atgb,//media.digikey.com/photos/Texas%20Instr%20Photos/TRPGR30ATGB.JPG,296-37823-1-ND,TRPGR30ATGB,Texas Instruments,RFID TAG RD ONLY 134.2KHZ ENCAP,11645,10001,"6.40000","0","1","-","Active","Glass Encapsulated","Passive","134.2kHz","Read Only","-","ISO 11784, ISO 11785","-25°C ~ 70°C","3.85mm Dia x 31.20mm"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrpgr30atgb,//media.digikey.com/photos/Texas%20Instr%20Photos/TRPGR30ATGB.JPG,296-37823-6-ND,TRPGR30ATGB,Texas Instruments,RFID TAG RD ONLY 134.2KHZ ENCAP,11645,10001,"Digi-Reel","0","1","-","Active","Glass Encapsulated","Passive","134.2kHz","Read Only","-","ISO 11784, ISO 11785","-25°C ~ 70°C","3.85mm Dia x 31.20mm"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrpgr30atgc,//media.digikey.com/photos/Texas%20Instr%20Photos/TRPGR30ATGC.JPG,296-37934-ND,TRPGR30ATGC,Texas Instruments,RFID TAG RD ONLY 134.2KHZ ENCAP,6946,0,"6.34000","0","1","-","Active","Glass Encapsulated","Passive","134.2kHz","Read Only","-","ISO 11784, ISO 11785","-25°C ~ 85°C","2.12mm Dia x 12.00mm"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fri-trp-dr2b,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_RI-TRP-DR2B-40.jpg,296-44699-2-ND,RI-TRP-DR2B-40,Texas Instruments,RFID TAG 134.2KHZ GLASS ENCAP,4000,10000,"6.75495","0","2000","-","Active","Glass Encapsulated","Passive","134.2kHz","-","1.36kb (User)","ISO 11784, ISO 11785","0°C ~ 70°C","1.267"" L x 0.152"" D (32.20mm x 3.85mm)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fri-trp-dr2b,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_RI-TRP-DR2B-40.jpg,296-44699-1-ND,RI-TRP-DR2B-40,Texas Instruments,RFID TAG 134.2KHZ GLASS ENCAP,6901,10001,"11.46000","0","1","-","Active","Glass Encapsulated","Passive","134.2kHz","-","1.36kb (User)","ISO 11784, ISO 11785","0°C ~ 70°C","1.267"" L x 0.152"" D (32.20mm x 3.85mm)"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-383u7-Datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/MFG_AD-383u7.jpg,1543-1012-ND,600533,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,73546,0,"0.51000","0","1","NXP UCODE 7","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","128b (EPC)","EPC, ISO 18000-6","-40°C ~ 85°C","50.00mm x 30.00mm"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-237r6-Datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/MFG_600598.JPG,1543-1058-ND,600598,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,11780,0,"0.54000","0","1","Impinj® Monza® R6","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","96b (EPC)","ISO 18000-6, EPC","-40°C ~ 85°C","2.756"" L x 0.571"" W (70.00mm x 14.50mm)"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-171m5-datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/MFG_AD-171m5.jpg,1543-1001-ND,600386,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,68284,0,"0.58000","0","1","Impinj® Monza® 5","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","128b (EPC)","EPC, ISO 18000-6","-40°C ~ 85°C","27.00mm x 14.00mm"
