Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","P1dB","Gain","Noise Figure","RF Type","Voltage - Supply","Current - Supply","Test Frequency","Package / Case","Supplier Device Package"
https://www.infineon.com/dgdl/BGA725L6_V2+0.pdf?folderId=db3a30431f848401011fcbf2ab4c04c4&fileId=db3a30433784a0400137ef9a4d341f23,//media.digikey.com/Renders/Fairchild%20Semi%20Renders/6-MicroPak.jpg,BGA725L6E6327FTSA1TR-ND,BGA725L6E6327FTSA1,Infineon Technologies,IC AMP GPS 1.55-1.615GHZ TSLP6-2,60000,0,"0.13770","0","15000","Tape & Reel (TR)","-","Active","1.55GHz ~ 1.615GHz","-16dBm","20dB","0.65dB","GPS/GNSS","1.5V ~ 3.6V","3.6mA","-","6-XFDFN","TSLP-6-2"
https://www.infineon.com/dgdl/BGA725L6_V2+0.pdf?folderId=db3a30431f848401011fcbf2ab4c04c4&fileId=db3a30433784a0400137ef9a4d341f23,//media.digikey.com/Renders/Fairchild%20Semi%20Renders/6-MicroPak.jpg,BGA725L6E6327FTSA1CT-ND,BGA725L6E6327FTSA1,Infineon Technologies,IC AMP GPS 1.55-1.615GHZ TSLP6-2,84387,0,"0.40000","0","1","Cut Tape (CT)","-","Active","1.55GHz ~ 1.615GHz","-16dBm","20dB","0.65dB","GPS/GNSS","1.5V ~ 3.6V","3.6mA","-","6-XFDFN","TSLP-6-2"
https://www.infineon.com/dgdl/BGA725L6_V2+0.pdf?folderId=db3a30431f848401011fcbf2ab4c04c4&fileId=db3a30433784a0400137ef9a4d341f23,//media.digikey.com/Renders/Fairchild%20Semi%20Renders/6-MicroPak.jpg,BGA725L6E6327FTSA1DKR-ND,BGA725L6E6327FTSA1,Infineon Technologies,IC AMP GPS 1.55-1.615GHZ TSLP6-2,84387,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","1.55GHz ~ 1.615GHz","-16dBm","20dB","0.65dB","GPS/GNSS","1.5V ~ 3.6V","3.6mA","-","6-XFDFN","TSLP-6-2"
https://www.infineon.com/dgdl/bga420.pdf?folderId=db3a30431441fb5d0114b654e6581730&fileId=db3a304314dca3890115418cec781637,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-343%20PKG.jpg,BGA420H6327XTSA1TR-ND,BGA420H6327XTSA1,Infineon Technologies,IC RF AMP GP 0HZ-3GHZ SOT343-4,9000,0,"0.32102","0","3000","Tape & Reel (TR)","-","Active","0Hz ~ 3GHz","-2.5dBm","13dB","2.3dB","General Purpose","3V ~ 6V","6.7mA","1GHz","SC-82A, SOT-343","PG-SOT343-4"
https://www.infineon.com/dgdl/bga420.pdf?folderId=db3a30431441fb5d0114b654e6581730&fileId=db3a304314dca3890115418cec781637,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-343%20PKG.jpg,BGA420H6327XTSA1CT-ND,BGA420H6327XTSA1,Infineon Technologies,IC RF AMP GP 0HZ-3GHZ SOT343-4,10873,0,"0.84000","0","1","Cut Tape (CT)","-","Active","0Hz ~ 3GHz","-2.5dBm","13dB","2.3dB","General Purpose","3V ~ 6V","6.7mA","1GHz","SC-82A, SOT-343","PG-SOT343-4"
https://www.infineon.com/dgdl/bga420.pdf?folderId=db3a30431441fb5d0114b654e6581730&fileId=db3a304314dca3890115418cec781637,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-343%20PKG.jpg,BGA420H6327XTSA1DKR-ND,BGA420H6327XTSA1,Infineon Technologies,IC RF AMP GP 0HZ-3GHZ SOT343-4,10873,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","0Hz ~ 3GHz","-2.5dBm","13dB","2.3dB","General Purpose","3V ~ 6V","6.7mA","1GHz","SC-82A, SOT-343","PG-SOT343-4"
https://www.infineon.com/dgdl/Infineon-BGB741L7ESD-DS-v03_00-EN.pdf?fileId=5546d46265f064ff016638972c994ed7,//media.digikey.com/Renders/Infineon%20Renders/TSLP-7.jpg,BGB741L7ESDE6327XTSA1TR-ND,BGB741L7ESDE6327XTSA1,Infineon Technologies,IC AMP CELL 50MHZ-5.5GHZ TSLP7-1,30000,0,"0.40991","0","7500","Tape & Reel (TR)","-","Active","50MHz ~ 5.5GHz","-6.5dBm","19.5dB","1dB","Cellular, RKE, WiFi","1.8V ~ 4V","30mA","1.5GHz","6-XFDFN Exposed Pad","TSLP-7-1"
https://www.infineon.com/dgdl/Infineon-BGB741L7ESD-DS-v03_00-EN.pdf?fileId=5546d46265f064ff016638972c994ed7,//media.digikey.com/Renders/Infineon%20Renders/TSLP-7.jpg,BGB741L7ESDE6327XTSA1CT-ND,BGB741L7ESDE6327XTSA1,Infineon Technologies,IC AMP CELL 50MHZ-5.5GHZ TSLP7-1,35357,0,"1.13000","0","1","Cut Tape (CT)","-","Active","50MHz ~ 5.5GHz","-6.5dBm","19.5dB","1dB","Cellular, RKE, WiFi","1.8V ~ 4V","30mA","1.5GHz","6-XFDFN Exposed Pad","TSLP-7-1"
https://www.infineon.com/dgdl/Infineon-BGB741L7ESD-DS-v03_00-EN.pdf?fileId=5546d46265f064ff016638972c994ed7,//media.digikey.com/Renders/Infineon%20Renders/TSLP-7.jpg,BGB741L7ESDE6327XTSA1DKR-ND,BGB741L7ESDE6327XTSA1,Infineon Technologies,IC AMP CELL 50MHZ-5.5GHZ TSLP7-1,35357,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","50MHz ~ 5.5GHz","-6.5dBm","19.5dB","1dB","Cellular, RKE, WiFi","1.8V ~ 4V","30mA","1.5GHz","6-XFDFN Exposed Pad","TSLP-7-1"
https://www.infineon.com/dgdl/BGA715N7.pdf?folderId=db3a30431f848401011fcbf2ab4c04c4&fileId=db3a30433db6f09f013dcae19fc754fb,//media.digikey.com/Renders/Infineon%20Renders/BGA715N7E6327XTSA2.jpg,BGA715N7E6327XTSA2TR-ND,BGA715N7E6327XTSA2,Infineon Technologies,IC AMP GPS 1.55-1.615GHZ TSNP7-1,15000,0,"0.51537","0","7500","Tape & Reel (TR)","-","Active","1.55GHz ~ 1.615GHz","-","20dB","0.7dB","GPS/GNSS","1.5V ~ 3.3V","3.3mA","1.575GHz","6-XFDFN Exposed Pad","TSNP-7-1"
