Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Family/Standard","Frequency Group","Frequency (Center/Band)","Frequency Range","Antenna Type","Number of Bands","VSWR","Return Loss","Gain","Power - Max","Features","Termination","Ingress Protection","Mounting Type","Height (Max)","Applications"
https://abracon.com/chip-antenna/AMCA31-2R450G-S1F-T.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/AMCA72.JPG,535-14095-2-ND,AMCA31-2R450G-S1F-T3,Abracon LLC,RF ANT 2.4GHZ CHIP SOLDER SMD,39000,0,"0.15810","0","3000","Tape & Reel (TR)","-","Active","Bluetooth, WiFi","UHF (2GHz ~ 3GHz)","2.4GHz","2.405GHz ~ 2.495GHz","Chip","1","2","-","0.5dBi","3W","-","Solder","-","Surface Mount","0.047"" (1.20mm)","Bluetooth, Wi-Fi, WLAN"
https://abracon.com/chip-antenna/AMCA31-2R450G-S1F-T.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/AMCA72.JPG,535-14095-1-ND,AMCA31-2R450G-S1F-T3,Abracon LLC,RF ANT 2.4GHZ CHIP SOLDER SMD,40945,0,"0.50000","0","1","Cut Tape (CT)","-","Active","Bluetooth, WiFi","UHF (2GHz ~ 3GHz)","2.4GHz","2.405GHz ~ 2.495GHz","Chip","1","2","-","0.5dBi","3W","-","Solder","-","Surface Mount","0.047"" (1.20mm)","Bluetooth, Wi-Fi, WLAN"
https://abracon.com/chip-antenna/AMCA31-2R450G-S1F-T.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/AMCA72.JPG,535-14095-6-ND,AMCA31-2R450G-S1F-T3,Abracon LLC,RF ANT 2.4GHZ CHIP SOLDER SMD,40945,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Bluetooth, WiFi","UHF (2GHz ~ 3GHz)","2.4GHz","2.405GHz ~ 2.495GHz","Chip","1","2","-","0.5dBi","3W","-","Solder","-","Surface Mount","0.047"" (1.20mm)","Bluetooth, Wi-Fi, WLAN"
http://www.passivecomponent.com/wp-content/uploads/2013/12/ASC_RFANT3216120A5T_V09.pdf,//media.digikey.com/Photos/Walsin%20Tech/RFANT3216120A5T.jpg,1292-1000-2-ND,RFANT3216120A5T,Walsin Technology Corporation,RF ANT 2.4GHZ CHIP SOLDER SMD,20000,0,"0.16830","0","2000","Tape & Reel (TR)","-","Active","Bluetooth, WiFi","UHF (2GHz ~ 3GHz)","2.4GHz","2.4GHz ~ 2.5GHz","Chip","1","2","-","2dBi","-","-","Solder","-","Surface Mount","0.047"" (1.20mm)","Bluetooth, WLAN"
http://www.passivecomponent.com/wp-content/uploads/2013/12/ASC_RFANT3216120A5T_V09.pdf,//media.digikey.com/Photos/Walsin%20Tech/RFANT3216120A5T.jpg,1292-1000-1-ND,RFANT3216120A5T,Walsin Technology Corporation,RF ANT 2.4GHZ CHIP SOLDER SMD,20522,0,"0.68000","0","1","Cut Tape (CT)","-","Active","Bluetooth, WiFi","UHF (2GHz ~ 3GHz)","2.4GHz","2.4GHz ~ 2.5GHz","Chip","1","2","-","2dBi","-","-","Solder","-","Surface Mount","0.047"" (1.20mm)","Bluetooth, WLAN"
http://www.passivecomponent.com/wp-content/uploads/2013/12/ASC_RFANT3216120A5T_V09.pdf,//media.digikey.com/Photos/Walsin%20Tech/RFANT3216120A5T.jpg,1292-1000-6-ND,RFANT3216120A5T,Walsin Technology Corporation,RF ANT 2.4GHZ CHIP SOLDER SMD,20522,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Bluetooth, WiFi","UHF (2GHz ~ 3GHz)","2.4GHz","2.4GHz ~ 2.5GHz","Chip","1","2","-","2dBi","-","-","Solder","-","Surface Mount","0.047"" (1.20mm)","Bluetooth, WLAN"
https://www.johansontechnology.com/datasheets/2450AT18B100/2450AT18B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Antenna2.jpg,712-1006-2-ND,2450AT18B100E,Johanson Technology Inc.,RF ANT 2.4GHZ CHIP SOLDER SMD,306000,0,"0.21750","0","3000","Tape & Reel (TR)","-","Active","-","UHF (2GHz ~ 3GHz)","2.4GHz","2.4GHz ~ 2.5GHz","Chip","1","-","-9.5dB","0.5dBi","2W","-","Solder","-","Surface Mount","0.051"" (1.30mm)","-"
https://www.johansontechnology.com/datasheets/2450AT18B100/2450AT18B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Antenna2.jpg,712-1006-1-ND,2450AT18B100E,Johanson Technology Inc.,RF ANT 2.4GHZ CHIP SOLDER SMD,307009,0,"0.62000","0","1","Cut Tape (CT)","-","Active","-","UHF (2GHz ~ 3GHz)","2.4GHz","2.4GHz ~ 2.5GHz","Chip","1","-","-9.5dB","0.5dBi","2W","-","Solder","-","Surface Mount","0.051"" (1.30mm)","-"
https://www.johansontechnology.com/datasheets/2450AT18B100/2450AT18B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Antenna2.jpg,712-1006-6-ND,2450AT18B100E,Johanson Technology Inc.,RF ANT 2.4GHZ CHIP SOLDER SMD,307009,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","UHF (2GHz ~ 3GHz)","2.4GHz","2.4GHz ~ 2.5GHz","Chip","1","-","-9.5dB","0.5dBi","2W","-","Solder","-","Surface Mount","0.051"" (1.30mm)","-"
https://www.johansontechnology.com/datasheets/2450AT18A100/2450AT18A100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Antenna2.jpg,712-1005-2-ND,2450AT18A100E,Johanson Technology Inc.,RF ANT 2.4GHZ CHIP SOLDER SMD,228000,0,"0.21750","0","3000","Tape & Reel (TR)","-","Active","-","UHF (2GHz ~ 3GHz)","2.4GHz","2.4GHz ~ 2.5GHz","Chip","1","-","-9.5dB","0.5dBi","2W","-","Solder","-","Surface Mount","0.051"" (1.30mm)","-"
https://www.johansontechnology.com/datasheets/2450AT18A100/2450AT18A100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Antenna2.jpg,712-1005-1-ND,2450AT18A100E,Johanson Technology Inc.,RF ANT 2.4GHZ CHIP SOLDER SMD,228694,0,"0.62000","0","1","Cut Tape (CT)","-","Active","-","UHF (2GHz ~ 3GHz)","2.4GHz","2.4GHz ~ 2.5GHz","Chip","1","-","-9.5dB","0.5dBi","2W","-","Solder","-","Surface Mount","0.051"" (1.30mm)","-"
https://www.johansontechnology.com/datasheets/2450AT18A100/2450AT18A100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Antenna2.jpg,712-1005-6-ND,2450AT18A100E,Johanson Technology Inc.,RF ANT 2.4GHZ CHIP SOLDER SMD,228694,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","UHF (2GHz ~ 3GHz)","2.4GHz","2.4GHz ~ 2.5GHz","Chip","1","-","-9.5dB","0.5dBi","2W","-","Solder","-","Surface Mount","0.051"" (1.30mm)","-"
https://www.johansontechnology.com/datasheets/2450AT42B100/2450AT42B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.4GHz%20Antenna4.jpg,712-1008-2-ND,2450AT42B100E,Johanson Technology Inc.,RF ANT 2.4GHZ CHIP SOLDER SMD,202000,0,"0.26100","0","2000","Tape & Reel (TR)","-","Active","-","UHF (2GHz ~ 3GHz)","2.4GHz","2.4GHz ~ 2.5GHz","Chip","1","-","-9.5dB","0dBi","2W","-","Solder","-","Surface Mount","0.079"" (2.00mm)","-"
https://www.johansontechnology.com/datasheets/2450AT42B100/2450AT42B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.4GHz%20Antenna4.jpg,712-1008-1-ND,2450AT42B100E,Johanson Technology Inc.,RF ANT 2.4GHZ CHIP SOLDER SMD,202860,0,"0.74000","0","1","Cut Tape (CT)","-","Active","-","UHF (2GHz ~ 3GHz)","2.4GHz","2.4GHz ~ 2.5GHz","Chip","1","-","-9.5dB","0dBi","2W","-","Solder","-","Surface Mount","0.079"" (2.00mm)","-"
