Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","RF Type","Input Range","Accuracy","Voltage - Supply","Current - Supply","Package / Case","Supplier Device Package"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmv225,//media.digikey.com/Renders/National%20Semi%20Renders/Pkg%20SDB06A.jpg,LMV225SD/NOPBTR-ND,LMV225SD/NOPB,Texas Instruments,IC RF DETECT 450MHZ-2GHZ 6WSON,11000,10000,"0.67950","0","1000","Tape & Reel (TR)","-","Active","450MHz ~ 2GHz","Cellular, CDMA, CDMA2000, EDGE, GSM, GPRS, TDMA, W-CDMA","-30dBm ~ 0dBm","±1dB","2.7V ~ 5V","8mA","6-WDFN Exposed Pad","6-WSON (2.5x2.2)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmv225,//media.digikey.com/Renders/National%20Semi%20Renders/Pkg%20SDB06A.jpg,LMV225SD/NOPBCT-ND,LMV225SD/NOPB,Texas Instruments,IC RF DETECT 450MHZ-2GHZ 6WSON,11551,10001,"1.63000","0","1","Cut Tape (CT)","-","Active","450MHz ~ 2GHz","Cellular, CDMA, CDMA2000, EDGE, GSM, GPRS, TDMA, W-CDMA","-30dBm ~ 0dBm","±1dB","2.7V ~ 5V","8mA","6-WDFN Exposed Pad","6-WSON (2.5x2.2)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmv225,//media.digikey.com/Renders/National%20Semi%20Renders/Pkg%20SDB06A.jpg,LMV225SD/NOPBDKR-ND,LMV225SD/NOPB,Texas Instruments,IC RF DETECT 450MHZ-2GHZ 6WSON,11551,10001,"Digi-Reel","0","1","Digi-Reel®","-","Active","450MHz ~ 2GHz","Cellular, CDMA, CDMA2000, EDGE, GSM, GPRS, TDMA, W-CDMA","-30dBm ~ 0dBm","±1dB","2.7V ~ 5V","8mA","6-WDFN Exposed Pad","6-WSON (2.5x2.2)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmh2110,//media.digikey.com/Renders/National%20Semi%20Renders/TMD06AAA.jpg,296-41439-2-ND,LMH2110TMX/NOPB,Texas Instruments,IC RF DETECT 50MHZ-8GHZ 6DSBGA,18000,9000,"0.95040","0","3000","Tape & Reel (TR)","-","Active","50MHz ~ 8GHz","GSM, EDGE, CDMA","-40dBm ~ 5dBm","±0.5dB","2.7V ~ 5V","-","6-WFBGA, DSBGA","6-DSBGA"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmh2110,//media.digikey.com/Renders/National%20Semi%20Renders/TMD06AAA.jpg,296-41439-1-ND,LMH2110TMX/NOPB,Texas Instruments,IC RF DETECT 50MHZ-8GHZ 6DSBGA,19901,10001,"2.25000","0","1","Cut Tape (CT)","-","Active","50MHz ~ 8GHz","GSM, EDGE, CDMA","-40dBm ~ 5dBm","±0.5dB","2.7V ~ 5V","-","6-WFBGA, DSBGA","6-DSBGA"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmh2110,//media.digikey.com/Renders/National%20Semi%20Renders/TMD06AAA.jpg,296-41439-6-ND,LMH2110TMX/NOPB,Texas Instruments,IC RF DETECT 50MHZ-8GHZ 6DSBGA,19901,10001,"Digi-Reel","0","1","Digi-Reel®","-","Active","50MHz ~ 8GHz","GSM, EDGE, CDMA","-40dBm ~ 5dBm","±0.5dB","2.7V ~ 5V","-","6-WFBGA, DSBGA","6-DSBGA"
https://datasheets.maximintegrated.com/en/ds/MAX4003.pdf,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX4003EUA+TTR-ND,MAX4003EUA+T,Maxim Integrated,IC RF DETECT 100MHZ-2.5GHZ 8UMAX,35000,127500,"1.36990","0","2500","Tape & Reel (TR)","-","Active","100MHz ~ 2.5GHz","Cellular, TDMA, CDMA, GPRS, GSM","-45dBm ~ 0dBm","-","2.7V ~ 5V","5.9mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
https://datasheets.maximintegrated.com/en/ds/MAX4003.pdf,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX4003EUA+TCT-ND,MAX4003EUA+T,Maxim Integrated,IC RF DETECT 100MHZ-2.5GHZ 8UMAX,38245,127500,"2.81000","0","1","Cut Tape (CT)","-","Active","100MHz ~ 2.5GHz","Cellular, TDMA, CDMA, GPRS, GSM","-45dBm ~ 0dBm","-","2.7V ~ 5V","5.9mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
https://datasheets.maximintegrated.com/en/ds/MAX4003.pdf,//media.digikey.com/Renders/Maxim%20Renders/MSOP-8.jpg,MAX4003EUA+TDKR-ND,MAX4003EUA+T,Maxim Integrated,IC RF DETECT 100MHZ-2.5GHZ 8UMAX,38245,127500,"Digi-Reel","0","1","Digi-Reel®","-","Active","100MHz ~ 2.5GHz","Cellular, TDMA, CDMA, GPRS, GSM","-45dBm ~ 0dBm","-","2.7V ~ 5V","5.9mA","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-uMAX"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmv221,//media.digikey.com/Renders/National%20Semi%20Renders/Pkg%20SDB06A.jpg,LMV221SD/NOPBTR-ND,LMV221SD/NOPB,Texas Instruments,IC RF DETECT 50MHZ-3.5GHZ 6WSON,26000,0,"1.44200","0","1000","Tape & Reel (TR)","-","Not For New Designs","50MHz ~ 3.5GHz","Cellular, CDMA, CDMA2000, EDGE, GSM, GPRS, TDMA, W-CDMA","-45dBm ~ 5dBm","±0.5dB","2.7V ~ 3.3V","10mA","6-WDFN Exposed Pad","6-WSON (2.5x2.2)"
