Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Frequency","For Use With/Related Products","Supplied Contents"
http://esp-idf.readthedocs.io/en/latest/get-started/get-started-devkitc.html,//media.digikey.com/photos/Espressif%20Systems/ESP32-DEVKITC-32D-F.JPG,1965-1003-ND,ESP32-DEVKITC-32D-F,Espressif Systems,EVAL BOARD FOR ESP-WROOM-32,195,0,"10.00000","0","1","-","Active","Transceiver; 802.11 b/g/n (Wi-Fi, WiFi, WLAN), Bluetooth® Smart Ready 4.x Dual Mode","2.4GHz","ESP-WROOM-32","Board(s)"
https://www.nordicsemi.com/-/media/DocLib/Other/User_Guides/nRF52840DongleUserGuidev11pdf.pdf,//media.digikey.com/Photos/Nordic%20Semiconductor%20ASA/NRF52840-DONGLE.JPG,1490-1073-ND,NRF52840-DONGLE,Nordic Semiconductor ASA,USB DONGLE BLE + MULTIPROTOCOL,115,0,"10.00000","0","1","-","Active","Transceiver; Bluetooth® 5","2.4GHz","nRF52840","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Particle%20PDFs/Xenon_Web.pdf,-,1878-1024-ND,XENN-H,"Particle Industries, Inc.",XENON,123,0,"15.28000","0","1","-","Active","Transceiver; Bluetooth® 5","2.4GHz","nRF52840","Board(s)"
https://docs.particle.io/datasheets/photon-(wifi)/photon-datasheet/,"//media.digikey.com/Photos/Particle%20Industries,%20Inc/MFG_PHOTONH.jpg",1878-1000-ND,PHOTONH,"Particle Industries, Inc.",PHOTON WITH HEADERS,713,0,"19.28000","0","1","WICED","Active","Transceiver; 802.11 b/g/n (Wi-Fi, WiFi, WLAN)","2.4GHz","BCM43362, STM32F205","Board(s)"
https://docs.particle.io/datasheets/photon-(wifi)/photon-datasheet/,"//media.digikey.com/Photos/Particle%20Industries,%20Inc/MFG_PHOTONNOH.jpg",1878-1001-ND,PHOTONNOH,"Particle Industries, Inc.",PHOTON WITHOUT HEADERS,492,0,"19.28000","0","1","WICED","Active","Transceiver; 802.11 b/g/n (Wi-Fi, WiFi, WLAN)","2.4GHz","BCM43362, STM32F205","Board(s)"
http://www.cypress.com/file/231036/download,//media.digikey.com/Photos/Cypress%20Semi%20Photos/MFG_CY5677.jpg,428-3427-ND,CY5677,Cypress Semiconductor Corp,MODULE PROC BLUETOOTH BLE SMA,917,0,"19.95000","0","1","PRoC™ BLE","Active","Transceiver; Bluetooth® Smart 4.x Low Energy (BLE)","2.4GHz","PRoC™ BLE","Board(s)"
https://github.com/sparkfun/nRF52832_Breakout,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_WRL-13990.jpg,1568-1449-ND,WRL-13990,SparkFun Electronics,NRF52832 BREAKOUT,150,0,"19.95000","0","1","-","Active","Transceiver; ANT, Bluetooth® Smart 4.x Low Energy (BLE)","2.4GHz","nRF52832","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Cypress%20PDFs/CY8CPROTO-063-BLE_Web.pdf,//media.digikey.com/Photos/Cypress%20Semi%20Photos/MFG_CY8CPROTO-063-BLE.jpg,428-4557-ND,CY8CPROTO-063-BLE,Cypress Semiconductor Corp,PSOC 6 BLE 5.0 EVAL,107,0,"19.95000","0","1","PSoC® 6","Active","Transceiver; Bluetooth® 5","2.4GHz","CYBLE-416045-02","Board(s), Cable(s)"
http://www.bipom.com/documents/upload/BRD-mPCIe-SW2.pdf,//media.digikey.com/Photos/NimbeLink/BRD-MPCIE-SW.JPG,1749-1002-ND,BRD-MPCIE-SW,"NimbeLink, LLC",DEV ADAPTER S7588 MPCIE,256,0,"20.22000","0","1","-","Active","-","-","-","Board(s)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc3100,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_CC3100BOOST.jpg,296-37769-ND,CC3100BOOST,Texas Instruments,BOOSTER PACK CC3100 WI-FI & IOT,169,225,"20.76000","0","1","SimpleLink™","Active","Transceiver","2.4GHz","CC3100","Board(s)"
