Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Type","Frequency","Features","Package / Case","Supplier Device Package"
http://www.skyworksinc.com/uploads/documents/RFX2401C_204359B.pdf,"//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/16-QFN,S1692.jpg",863-1828-2-ND,RFX2401C,Skyworks Solutions Inc.,IC FRONT END WLAN/ZIGBEE 16QFN,30000,0,"0.57540","0","2500","Tape & Reel (TR)","-","Active","802.15.4, Zigbee®","2.4GHz ~ 2.5GHz","-","16-UFQFN Exposed Pad","16-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/RFX2401C_204359B.pdf,"//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/16-QFN,S1692.jpg",863-1828-1-ND,RFX2401C,Skyworks Solutions Inc.,IC FRONT END WLAN/ZIGBEE 16QFN,32176,0,"1.51000","0","1","Cut Tape (CT)","-","Active","802.15.4, Zigbee®","2.4GHz ~ 2.5GHz","-","16-UFQFN Exposed Pad","16-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/RFX2401C_204359B.pdf,"//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/16-QFN,S1692.jpg",863-1828-6-ND,RFX2401C,Skyworks Solutions Inc.,IC FRONT END WLAN/ZIGBEE 16QFN,32176,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","802.15.4, Zigbee®","2.4GHz ~ 2.5GHz","-","16-UFQFN Exposed Pad","16-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/RFX2411N_204380A.pdf,//media.digikey.com/Photos/Skyworks%20Solutions%20Photos/SE2614BT-R.JPG,863-1831-2-ND,RFX2411N,Skyworks Solutions Inc.,IC FRONT END BLE/ZIGBEE 20QFN,5000,0,"0.68740","0","2500","Tape & Reel (TR)","-","Active","Bluetooth, Zigbee®","2.4GHz","-","20-UFQFN Exposed Pad","20-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/RFX2411N_204380A.pdf,//media.digikey.com/Photos/Skyworks%20Solutions%20Photos/SE2614BT-R.JPG,863-1831-1-ND,RFX2411N,Skyworks Solutions Inc.,IC FRONT END BLE/ZIGBEE 20QFN,6213,0,"1.60000","0","1","Cut Tape (CT)","-","Active","Bluetooth, Zigbee®","2.4GHz","-","20-UFQFN Exposed Pad","20-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/RFX2411N_204380A.pdf,//media.digikey.com/Photos/Skyworks%20Solutions%20Photos/SE2614BT-R.JPG,863-1831-6-ND,RFX2411N,Skyworks Solutions Inc.,IC FRONT END BLE/ZIGBEE 20QFN,6213,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Bluetooth, Zigbee®","2.4GHz","-","20-UFQFN Exposed Pad","20-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/SE2438T_202414I.pdf,//media.digikey.com/Photos/Skyworks%20Solutions%20Photos/SE2614BT-R.JPG,863-1576-2-ND,SE2438T-R,Skyworks Solutions Inc.,IC FRONT END MOD RF 2.4GHZ 20QFN,69000,0,"0.88560","0","3000","Tape & Reel (TR)","-","Active","802.15.4, Zigbee®","2.4GHz","-","20-UFQFN Exposed Pad","20-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/SE2438T_202414I.pdf,//media.digikey.com/Photos/Skyworks%20Solutions%20Photos/SE2614BT-R.JPG,863-1576-1-ND,SE2438T-R,Skyworks Solutions Inc.,IC FRONT END MOD RF 2.4GHZ 20QFN,72971,0,"2.14000","0","1","Cut Tape (CT)","-","Active","802.15.4, Zigbee®","2.4GHz","-","20-UFQFN Exposed Pad","20-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/SE2438T_202414I.pdf,//media.digikey.com/Photos/Skyworks%20Solutions%20Photos/SE2614BT-R.JPG,863-1576-6-ND,SE2438T-R,Skyworks Solutions Inc.,IC FRONT END MOD RF 2.4GHZ 20QFN,72971,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","802.15.4, Zigbee®","2.4GHz","-","20-UFQFN Exposed Pad","20-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/SE5007T_DS.pdf,"//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/16-QFN,S1692.jpg",863-1378-2-ND,SE5007T-R,Skyworks Solutions Inc.,IC FRONT END MOD 5GHZ 16QFN,90000,0,"1.01655","0","3000","Tape & Reel (TR)","SiGe","Active","802.11a/g/n","4.9GHz ~ 5.85GHz","-","16-UFQFN Exposed Pad","16-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/SE5007T_DS.pdf,"//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/16-QFN,S1692.jpg",863-1378-1-ND,SE5007T-R,Skyworks Solutions Inc.,IC FRONT END MOD 5GHZ 16QFN,93274,0,"2.45000","0","1","Cut Tape (CT)","SiGe","Active","802.11a/g/n","4.9GHz ~ 5.85GHz","-","16-UFQFN Exposed Pad","16-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/SE5007T_DS.pdf,"//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/16-QFN,S1692.jpg",863-1378-6-ND,SE5007T-R,Skyworks Solutions Inc.,IC FRONT END MOD 5GHZ 16QFN,93274,0,"Digi-Reel","0","1","Digi-Reel®","SiGe","Active","802.11a/g/n","4.9GHz ~ 5.85GHz","-","16-UFQFN Exposed Pad","16-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/SKY66112_11_203225L.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SKY66112-11.jpg,863-1803-2-ND,SKY66112-11,Skyworks Solutions Inc.,CONNECTED HOME/WEARABLEBLE+ZIGBE,6500,0,"1.18560","0","6500","Tape & Reel (TR)","-","Active","Zigbee®","2.4GHz","-","22-TFQFN Exposed Pad","22-MCM (3.5x3.0)"
http://www.skyworksinc.com/uploads/documents/SKY66112_11_203225L.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SKY66112-11.jpg,863-1803-1-ND,SKY66112-11,Skyworks Solutions Inc.,CONNECTED HOME/WEARABLEBLE+ZIGBE,14418,0,"2.97000","0","1","Cut Tape (CT)","-","Active","Zigbee®","2.4GHz","-","22-TFQFN Exposed Pad","22-MCM (3.5x3.0)"
http://www.skyworksinc.com/uploads/documents/SKY66112_11_203225L.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/SKY66112-11.jpg,863-1803-6-ND,SKY66112-11,Skyworks Solutions Inc.,CONNECTED HOME/WEARABLEBLE+ZIGBE,14418,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Zigbee®","2.4GHz","-","22-TFQFN Exposed Pad","22-MCM (3.5x3.0)"
http://www.skyworksinc.com/uploads/documents/SE2435L_202412I.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-QFN%20Exposed%20Pad.jpg,863-1349-2-ND,SE2435L-R,Skyworks Solutions Inc.,IC FRONT END 930MHZ ISM 24QFN,33000,0,"1.37256","0","3000","Tape & Reel (TR)","SiGe","Active","ISM","860MHz ~ 930MHz","-","24-VFQFN Exposed Pad","24-QFN (4x4)"
http://www.skyworksinc.com/uploads/documents/SE2435L_202412I.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-QFN%20Exposed%20Pad.jpg,863-1349-1-ND,SE2435L-R,Skyworks Solutions Inc.,IC FRONT END 930MHZ ISM 24QFN,33261,0,"3.05000","0","1","Cut Tape (CT)","SiGe","Active","ISM","860MHz ~ 930MHz","-","24-VFQFN Exposed Pad","24-QFN (4x4)"
http://www.skyworksinc.com/uploads/documents/SE2435L_202412I.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-QFN%20Exposed%20Pad.jpg,863-1349-6-ND,SE2435L-R,Skyworks Solutions Inc.,IC FRONT END 930MHZ ISM 24QFN,33261,0,"Digi-Reel","0","1","Digi-Reel®","SiGe","Active","ISM","860MHz ~ 930MHz","-","24-VFQFN Exposed Pad","24-QFN (4x4)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc2592,//media.digikey.com/Renders/Texas%20Instr%20Renders/16-VQFN(exposed-pad).jpg,296-37475-2-ND,CC2592RGVR,Texas Instruments,IC RF 2.4 GHZ RANGE EXTENDER,7500,0,"1.40448","0","2500","Tape & Reel (TR)","-","Active","ISM","2.4GHz","-","16-VQFN Exposed Pad","16-VQFN (4x4)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc2592,//media.digikey.com/Renders/Texas%20Instr%20Renders/16-VQFN(exposed-pad).jpg,296-37475-1-ND,CC2592RGVR,Texas Instruments,IC RF 2.4 GHZ RANGE EXTENDER,14373,0,"3.10000","0","1","Cut Tape (CT)","-","Active","ISM","2.4GHz","-","16-VQFN Exposed Pad","16-VQFN (4x4)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc2592,//media.digikey.com/Renders/Texas%20Instr%20Renders/16-VQFN(exposed-pad).jpg,296-37475-6-ND,CC2592RGVR,Texas Instruments,IC RF 2.4 GHZ RANGE EXTENDER,14373,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","ISM","2.4GHz","-","16-VQFN Exposed Pad","16-VQFN (4x4)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc2590,//media.digikey.com/Renders/Texas%20Instr%20Renders/16-VQFN(exposed-pad).jpg,296-25934-2-ND,CC2590RGVR,Texas Instruments,IC RF FRONT END 2.4GHZ 16-QFN,2500,0,"1.40448","0","2500","Tape & Reel (TR)","-","Active","ISM","2.4GHz","-","16-VQFN Exposed Pad","16-VQFN (4x4)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc2590,//media.digikey.com/Renders/Texas%20Instr%20Renders/16-VQFN(exposed-pad).jpg,296-25934-1-ND,CC2590RGVR,Texas Instruments,IC RF FRONT END 2.4GHZ 16-QFN,5291,0,"3.10000","0","1","Cut Tape (CT)","-","Active","ISM","2.4GHz","-","16-VQFN Exposed Pad","16-VQFN (4x4)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc2590,//media.digikey.com/Renders/Texas%20Instr%20Renders/16-VQFN(exposed-pad).jpg,296-25934-6-ND,CC2590RGVR,Texas Instruments,IC RF FRONT END 2.4GHZ 16-QFN,5291,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","ISM","2.4GHz","-","16-VQFN Exposed Pad","16-VQFN (4x4)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/CC1190.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/16-VQFN(exposed-pad).jpg,296-36922-2-ND,CC1190RGVR,Texas Instruments,IC RF FRONT-END 16VQFN,10000,0,"1.46300","0","2500","Tape & Reel (TR)","-","Active","ISM","850MHz ~ 950MHz","-","16-VQFN Exposed Pad","16-VQFN (4x4)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/CC1190.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/16-VQFN(exposed-pad).jpg,296-36922-1-ND,CC1190RGVR,Texas Instruments,IC RF FRONT-END 16VQFN,12597,0,"3.23000","0","1","Cut Tape (CT)","-","Active","ISM","850MHz ~ 950MHz","-","16-VQFN Exposed Pad","16-VQFN (4x4)"
