Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Type","Frequency","Number of Mixers","Gain","Noise Figure","Secondary Attributes","Current - Supply","Voltage - Supply","Package / Case","Supplier Device Package"
https://datasheets.maximintegrated.com/en/ds/MAX2680-MAX2682.pdf,//media.digikey.com/renders/Maxim%20Renders/SOT-23-6%20PKG.jpg,MAX2682EUT+TTR-ND,MAX2682EUT+T,Maxim Integrated,IC MXR 400MHZ-2.5GHZ DWN SOT23-6,2500,0,"1.24200","0","2500","Tape & Reel (TR)","-","Active","Cellular, ISM, PCS, WLL","400MHz ~ 2.5GHz","1","14.7dB","13.4dB","Down Converter","15mA","2.7V ~ 5.5V","SOT-23-6","SOT-23-6"
https://datasheets.maximintegrated.com/en/ds/MAX2680-MAX2682.pdf,//media.digikey.com/renders/Maxim%20Renders/SOT-23-6%20PKG.jpg,MAX2682EUT+TCT-ND,MAX2682EUT+T,Maxim Integrated,IC MXR 400MHZ-2.5GHZ DWN SOT23-6,2819,0,"2.80000","0","1","Cut Tape (CT)","-","Active","Cellular, ISM, PCS, WLL","400MHz ~ 2.5GHz","1","14.7dB","13.4dB","Down Converter","15mA","2.7V ~ 5.5V","SOT-23-6","SOT-23-6"
https://datasheets.maximintegrated.com/en/ds/MAX2680-MAX2682.pdf,//media.digikey.com/renders/Maxim%20Renders/SOT-23-6%20PKG.jpg,MAX2682EUT+TDKR-ND,MAX2682EUT+T,Maxim Integrated,IC MXR 400MHZ-2.5GHZ DWN SOT23-6,2819,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Cellular, ISM, PCS, WLL","400MHz ~ 2.5GHz","1","14.7dB","13.4dB","Down Converter","15mA","2.7V ~ 5.5V","SOT-23-6","SOT-23-6"
http://www.linear.com/docs/14638,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1698;DD;8.jpg,LT5560EDD#TRPBFTR-ND,LT5560EDD#TRPBF,Linear Technology/Analog Devices,IC MIXER 10MHZ-4GHZ UP/DWN 8DFN,5000,0,"1.98900","0","2500","Tape & Reel (TR)","LT5560","Active","CATV, DBS, PHS, UHF, VHF","10kHz ~ 4GHz","1","2.4dB","9.3dB","Up/Down Converter","12mA","2.7V ~ 5.3V","8-WFDFN Exposed Pad","8-DFN (3x3)"
http://www.linear.com/docs/14638,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1698;DD;8.jpg,LT5560EDD#TRPBFCT-ND,LT5560EDD#TRPBF,Linear Technology/Analog Devices,IC MIXER 10MHZ-4GHZ UP/DWN 8DFN,6874,0,"4.02000","0","1","Cut Tape (CT)","LT5560","Active","CATV, DBS, PHS, UHF, VHF","10kHz ~ 4GHz","1","2.4dB","9.3dB","Up/Down Converter","12mA","2.7V ~ 5.3V","8-WFDFN Exposed Pad","8-DFN (3x3)"
http://www.linear.com/docs/14638,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1698;DD;8.jpg,LT5560EDD#TRPBFDKR-ND,LT5560EDD#TRPBF,Linear Technology/Analog Devices,IC MIXER 10MHZ-4GHZ UP/DWN 8DFN,6874,0,"Digi-Reel","0","1","Digi-Reel®","LT5560","Active","CATV, DBS, PHS, UHF, VHF","10kHz ~ 4GHz","1","2.4dB","9.3dB","Up/Down Converter","12mA","2.7V ~ 5.3V","8-WFDFN Exposed Pad","8-DFN (3x3)"
http://www.psemi.com/pdf/datasheets/pe4140ds.pdf,//media.digikey.com/Photos/Peregrine%20Semiconductor/4271-52.JPG,1046-1021-2-ND,PE4140B-Z,pSemi,IC MIXER 0-6GHZ QUAD MSFT 6DFN,3000,0,"2.32400","0","3000","Tape & Reel (TR)","UltraCMOS®","Active","Cellular, PCS","0Hz ~ 6GHz","1","-","-","Quad MOSFET Array","-","-","6-VDFN Exposed Pad","6-DFN (3x3)"
http://www.psemi.com/pdf/datasheets/pe4140ds.pdf,//media.digikey.com/Photos/Peregrine%20Semiconductor/4271-52.JPG,1046-1021-1-ND,PE4140B-Z,pSemi,IC MIXER 0-6GHZ QUAD MSFT 6DFN,5777,0,"2.69000","0","1","Cut Tape (CT)","UltraCMOS®","Active","Cellular, PCS","0Hz ~ 6GHz","1","-","-","Quad MOSFET Array","-","-","6-VDFN Exposed Pad","6-DFN (3x3)"
http://www.psemi.com/pdf/datasheets/pe4140ds.pdf,//media.digikey.com/Photos/Peregrine%20Semiconductor/4271-52.JPG,1046-1021-6-ND,PE4140B-Z,pSemi,IC MIXER 0-6GHZ QUAD MSFT 6DFN,5777,0,"Digi-Reel","0","1","Digi-Reel®","UltraCMOS®","Active","Cellular, PCS","0Hz ~ 6GHz","1","-","-","Quad MOSFET Array","-","-","6-VDFN Exposed Pad","6-DFN (3x3)"
http://www.linear.com/docs/14638,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1698;DD;8.jpg,LT5560EDD#PBF-ND,LT5560EDD#PBF,Linear Technology/Analog Devices,IC MIXER 10KHZ-4GHZ UP/DWN 8DFN,5880,0,"3.77000","0","1","Tube","LT5560","Active","CATV, DBS, PHS, UHF, VHF","10kHz ~ 4GHz","1","2.4dB","9.3dB","Up/Down Converter","12mA","2.7V ~ 5.3V","8-WFDFN Exposed Pad","8-DFN (3x3)"
