Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","LO Frequency","RF Frequency","P1dB","Noise Floor","Output Power","Current - Supply","Voltage - Supply","Test Frequency","Package / Case"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/AD8346.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;RU-16;RU;16.jpg,AD8346ARUZ-REEL7TR-ND,AD8346ARUZ-REEL7,Analog Devices Inc.,RF MODULTR 800MHZ-2.5GHZ 16TSSOP,1000,0,"6.06758","0","1000","Tape & Reel (TR)","-","Active","Modulator","800MHz ~ 2.5GHz","800MHz ~ 2.5GHz","-3dBm","-147dBm/Hz","-6dBm","55mA","2.7V ~ 5.5V","1.9GHz","16-TSSOP (0.173"", 4.40mm Width)"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/AD8346.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;RU-16;RU;16.jpg,AD8346ARUZ-REEL7CT-ND,AD8346ARUZ-REEL7,Analog Devices Inc.,RF MODULTR 800MHZ-2.5GHZ 16TSSOP,1860,0,"11.11000","0","1","Cut Tape (CT)","-","Active","Modulator","800MHz ~ 2.5GHz","800MHz ~ 2.5GHz","-3dBm","-147dBm/Hz","-6dBm","55mA","2.7V ~ 5.5V","1.9GHz","16-TSSOP (0.173"", 4.40mm Width)"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/AD8346.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;RU-16;RU;16.jpg,AD8346ARUZ-REEL7DKR-ND,AD8346ARUZ-REEL7,Analog Devices Inc.,RF MODULTR 800MHZ-2.5GHZ 16TSSOP,1860,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Modulator","800MHz ~ 2.5GHz","800MHz ~ 2.5GHz","-3dBm","-147dBm/Hz","-6dBm","55mA","2.7V ~ 5.5V","1.9GHz","16-TSSOP (0.173"", 4.40mm Width)"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADL5375.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-24-7;CP;24.jpg,ADL5375-05ACPZ-R7TR-ND,ADL5375-05ACPZ-R7,Analog Devices Inc.,RF MODULATOR 400MHZ-6GHZ 24WFQFN,1500,0,"6.77023","0","1500","Tape & Reel (TR)","-","Active","Modulator","400MHz ~ 6GHz","400MHz ~ 6GHz","10.4dBm","-157.6dBm/Hz","1.71dBm","200mA","4.75V ~ 5.25V","3.5GHz","24-WFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADL5375.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-24-7;CP;24.jpg,ADL5375-05ACPZ-R7CT-ND,ADL5375-05ACPZ-R7,Analog Devices Inc.,RF MODULATOR 400MHZ-6GHZ 24WFQFN,1516,0,"11.01000","0","1","Cut Tape (CT)","-","Active","Modulator","400MHz ~ 6GHz","400MHz ~ 6GHz","10.4dBm","-157.6dBm/Hz","1.71dBm","200mA","4.75V ~ 5.25V","3.5GHz","24-WFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADL5375.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-24-7;CP;24.jpg,ADL5375-05ACPZ-R7DKR-ND,ADL5375-05ACPZ-R7,Analog Devices Inc.,RF MODULATOR 400MHZ-6GHZ 24WFQFN,1516,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Modulator","400MHz ~ 6GHz","400MHz ~ 6GHz","10.4dBm","-157.6dBm/Hz","1.71dBm","200mA","4.75V ~ 5.25V","3.5GHz","24-WFQFN Exposed Pad, CSP"
http://www.linear.com/docs/52852,//media.digikey.com/Renders/Linear%20Tech%20Renders/24-QFN_05-08-1697.jpg,LTC5589IUF#PBF-ND,LTC5589IUF#PBF,Linear Technology/Analog Devices,RF MODULATOR 700MHZ-6GHZ 24WFQFN,585,5460,"10.79000","0","1","Tube","-","Active","Modulator","-","700MHz ~ 6GHz","4.6dBm","-160dBm/Hz","-6dBm","29.35mA","2.7V ~ 3.6V","6GHz","24-WFQFN Exposed Pad"
http://www.linear.com/docs/27936,//media.digikey.com/Renders/Linear%20Tech%20Renders/24-QFN_05-08-1697.jpg,LTC5598IUF#PBF-ND,LTC5598IUF#PBF,Linear Technology/Analog Devices,RF MODULATOR 5MHZ-1.6GHZ 24WFQFN,1288,0,"12.57000","0","1","Tube","-","Active","Modulator","5MHz ~ 1.6GHz","5MHz ~ 1.6GHz","8dBm","-160.3dBm/Hz","2dBm","165mA","4.5V ~ 5.25V","899.9MHz","24-WFQFN Exposed Pad"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf370417,//media.digikey.com/Renders/Texas%20Instr%20Renders/RGE-24-VQFN%20Pkg.jpg,296-27522-2-ND,TRF370417IRGET,Texas Instruments,RF MODULATOR 50MHZ-6GHZ 24VFQFN,250,8250,"14.60152","0","250","Tape & Reel (TR)","-","Active","Modulator","50MHz ~ 6GHz","50MHz ~ 6GHz","12dBm","-162dBm/Hz","-","205mA","4.5V ~ 5.5V","2.14GHz","24-VFQFN Exposed Pad"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf370417,//media.digikey.com/Renders/Texas%20Instr%20Renders/RGE-24-VQFN%20Pkg.jpg,296-27522-1-ND,TRF370417IRGET,Texas Instruments,RF MODULATOR 50MHZ-6GHZ 24VFQFN,3887,8250,"20.23000","0","1","Cut Tape (CT)","-","Active","Modulator","50MHz ~ 6GHz","50MHz ~ 6GHz","12dBm","-162dBm/Hz","-","205mA","4.5V ~ 5.5V","2.14GHz","24-VFQFN Exposed Pad"
