Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency Bands (Low / High)","Low Band Attenuation (min / max dB)","High Band Attenuation (min / max dB)","Return Loss (Low Band / High Band)","Mounting Type","Package / Case"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8026a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX162690DT-8022B2.jpg,445-9313-2-ND,DPX165950DT-8026A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,8000,0,"0.31108","0","4000","Tape & Reel (TR)","DPX","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","-","-","9.5dB / 9.5dB","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8026a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX162690DT-8022B2.jpg,445-9313-1-ND,DPX165950DT-8026A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,8565,0,"0.82000","0","1","Cut Tape (CT)","DPX","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","-","-","9.5dB / 9.5dB","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8026a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX162690DT-8022B2.jpg,445-9313-6-ND,DPX165950DT-8026A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,8565,0,"Digi-Reel","0","1","Digi-Reel®","DPX","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","-","-","9.5dB / 9.5dB","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx105950dt-6012a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX105950DT-6012A1.jpg,445-172909-2-ND,DPX105950DT-6012A1,TDK Corporation,RF DIPLEXER 2.4GHZ/5.425GHZ 0402,10000,0,"0.12113","0","10000","Tape & Reel (TR)","DPX","Active","Diplexer","2.3GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","30.00dB / -","20.00dB / -","10.0dB / 10.0dB","Surface Mount","0402 (1005 Metric), 4 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx105950dt-6012a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX105950DT-6012A1.jpg,445-172909-1-ND,DPX105950DT-6012A1,TDK Corporation,RF DIPLEXER 2.4GHZ/5.425GHZ 0402,12088,0,"0.35000","0","1","Cut Tape (CT)","DPX","Active","Diplexer","2.3GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","30.00dB / -","20.00dB / -","10.0dB / 10.0dB","Surface Mount","0402 (1005 Metric), 4 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx105950dt-6012a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX105950DT-6012A1.jpg,445-172909-6-ND,DPX105950DT-6012A1,TDK Corporation,RF DIPLEXER 2.4GHZ/5.425GHZ 0402,12088,0,"Digi-Reel","0","1","Digi-Reel®","DPX","Active","Diplexer","2.3GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","30.00dB / -","20.00dB / -","10.0dB / 10.0dB","Surface Mount","0402 (1005 Metric), 4 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx205950dt-9008a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-3261-2-ND,DPX205950DT-9008A1,TDK Corporation,RF DIPLEXER 2.4GHZ/5.425GHZ 0805,2000,0,"0.28000","0","2000","Tape & Reel (TR)","DPX","Active","Diplexer","2.3GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","20.00dB / -","20.00dB / -","20.0dB / 11.0dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx205950dt-9008a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-3261-1-ND,DPX205950DT-9008A1,TDK Corporation,RF DIPLEXER 2.4GHZ/5.425GHZ 0805,2950,0,"0.74000","0","1","Cut Tape (CT)","DPX","Active","Diplexer","2.3GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","20.00dB / -","20.00dB / -","20.0dB / 11.0dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx205950dt-9008a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-3261-6-ND,DPX205950DT-9008A1,TDK Corporation,RF DIPLEXER 2.4GHZ/5.425GHZ 0805,2950,0,"Digi-Reel","0","1","Digi-Reel®","DPX","Active","Diplexer","2.3GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","20.00dB / -","20.00dB / -","20.0dB / 11.0dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8126a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX162690DT-8022B2.jpg,445-9312-2-ND,DPX165950DT-8126A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,4000,0,"0.31108","0","4000","Tape & Reel (TR)","DPX","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","-","-","21.5dB / 16.6dB","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8126a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX162690DT-8022B2.jpg,445-9312-1-ND,DPX165950DT-8126A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,7183,0,"0.82000","0","1","Cut Tape (CT)","DPX","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","-","-","21.5dB / 16.6dB","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8126a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX162690DT-8022B2.jpg,445-9312-6-ND,DPX165950DT-8126A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,7183,0,"Digi-Reel","0","1","Digi-Reel®","DPX","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","-","-","21.5dB / 16.6dB","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx202700dt-4062a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-174293-2-ND,DPX202700DT-4062A1,TDK Corporation,RF DIPLEXER 829MHZ/2.3GHZ 0805,12000,0,"0.35000","0","2000","Tape & Reel (TR)","-","Active","Diplexer","698MHz ~ 960MHz / 1.9GHz ~ 2.7GHz","25.00dB / 30.00dB","30.00dB / 39.00dB","26.0dB / 15.0dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
