Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Sensitivity","Data Rate (Max)","Modulation or Protocol","Applications","Current - Receiving","Data Interface","Memory Size","Antenna Connector","Features","Voltage - Supply","Operating Temperature","Package / Case","Supplier Device Package"
https://www.infineon.com/dgdl/Infineon-TDA7200-DS-v01_00-EN.pdf?fileId=5546d4625debb399015e2876a8493ceb,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/Pkg%20MTC28.jpg,TDA7200XUMA1TR-ND,TDA7200XUMA1,Infineon Technologies,RF RX ASK/FSK 400-440MHZ 28TSSOP,60000,0,"0.87939","0","3000","Tape & Reel (TR)","-","Active","400MHz ~ 440MHz","-110dBm","100kbps","ASK, FSK","Remote Sensors and Triggers","5.7mA","PCB, Surface Mount","-","PCB, Surface Mount","-","4.5V ~ 5.5V","-20°C ~ 70°C","28-TSSOP (0.173"", 4.40mm Width)","PG-TSSOP-28"
https://www.infineon.com/dgdl/Infineon-TDA7200-DS-v01_00-EN.pdf?fileId=5546d4625debb399015e2876a8493ceb,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/Pkg%20MTC28.jpg,TDA7200XUMA1CT-ND,TDA7200XUMA1,Infineon Technologies,RF RX ASK/FSK 400-440MHZ 28TSSOP,65371,0,"2.12000","0","1","Cut Tape (CT)","-","Active","400MHz ~ 440MHz","-110dBm","100kbps","ASK, FSK","Remote Sensors and Triggers","5.7mA","PCB, Surface Mount","-","PCB, Surface Mount","-","4.5V ~ 5.5V","-20°C ~ 70°C","28-TSSOP (0.173"", 4.40mm Width)","PG-TSSOP-28"
https://www.infineon.com/dgdl/Infineon-TDA7200-DS-v01_00-EN.pdf?fileId=5546d4625debb399015e2876a8493ceb,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/Pkg%20MTC28.jpg,TDA7200XUMA1DKR-ND,TDA7200XUMA1,Infineon Technologies,RF RX ASK/FSK 400-440MHZ 28TSSOP,65371,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","400MHz ~ 440MHz","-110dBm","100kbps","ASK, FSK","Remote Sensors and Triggers","5.7mA","PCB, Surface Mount","-","PCB, Surface Mount","-","4.5V ~ 5.5V","-20°C ~ 70°C","28-TSSOP (0.173"", 4.40mm Width)","PG-TSSOP-28"
https://www.infineon.com/dgdl/Infineon-TDA5210-DS-v03_00-EN.pdf?fileId=5546d4625debb399015e286e612c3cb7,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/Pkg%20MTC28.jpg,TDA5210XUMA1TR-ND,TDA5210XUMA1,Infineon Technologies,RF RX ASK/FSK 810-870MHZ 28TSSOP,12000,0,"1.04504","0","3000","Tape & Reel (TR)","-","Active","810MHz ~ 870MHz, 400MHz ~ 440MHz","-107dBm","-","ASK, FSK","Alarm Systems, Communication Systems","4.8mA","PCB, Surface Mount","-","PCB, Surface Mount","-","4.6V ~ 5.5V","-40°C ~ 105°C","28-TSSOP (0.173"", 4.40mm Width)","PG-TSSOP-28"
https://www.infineon.com/dgdl/Infineon-TDA5210-DS-v03_00-EN.pdf?fileId=5546d4625debb399015e286e612c3cb7,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/Pkg%20MTC28.jpg,TDA5210XUMA1CT-ND,TDA5210XUMA1,Infineon Technologies,RF RX ASK/FSK 810-870MHZ 28TSSOP,14165,0,"2.52000","0","1","Cut Tape (CT)","-","Active","810MHz ~ 870MHz, 400MHz ~ 440MHz","-107dBm","-","ASK, FSK","Alarm Systems, Communication Systems","4.8mA","PCB, Surface Mount","-","PCB, Surface Mount","-","4.6V ~ 5.5V","-40°C ~ 105°C","28-TSSOP (0.173"", 4.40mm Width)","PG-TSSOP-28"
https://www.infineon.com/dgdl/Infineon-TDA5210-DS-v03_00-EN.pdf?fileId=5546d4625debb399015e286e612c3cb7,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/Pkg%20MTC28.jpg,TDA5210XUMA1DKR-ND,TDA5210XUMA1,Infineon Technologies,RF RX ASK/FSK 810-870MHZ 28TSSOP,14165,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","810MHz ~ 870MHz, 400MHz ~ 440MHz","-107dBm","-","ASK, FSK","Alarm Systems, Communication Systems","4.8mA","PCB, Surface Mount","-","PCB, Surface Mount","-","4.6V ~ 5.5V","-40°C ~ 105°C","28-TSSOP (0.173"", 4.40mm Width)","PG-TSSOP-28"
https://datasheets.maximintegrated.com/en/ds/MAX2112.pdf,//media.digikey.com/Renders/Maxim%20Renders/175;21-0140;TI;28.jpg,MAX2112ETI+-ND,MAX2112ETI+,Maxim Integrated,RF RCVR 925MHZ-2.175GHZ 28TQFN,493,360,"8.39000","0","1","Tube","-","Active","925MHz ~ 2.175GHz","-","-","-","Digital TV, CATV, Set Top Boxes","100mA","PCB, Surface Mount","-","PCB, Surface Mount","-","3.13V ~ 3.47V","-40°C ~ 85°C","28-WFQFN Exposed Pad","28-TQFN (5x5)"
https://www.u-blox.com/sites/default/files/MAX-M8-FW3_DataSheet_%28UBX-15031506%29.pdf,//media.digikey.com/Photos/U-Blox%20America/MFG_MAX-M8.jpg,672-1002-2-ND,MAX-M8C-0-10,U-Blox America Inc.,RF RCVR GNSS/GPS 1.575GHZ 18LCC,10500,0,"9.08392","0","500","Tape & Reel (TR)","MAX-M8","Active","1.575GHz","-167dBm","-","BeiDou, Galileo, GLONASS, GNSS, GPS","General Purpose","23mA","I²C, UART","-","-","-","1.65V ~ 3.6V","-40°C ~ 85°C","18-SMD Module","-"
https://www.u-blox.com/sites/default/files/MAX-M8-FW3_DataSheet_%28UBX-15031506%29.pdf,//media.digikey.com/Photos/U-Blox%20America/MFG_MAX-M8.jpg,672-1002-1-ND,MAX-M8C-0-10,U-Blox America Inc.,RF RCVR GNSS/GPS 1.575GHZ 18LCC,10660,0,"21.00000","0","1","Cut Tape (CT)","MAX-M8","Active","1.575GHz","-167dBm","-","BeiDou, Galileo, GLONASS, GNSS, GPS","General Purpose","23mA","I²C, UART","-","-","-","1.65V ~ 3.6V","-40°C ~ 85°C","18-SMD Module","-"
https://www.u-blox.com/sites/default/files/MAX-M8-FW3_DataSheet_%28UBX-15031506%29.pdf,//media.digikey.com/Photos/U-Blox%20America/MFG_MAX-M8.jpg,672-1002-6-ND,MAX-M8C-0-10,U-Blox America Inc.,RF RCVR GNSS/GPS 1.575GHZ 18LCC,10660,0,"Digi-Reel","0","1","Digi-Reel®","MAX-M8","Active","1.575GHz","-167dBm","-","BeiDou, Galileo, GLONASS, GNSS, GPS","General Purpose","23mA","I²C, UART","-","-","-","1.65V ~ 3.6V","-40°C ~ 85°C","18-SMD Module","-"
http://www.antenova-m2m.com/wp-content/uploads/2017/10/M20048-1-PS-1.0.pdf,-,627-1099-2-ND,M20048-1,Antenova,RF RCVR GPS 1.575GHZ MODULE,6000,0,"9.94252","0","1000","Tape & Reel (TR)","RADIONOVA®","Active","1.575GHz","-165dBm","-","GPS","General Purpose","31mA","UART","-","On-Board, Trace","-","3.3V","-40°C ~ 85°C","Module","Module"
http://www.antenova-m2m.com/wp-content/uploads/2017/10/M20048-1-PS-1.0.pdf,-,627-1099-1-ND,M20048-1,Antenova,RF RCVR GPS 1.575GHZ MODULE,6984,0,"16.47000","0","1","Cut Tape (CT)","RADIONOVA®","Active","1.575GHz","-165dBm","-","GPS","General Purpose","31mA","UART","-","On-Board, Trace","-","3.3V","-40°C ~ 85°C","Module","Module"
http://www.antenova-m2m.com/wp-content/uploads/2017/10/M20048-1-PS-1.0.pdf,-,627-1099-6-ND,M20048-1,Antenova,RF RCVR GPS 1.575GHZ MODULE,6984,0,"Digi-Reel","0","1","Digi-Reel®","RADIONOVA®","Active","1.575GHz","-165dBm","-","GPS","General Purpose","31mA","UART","-","On-Board, Trace","-","3.3V","-40°C ~ 85°C","Module","Module"
https://www.u-blox.com/sites/default/files/MAX-M8-FW3_DataSheet_%28UBX-15031506%29.pdf,//media.digikey.com/photos/U-Blox%20America/MFG_MAX.jpg,672-1003-2-ND,MAX-M8Q-0,U-Blox America Inc.,RF RCVR GNSS/GPS 1.575GHZ 18LCC,10000,0,"10.26900","0","500","Tape & Reel (TR)","MAX-M8","Active","1.575GHz","-167dBm","-","BeiDou, Galileo, GLONASS, GNSS, GPS","General Purpose","23mA","I²C, UART","-","-","-","2.7V ~ 3.6V","-40°C ~ 85°C","18-SMD Module","-"
