Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Height - Overall","Length - Overall","Width - Overall","Ventilation","Mounting Type"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/BMI-S-101_Dwg.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/BMI-S-101.jpg,903-1006-2-ND,BMI-S-101,Laird Technologies EMI,RF SHIELD 0.5""X0.538"" SOLDER 1PC,2000,0,"0.39100","0","1000","Tape & Reel (TR)","SMT 1 Piece","Active","Shield, 1-Piece","0.100"" (2.54mm)","0.538"" (13.66mm)","0.500"" (12.70mm)","Vent Holes in Pattern","Solder"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/BMI-S-101_Dwg.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/BMI-S-101.jpg,903-1006-1-ND,BMI-S-101,Laird Technologies EMI,RF SHIELD 0.5""X0.538"" SOLDER 1PC,3887,0,"1.01000","0","1","Cut Tape (CT)","SMT 1 Piece","Active","Shield, 1-Piece","0.100"" (2.54mm)","0.538"" (13.66mm)","0.500"" (12.70mm)","Vent Holes in Pattern","Solder"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/BMI-S-101_Dwg.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/BMI-S-101.jpg,903-1006-6-ND,BMI-S-101,Laird Technologies EMI,RF SHIELD 0.5""X0.538"" SOLDER 1PC,3887,0,"Digi-Reel","0","1","Digi-Reel®","SMT 1 Piece","Active","Shield, 1-Piece","0.100"" (2.54mm)","0.538"" (13.66mm)","0.500"" (12.70mm)","Vent Holes in Pattern","Solder"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/BMI-S-201-F_Dwg.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/BMI-S-201-F.jpg,903-1050-2-ND,BMI-S-201-F,Laird Technologies EMI,RF SHIELD 0.5"" X 0.538"" SOLDER,44000,0,"0.59685","0","1000","Tape & Reel (TR)","SMT 2 Piece","Active","Frame","0.100"" (2.54mm)","0.538"" (13.66mm)","0.500"" (12.70mm)","-","Solder"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/BMI-S-201-F_Dwg.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/BMI-S-201-F.jpg,903-1050-1-ND,BMI-S-201-F,Laird Technologies EMI,RF SHIELD 0.5"" X 0.538"" SOLDER,46034,0,"1.43000","0","1","Cut Tape (CT)","SMT 2 Piece","Active","Frame","0.100"" (2.54mm)","0.538"" (13.66mm)","0.500"" (12.70mm)","-","Solder"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/BMI-S-201-F_Dwg.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/BMI-S-201-F.jpg,903-1050-6-ND,BMI-S-201-F,Laird Technologies EMI,RF SHIELD 0.5"" X 0.538"" SOLDER,46034,0,"Digi-Reel","0","1","Digi-Reel®","SMT 2 Piece","Active","Frame","0.100"" (2.54mm)","0.538"" (13.66mm)","0.500"" (12.70mm)","-","Solder"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/BMI-S-203.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/BMI-S-203-F.jpg,903-1052-2-ND,BMI-S-203-F,Laird Technologies EMI,RF SHIELD 1.032"" X 1.032"" SOLDER,50700,0,"1.57320","0","300","Tape & Reel (TR)","SMT 2 Piece","Active","Frame","0.200"" (5.08mm)","1.032"" (26.21mm)","1.032"" (26.21mm)","-","Solder"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/BMI-S-203.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/BMI-S-203-F.jpg,903-1052-1-ND,BMI-S-203-F,Laird Technologies EMI,RF SHIELD 1.032"" X 1.032"" SOLDER,51232,0,"2.51000","0","1","Cut Tape (CT)","SMT 2 Piece","Active","Frame","0.200"" (5.08mm)","1.032"" (26.21mm)","1.032"" (26.21mm)","-","Solder"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/BMI-S-203.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/BMI-S-203-F.jpg,903-1052-6-ND,BMI-S-203-F,Laird Technologies EMI,RF SHIELD 1.032"" X 1.032"" SOLDER,51232,0,"Digi-Reel","0","1","Digi-Reel®","SMT 2 Piece","Active","Frame","0.200"" (5.08mm)","1.032"" (26.21mm)","1.032"" (26.21mm)","-","Solder"
http://assets.lairdtech.com/home/brandworld/files/Board%20Level%20Shields%20Catalog%20Download.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/BMI-S-201-C.jpg,903-1013-ND,BMI-S-201-C,Laird Technologies EMI,RF SHIELD 0.514""X0.552"" SNAP FIT,15349,0,"0.72000","0","1","Bulk","SMT 2 Piece","Active","Cover","0.079"" (2.00mm)","0.552"" (14.02mm)","0.514"" (13.06mm)","Vent Holes in Pattern","Snap Fit"
