Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Type","Topology","Circuit","Frequency Range","Isolation","Insertion Loss","Test Frequency","P1dB","IIP3","Features","Impedance","Voltage - Supply","Operating Temperature","Package / Case","Supplier Device Package"
https://www.infineon.com/dgdl/Infineon-BGS12SN6-DS-v01_02-en.pdf?fileId=db3a30433f1b26e8013f2db58bc03856,//media.digikey.com/Renders/Infineon%20Renders/448;P_PG-TSNP-6-2;;6.jpg,BGS12SN6E6327XTSA1TR-ND,BGS12SN6E6327XTSA1,Infineon Technologies,IC RF SWITCH SPDT 6GHZ TSNP6-2,15000,0,"0.09048","0","15000","Tape & Reel (TR)","-","Active","Bluetooth, WLAN","-","SPDT","100MHz ~ 6GHz","21dB","0.65dB","6GHz","-","-","-","50Ohm","1.8V ~ 3.5V","-40°C ~ 85°C","6-XFDFN","TSNP-6-2"
https://www.infineon.com/dgdl/Infineon-BGS12SN6-DS-v01_02-en.pdf?fileId=db3a30433f1b26e8013f2db58bc03856,//media.digikey.com/Renders/Infineon%20Renders/448;P_PG-TSNP-6-2;;6.jpg,BGS12SN6E6327XTSA1CT-ND,BGS12SN6E6327XTSA1,Infineon Technologies,IC RF SWITCH SPDT 6GHZ TSNP6-2,29308,0,"0.37000","0","1","Cut Tape (CT)","-","Active","Bluetooth, WLAN","-","SPDT","100MHz ~ 6GHz","21dB","0.65dB","6GHz","-","-","-","50Ohm","1.8V ~ 3.5V","-40°C ~ 85°C","6-XFDFN","TSNP-6-2"
https://www.infineon.com/dgdl/Infineon-BGS12SN6-DS-v01_02-en.pdf?fileId=db3a30433f1b26e8013f2db58bc03856,//media.digikey.com/Renders/Infineon%20Renders/448;P_PG-TSNP-6-2;;6.jpg,BGS12SN6E6327XTSA1DKR-ND,BGS12SN6E6327XTSA1,Infineon Technologies,IC RF SWITCH SPDT 6GHZ TSNP6-2,29308,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Bluetooth, WLAN","-","SPDT","100MHz ~ 6GHz","21dB","0.65dB","6GHz","-","-","-","50Ohm","1.8V ~ 3.5V","-40°C ~ 85°C","6-XFDFN","TSNP-6-2"
http://cdn.macom.com/datasheets/MASWSS0115.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MASWSS0115TR-3000.JPG,1465-1373-2-ND,MASWSS0115TR-3000,M/A-Com Technology Solutions,IC RF SWITCH SPDT 3GHZ SC70-6,288000,0,"0.21750","0","3000","Tape & Reel (TR)","-","Active","GSM, DCS, PCS","Reflective","SPDT","DC ~ 3GHz","22dB","0.3dB","3GHz","25dBm","-","-","50Ohm","-","-40°C ~ 85°C","6-TSSOP, SC-88, SOT-363","SC-70-6 (SOT-363)"
http://cdn.macom.com/datasheets/MASWSS0115.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MASWSS0115TR-3000.JPG,1465-1373-1-ND,MASWSS0115TR-3000,M/A-Com Technology Solutions,IC RF SWITCH SPDT 3GHZ SC70-6,292362,0,"0.62000","0","1","Cut Tape (CT)","-","Active","GSM, DCS, PCS","Reflective","SPDT","DC ~ 3GHz","22dB","0.3dB","3GHz","25dBm","-","-","50Ohm","-","-40°C ~ 85°C","6-TSSOP, SC-88, SOT-363","SC-70-6 (SOT-363)"
http://cdn.macom.com/datasheets/MASWSS0115.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MASWSS0115TR-3000.JPG,1465-1373-6-ND,MASWSS0115TR-3000,M/A-Com Technology Solutions,IC RF SWITCH SPDT 3GHZ SC70-6,292362,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","GSM, DCS, PCS","Reflective","SPDT","DC ~ 3GHz","22dB","0.3dB","3GHz","25dBm","-","-","50Ohm","-","-40°C ~ 85°C","6-TSSOP, SC-88, SOT-363","SC-70-6 (SOT-363)"
http://www.skyworksinc.com/uploads/documents/SKY13453_385LF_202830E.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;-6QFN-.5-1x1;-;-6.jpg,863-1602-2-ND,SKY13453-385LF,Skyworks Solutions Inc.,IC RF SWITCH 6GHZ 6QFN,42000,0,"0.23780","0","3000","Tape & Reel (TR)","-","Active","WLAN","-","-","10MHz ~ 6GHz","27dB","0.4dB","2GHz","33dBm","57dBm","-","50Ohm","2.5V ~ 3.5V","-30°C ~ 90°C","6-XFQFN","6-QFN (1x1)"
http://www.skyworksinc.com/uploads/documents/SKY13453_385LF_202830E.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;-6QFN-.5-1x1;-;-6.jpg,863-1602-1-ND,SKY13453-385LF,Skyworks Solutions Inc.,IC RF SWITCH 6GHZ 6QFN,45000,0,"0.63000","0","1","Cut Tape (CT)","-","Active","WLAN","-","-","10MHz ~ 6GHz","27dB","0.4dB","2GHz","33dBm","57dBm","-","50Ohm","2.5V ~ 3.5V","-30°C ~ 90°C","6-XFQFN","6-QFN (1x1)"
http://www.skyworksinc.com/uploads/documents/SKY13453_385LF_202830E.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;-6QFN-.5-1x1;-;-6.jpg,863-1602-6-ND,SKY13453-385LF,Skyworks Solutions Inc.,IC RF SWITCH 6GHZ 6QFN,45000,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","WLAN","-","-","10MHz ~ 6GHz","27dB","0.4dB","2GHz","33dBm","57dBm","-","50Ohm","2.5V ~ 3.5V","-30°C ~ 90°C","6-XFQFN","6-QFN (1x1)"
http://www.cel.com/pdf/datasheets/CG2179M2.pdf,//media.digikey.com/Renders/CEL/6-pin-RF-SPDT-Switch.jpg,CG2179M2-C4TR-ND,CG2179M2-C4,CEL,IC RF SWITCH SPDT 3GHZ 6MINIMOLD,220000,0,"0.24700","0","10000","Tape & Reel (TR)","-","Active","802.11b/g/n/ac","-","SPDT","50MHz ~ 3GHz","23dB","0.45dB","3GHz","-","58dBm","-","50Ohm","1.8V ~ 5V","-45°C ~ 85°C","6-SMD, Gull Wing","6-Minimold"
http://www.cel.com/pdf/datasheets/CG2179M2.pdf,//media.digikey.com/Renders/CEL/6-pin-RF-SPDT-Switch.jpg,CG2179M2-C4CT-ND,CG2179M2-C4,CEL,IC RF SWITCH SPDT 3GHZ 6MINIMOLD,228913,0,"0.78000","0","1","Cut Tape (CT)","-","Active","802.11b/g/n/ac","-","SPDT","50MHz ~ 3GHz","23dB","0.45dB","3GHz","-","58dBm","-","50Ohm","1.8V ~ 5V","-45°C ~ 85°C","6-SMD, Gull Wing","6-Minimold"
http://www.cel.com/pdf/datasheets/CG2179M2.pdf,//media.digikey.com/Renders/CEL/6-pin-RF-SPDT-Switch.jpg,CG2179M2-C4DKR-ND,CG2179M2-C4,CEL,IC RF SWITCH SPDT 3GHZ 6MINIMOLD,228913,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","802.11b/g/n/ac","-","SPDT","50MHz ~ 3GHz","23dB","0.45dB","3GHz","-","58dBm","-","50Ohm","1.8V ~ 5V","-45°C ~ 85°C","6-SMD, Gull Wing","6-Minimold"
http://www.cel.com/pdf/datasheets/CG2214M6.pdf,//media.digikey.com/Renders/CEL/6-pin-lead-less-RF-SPDT-Switch.jpg,CG2214M6-C2TR-ND,CG2214M6-C2,CEL,IC RF SWITCH SPDT 3GHZ 6MINIMOLD,9000,0,"0.32400","0","9000","Tape & Reel (TR)","-","Active","802.11b/g/n/ac","-","SPDT","50MHz ~ 3GHz","23dB","0.35dB","3GHz","-","58dBm","-","50Ohm","1.8V ~ 5V","-45°C ~ 85°C","6-SMD, Gull Wing","6-Minimold"
http://www.cel.com/pdf/datasheets/CG2214M6.pdf,//media.digikey.com/Renders/CEL/6-pin-lead-less-RF-SPDT-Switch.jpg,CG2214M6-C2CT-ND,CG2214M6-C2,CEL,IC RF SWITCH SPDT 3GHZ 6MINIMOLD,9482,0,"0.99000","0","1","Cut Tape (CT)","-","Active","802.11b/g/n/ac","-","SPDT","50MHz ~ 3GHz","23dB","0.35dB","3GHz","-","58dBm","-","50Ohm","1.8V ~ 5V","-45°C ~ 85°C","6-SMD, Gull Wing","6-Minimold"
http://www.cel.com/pdf/datasheets/CG2214M6.pdf,//media.digikey.com/Renders/CEL/6-pin-lead-less-RF-SPDT-Switch.jpg,CG2214M6-C2DKR-ND,CG2214M6-C2,CEL,IC RF SWITCH SPDT 3GHZ 6MINIMOLD,9482,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","802.11b/g/n/ac","-","SPDT","50MHz ~ 3GHz","23dB","0.35dB","3GHz","-","58dBm","-","50Ohm","1.8V ~ 5V","-45°C ~ 85°C","6-SMD, Gull Wing","6-Minimold"
http://www.skyworksinc.com/uploads/documents/SKY13351_378LF_201132I.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/6-XFDFN.jpg,863-1177-2-ND,SKY13351-378LF,Skyworks Solutions Inc.,IC RF SWITCH SPDT 6GHZ 6MLPD,75000,0,"0.37301","0","3000","Tape & Reel (TR)","-","Active","802.11/WiFi, WLAN","Reflective","SPDT","20MHz ~ 6GHz","26dB","0.5dB","6GHz","-","46dBm","-","50Ohm","-","-40°C ~ 85°C","6-XFDFN Exposed Pad","6-MLPD (1x1)"
