Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Family/Standard","Protocol","Modulation","Frequency","Data Rate","Power - Output","Sensitivity","Serial Interfaces","Antenna Type","Utilized IC / Part","Memory Size","Voltage - Supply","Current - Receiving","Current - Transmitting","Mounting Type","Operating Temperature","Package / Case"
https://www.espressif.com/sites/default/files/documentation/0c-esp-wroom-02_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP-WROOM-02.jpg,1904-1009-2-ND,ESP-WROOM-02,Espressif Systems,"SMD MODULE, ESP8266EX, 16MBITS S",10400,0,"2.70002","0","650","Tape & Reel (TR)","-","Active","WiFi","802.11b/g/n","-","2.4GHz ~ 2.5GHz","72.2Mbps","20dBm","-98dBm","-","Integrated, Trace","-","-","2.7V ~ 3.6V","-","120mA ~ 170mA","Surface Mount","-40°C ~ 85°C","18-SMD Module"
https://www.espressif.com/sites/default/files/documentation/0c-esp-wroom-02_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP-WROOM-02.jpg,1904-1009-1-ND,ESP-WROOM-02,Espressif Systems,"SMD MODULE, ESP8266EX, 16MBITS S",10990,0,"2.70000","0","1","Cut Tape (CT)","-","Active","WiFi","802.11b/g/n","-","2.4GHz ~ 2.5GHz","72.2Mbps","20dBm","-98dBm","-","Integrated, Trace","-","-","2.7V ~ 3.6V","-","120mA ~ 170mA","Surface Mount","-40°C ~ 85°C","18-SMD Module"
https://www.espressif.com/sites/default/files/documentation/0c-esp-wroom-02_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP-WROOM-02.jpg,1904-1009-6-ND,ESP-WROOM-02,Espressif Systems,"SMD MODULE, ESP8266EX, 16MBITS S",10990,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","WiFi","802.11b/g/n","-","2.4GHz ~ 2.5GHz","72.2Mbps","20dBm","-98dBm","-","Integrated, Trace","-","-","2.7V ~ 3.6V","-","120mA ~ 170mA","Surface Mount","-40°C ~ 85°C","18-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/ESP32-WROOM-32.JPG,1904-1010-2-ND,ESP32-WROOM-32,Espressif Systems,"SMD MODULE, ESP32-D0WDQ6, 32MBIT",3850,0,"3.80000","0","550","Tape & Reel (TR)","-","Active","Bluetooth, WiFi","-","-","2.4GHz ~ 2.5GHz","150Mbps","20dBm","-98dBm","-","-","-","-","2.7V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/ESP32-WROOM-32.JPG,1904-1010-1-ND,ESP32-WROOM-32,Espressif Systems,"SMD MODULE, ESP32-D0WDQ6, 32MBIT",4042,0,"3.80000","0","1","Cut Tape (CT)","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/ESP32-WROOM-32.JPG,1904-1010-6-ND,ESP32-WROOM-32,Espressif Systems,"SMD MODULE, ESP32-D0WDQ6, 32MBIT",4042,0,"Digi-Reel","0","1","Digi-Reel®","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROOM-32D.jpg,1904-1023-2-ND,ESP32-WROOM-32D,Espressif Systems,WIFI MODULE 32MBITS SPI FLASH,3250,0,"3.80000","0","650","Tape & Reel (TR)","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20.5dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","Integrated, Trace","ESP32-D0WD","448kB ROM, 536kB SRAM","2.7V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROOM-32D.jpg,1904-1023-1-ND,ESP32-WROOM-32D,Espressif Systems,WIFI MODULE 32MBITS SPI FLASH,3477,0,"3.80000","0","1","Cut Tape (CT)","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20.5dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","Integrated, Trace","ESP32-D0WD","448kB ROM, 536kB SRAM","2.7V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROOM-32D.jpg,1904-1023-6-ND,ESP32-WROOM-32D,Espressif Systems,WIFI MODULE 32MBITS SPI FLASH,3878,0,"Digi-Reel","0","1","Digi-Reel®","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20.5dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","Integrated, Trace","ESP32-D0WD","448kB ROM, 536kB SRAM","2.7V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROOM-32U.jpg,1904-1026-2-ND,ESP32-WROOM-32U,Espressif Systems,WIFI MODULE 32MBITS SPI FLASH,2600,0,"3.80000","0","650","Tape & Reel (TR)","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20.5dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","Integrated, Chip + U.FL","ESP32-D0WD","448kB ROM, 536kB SRAM","2.7V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROOM-32U.jpg,1904-1026-1-ND,ESP32-WROOM-32U,Espressif Systems,WIFI MODULE 32MBITS SPI FLASH,3104,0,"3.80000","0","1","Cut Tape (CT)","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20.5dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","Integrated, Chip + U.FL","ESP32-D0WD","448kB ROM, 536kB SRAM","2.7V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROOM-32U.jpg,1904-1026-6-ND,ESP32-WROOM-32U,Espressif Systems,WIFI MODULE 32MBITS SPI FLASH,3106,0,"Digi-Reel","0","1","Digi-Reel®","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20.5dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","Integrated, Chip + U.FL","ESP32-D0WD","448kB ROM, 536kB SRAM","2.7V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wrover_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROVER-I.jpg,1904-1007-2-ND,ESP32-WROVER,Espressif Systems,"SMD MODULE, ESP32-D0WDQ6, 32MBIT",17550,0,"4.20003","0","650","Tape & Reel (TR)","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","PCB Trace","ESP32-D0WDQ6","448kB ROM, 536kB SRAM","2.3V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wrover_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROVER-I.jpg,1904-1007-1-ND,ESP32-WROVER,Espressif Systems,"SMD MODULE, ESP32-D0WDQ6, 32MBIT",18030,0,"4.20000","0","1","Cut Tape (CT)","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","PCB Trace","ESP32-D0WDQ6","448kB ROM, 536kB SRAM","2.3V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wrover_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROVER-I.jpg,1904-1007-6-ND,ESP32-WROVER,Espressif Systems,"SMD MODULE, ESP32-D0WDQ6, 32MBIT",18030,0,"Digi-Reel","0","1","Digi-Reel®","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","PCB Trace","ESP32-D0WDQ6","448kB ROM, 536kB SRAM","2.3V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROOM-32D.jpg,1904-1025-2-ND,ESP32-WROOM-32D (16MB),Espressif Systems,WIFI MODULE 128MBITS SPI FLASH,650,0,"4.50002","0","650","Tape & Reel (TR)","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20.5dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","Integrated, Trace","ESP32-D0WD","448kB ROM, 536kB SRAM","2.7V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROOM-32D.jpg,1904-1025-1-ND,ESP32-WROOM-32D (16MB),Espressif Systems,WIFI MODULE 128MBITS SPI FLASH,994,0,"4.50000","0","1","Cut Tape (CT)","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20.5dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","Integrated, Trace","ESP32-D0WD","448kB ROM, 536kB SRAM","2.7V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,//media.digikey.com/Photos/Espressif%20Systems/MFG_ESP32-WROOM-32D.jpg,1904-1025-6-ND,ESP32-WROOM-32D (16MB),Espressif Systems,WIFI MODULE 128MBITS SPI FLASH,994,0,"Digi-Reel","0","1","Digi-Reel®","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20.5dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","Integrated, Trace","ESP32-D0WD","448kB ROM, 536kB SRAM","2.7V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wrover_datasheet_en.pdf,-,1904-1014-2-ND,ESP32-WROVER (8MB),Espressif Systems,WIFI MODULE 64MBITS SPI FLASH,650,0,"4.60002","0","650","Tape & Reel (TR)","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","PCB Trace","ESP32-D0WDQ6","448kB ROM, 536kB SRAM","2.3V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wrover_datasheet_en.pdf,-,1904-1014-1-ND,ESP32-WROVER (8MB),Espressif Systems,WIFI MODULE 64MBITS SPI FLASH,869,0,"4.60000","0","1","Cut Tape (CT)","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","PCB Trace","ESP32-D0WDQ6","448kB ROM, 536kB SRAM","2.3V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
https://www.espressif.com/sites/default/files/documentation/esp32-wrover_datasheet_en.pdf,-,1904-1014-6-ND,ESP32-WROVER (8MB),Espressif Systems,WIFI MODULE 64MBITS SPI FLASH,869,0,"Digi-Reel","0","1","Digi-Reel®","ESP32","Active","Bluetooth, WiFi","802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3","CCK, DSSS, OFDM","2.4GHz ~ 2.5GHz","150Mbps","20dBm","-98dBm","GPIO, I²C, I²S, PWM, SDIO, SPI, UART","PCB Trace","ESP32-D0WDQ6","448kB ROM, 536kB SRAM","2.3V ~ 3.6V","-","-","Surface Mount","-40°C ~ 85°C","38-SMD Module"
