Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Applications","Modulation or Protocol","Data Rate (Max)","Power - Output","Current - Transmitting","Data Interface","Antenna Connector","Memory Size","Features","Voltage - Supply","Operating Temperature","Package / Case"
https://www.melexis.com/-/media/files/documents/datasheets/th72015-datasheet-melexis.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/10-DFN%20PKG.jpg,TH72015KLD-BAA-000-TU-ND,TH72015KLD-BAA-000-TU,Melexis Technologies NV,RF TX IC ASK 380-450MHZ 10VFDFN,5419,0,"2.30000","0","1","Tube","-","Active","380MHz ~ 450MHz","Alarm and Security Systems, RKE, TPMS","ASK, FSK","40kbps","-12dBm ~ 10dBm","3.4mA ~ 10.6mA","PCB, Surface Mount","PCB, Surface Mount","-","-","1.95V ~ 5.5V","-40°C ~ 125°C","10-VFDFN Exposed Pad"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc1070,"//media.digikey.com/Renders/Texas%20Instr%20Renders/CC1070,20-QFN.jpg",296-19582-2-ND,CC1070RSQR,Texas Instruments,RF TX IC ASK 402-470MHZ 20QFN,10000,10000,"3.24250","0","5000","Tape & Reel (TR)","-","Not For New Designs","402MHz ~ 470MHz, 804MHz ~ 940MHz","ISM","ASK, FSK, GFSK, OOK","153.6kBaud","-20dBm ~ 10dBm","33.1mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.3V ~ 3.6V","-40°C ~ 105°C","20-QFN Exposed Pad"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc1070,"//media.digikey.com/Renders/Texas%20Instr%20Renders/CC1070,20-QFN.jpg",296-19582-1-ND,CC1070RSQR,Texas Instruments,RF TX IC ASK 402-470MHZ 20QFN,13985,10001,"6.54000","0","1","Cut Tape (CT)","-","Not For New Designs","402MHz ~ 470MHz, 804MHz ~ 940MHz","ISM","ASK, FSK, GFSK, OOK","153.6kBaud","-20dBm ~ 10dBm","33.1mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.3V ~ 3.6V","-40°C ~ 105°C","20-QFN Exposed Pad"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc1070,"//media.digikey.com/Renders/Texas%20Instr%20Renders/CC1070,20-QFN.jpg",296-19582-6-ND,CC1070RSQR,Texas Instruments,RF TX IC ASK 402-470MHZ 20QFN,13985,10001,"Digi-Reel","0","1","Digi-Reel®","-","Not For New Designs","402MHz ~ 470MHz, 804MHz ~ 940MHz","ISM","ASK, FSK, GFSK, OOK","153.6kBaud","-20dBm ~ 10dBm","33.1mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.3V ~ 3.6V","-40°C ~ 105°C","20-QFN Exposed Pad"
https://linxtechnologies.com/wp/wp-content/uploads/txm-fff-lr.pdf,//media.digikey.com/photos/Linx%20Tech%20Photos/TXM-433-LR.jpg,TXM-433-LR_-ND,TXM-433-LR,Linx Technologies Inc.,RF TX IC ASK/OOK 433MHZ 8SMD MOD,3634,0,"7.71000","0","1","Tube","LR","Active","433MHz","Home/Industrial Automation, Lighting, Remote Control, RKE, Security","ASK, OOK","10kbps","-4dBm ~ 4dBm","8.5mA","Serial","Castellation","-","-","2.1V ~ 3.6V","-40°C ~ 85°C","8-SMD Module"
https://linxtechnologies.com/wp/wp-content/uploads/txm-fff-lr.pdf,//media.digikey.com/photos/Linx%20Tech%20Photos/TXM-418-LR.jpg,TXM-418-LR-ND,TXM-418-LR,Linx Technologies Inc.,RF TX IC ASK/OOK 418MHZ 8SMD MOD,798,0,"7.71000","0","1","Tube","LR","Active","418MHz","Home/Industrial Automation, Lighting, Remote Control, RKE, Security","ASK, OOK","10kbps","-4dBm ~ 4dBm","8.5mA","Serial","Castellation","-","-","2.1V ~ 3.6V","-40°C ~ 85°C","8-SMD Module"
https:/linxtechnologies.com/wp/wp-content/uploads/txm-fff-lc.pdf,//media.digikey.com/photos/Linx%20Tech%20Photos/TXM-418-LC.JPG,TXM-418-LC-ND,TXM-418-LC,Linx Technologies Inc.,RF TX IC ASK/OOK 418MHZ 8SMD MOD,706,0,"9.50000","0","1","Tube","LC","Active","418MHz","Home/Industrial Automation, Lighting, Remote Control, RKE, Security","ASK, OOK","5kbps","-4dBm ~ 4dBm","5.2mA","Serial","Castellation","-","-","2.7V ~ 5.2V","-30°C ~ 70°C","8-SMD Module"
https://www.semtech.com/uploads/documents/sx1243.pdf,//media.digikey.com/Renders/Semtech%20Renders/8-DFN(2x3).jpg,SX1243IULTRTTR-ND,SX1243IULTRT,Semtech Corporation,RF TX IC FHSS 310-450MHZ 8UFDFN,12000,0,"0.56000","0","3000","Tape & Reel (TR)","-","Active","310MHz ~ 450MHz, 860MHz ~ 870MHz, 902MHz ~ 928MHz","RKE, Security Systems","FHSS, FSK, OOK","100kbps","10dBm","17.5mA","PCB, Surface Mount","PCB, Surface Mount","-","-","1.8V ~ 3.7V","-40°C ~ 85°C","8-UFDFN Exposed Pad"
https://www.semtech.com/uploads/documents/sx1243.pdf,//media.digikey.com/Renders/Semtech%20Renders/8-DFN(2x3).jpg,SX1243IULTRTCT-ND,SX1243IULTRT,Semtech Corporation,RF TX IC FHSS 310-450MHZ 8UFDFN,14246,0,"1.47000","0","1","Cut Tape (CT)","-","Active","310MHz ~ 450MHz, 860MHz ~ 870MHz, 902MHz ~ 928MHz","RKE, Security Systems","FHSS, FSK, OOK","100kbps","10dBm","17.5mA","PCB, Surface Mount","PCB, Surface Mount","-","-","1.8V ~ 3.7V","-40°C ~ 85°C","8-UFDFN Exposed Pad"
https://www.semtech.com/uploads/documents/sx1243.pdf,//media.digikey.com/Renders/Semtech%20Renders/8-DFN(2x3).jpg,SX1243IULTRTDKR-ND,SX1243IULTRT,Semtech Corporation,RF TX IC FHSS 310-450MHZ 8UFDFN,14246,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","310MHz ~ 450MHz, 860MHz ~ 870MHz, 902MHz ~ 928MHz","RKE, Security Systems","FHSS, FSK, OOK","100kbps","10dBm","17.5mA","PCB, Surface Mount","PCB, Surface Mount","-","-","1.8V ~ 3.7V","-40°C ~ 85°C","8-UFDFN Exposed Pad"
