Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
http://www.crydom.com/en/products/catalog/covers.pdf,//media.digikey.com/Photos/Crydom%20Photos/KS101.JPG,CC2136-ND,KS101,Sensata-Crydom,COVER PROTECTIVE SSR CLEAR,1504,0,"4.13000","0","1","-","Active","Cover, Terminal","Series 1"
http://www.crydom.com/en/tech/drawings/107601.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_KS100.jpg,CC1070-ND,KS-100,Sensata-Crydom,PROTECTIVE COVER FOR RELAYS,385,0,"5.10000","0","1","-","Active","Cover, Terminal","Series 1"
//media.digikey.com/pdf/Data%20Sheets/Crydom%20PDFs/HS259DR.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_HS259DR.jpg,CC2254-ND,HS259DR,Sensata-Crydom,HEATSINK DIN MNT FOR PM22 SSR,463,0,"28.62000","0","1","PM22","Active","Heat Sink","PM22 Series"
http://www.crydom.com/en/products/catalog/h_s072.pdf,//media.digikey.com/photos/Crydom%20Photos/MFG_HS072.jpg,CC1702-ND,HS072,Sensata-Crydom,HEATSINK SSR 0.7DEG C/W PNL MNT,1241,0,"39.53000","0","1","HS","Active","Heat Sink","Multiple Series"
http://www.crydom.com/en/products/catalog/h_s053.pdf,//media.digikey.com/photos/Crydom%20Photos/MFG_HS053.jpg,CC1703-ND,HS053,Sensata-Crydom,HEATSINK SSR 0.5DEG C/W PNL MNT,264,0,"108.20000","0","1","HS","Active","Heat Sink","Multiple Series"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=K10_Accessories&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/20C217.jpg,PB146-ND,20C217,TE Connectivity Potter & Brumfield Relays,HOLD DOWN SPRING FOR KHA & K10,5951,0,"0.33000","0","1","-","Active","Clip, Hold Down","KHA and K10"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/RT%20RP%20SR2M.pdf,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/RT28516.jpg,PB957-ND,RT28516,TE Connectivity Potter & Brumfield Relays,CLIP RETAINING METAL PCB,11693,0,"0.46000","0","1","SCHRACK","Active","Clip, Hold Down","RP78 Sockets, SCHRACK"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_KUKUP&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/20C254.jpg,PB608-ND,20C254,TE Connectivity Potter & Brumfield Relays,SPRING HOLD-DOWN KU RELAYS SNAP,3649,0,"0.50000","0","1","-","Active","Clip, Hold Down","KU Series"
https://industrial.omron.us/en/media/LY_Electromechanical_Relay_Datasheet_tcm849-96656.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/PYC-A1.jpg,Z795-ND,PYC-A1,Omron Automation and Safety,HOLD DOWN CLIP TRK MNT LY/MY 2PC,2022,6819,"0.51000","0","1","-","Active","Clip, Hold Down","LY/MY DIN Rail Sockets"
https://industrial.omron.us/en/media/LY_Electromechanical_Relay_Datasheet_tcm849-96656.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/PYC-P.jpg,Z796-ND,PYC-P,Omron Automation and Safety,HOLD DOWN CLIP LY/MY SER,1279,16604,"0.51000","0","1","-","Active","Clip, Hold Down","LY and MY Series"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/RT%20RP%20SR2M.pdf,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/RT16041.jpg,PB778-ND,RT16041,TE Connectivity Potter & Brumfield Relays,CLIP RETAINER 15.7MM RP78601/602,896,0,"0.67000","0","1","SCHRACK","Active","Clip, Hold Down","RP78 Sockets, SCHRACK"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_R10&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/20C250.jpg,PB137-ND,20C250,TE Connectivity Potter & Brumfield Relays,R10 WIRE HOLD DOWN SPRING 4 POLE,1441,0,"0.82000","0","1","R10","Active","Clip, Hold Down","R10 Series"
