Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Coil Type","Coil Current","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Features","Mounting Type","Termination Style","Operating Temperature"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/JS-M_Series_Rev_Dec_2011.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/JSM1-%20SERIES.jpg,255-1240-ND,JSM1-12V-5,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 15A 12V,22573,0,"1.68000","0","1","Bulk","JS-M","Active","Non Latching","53.3mA","12VDC","SPDT (1 Form C)","15A","16VDC - Max","6.3 VDC","0.9 VDC","10ms","10ms","Sealed - Fully","Through Hole","PC Pin","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/JS-M_Series_Rev_Dec_2011.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/JSM1-%20SERIES.jpg,255-1239-ND,JSM1-12V-4,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 10A 12V,5031,0,"1.68000","0","1","Bulk","JS-M","Active","Non Latching","53.3mA","12VDC","SPDT (1 Form C)","10A","16VDC - Max","6.3 VDC","0.9 VDC","10ms","10ms","Sealed - Fully","Through Hole","PC Pin","-40°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g8n.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/G8N-1%20SERIES.JPG,Z2698-ND,G8N-1L-DC12,Omron Electronics Inc-EMC Div,RELAY AUTOMOTIVE SPDT 30A 12V,0,0,"1.89000","0","1","Bulk","G8N-1","Active","Non Latching","53.3mA","12VDC","SPDT (1 Form C)","30A","16VDC - Max","7.2 VDC","1 VDC","10ms","10ms","-","Through Hole","PC Pin","-40°C ~ 105°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61207_en_cp.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/CP1SA-12V-X.JPG,255-3093-2-ND,CP1SA-12V-X,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 20A 12V,6300,0,"2.59200","0","300","Tape & Reel (TR)","CP","Active","Non Latching","53.3mA","12VDC","SPDT (1 Form C)","20A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","Sealed - Fully","Surface Mount","Gull Wing","-40°C ~ 85°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61207_en_cp.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/CP1SA-12V-X.JPG,255-3093-1-ND,CP1SA-12V-X,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 20A 12V,6418,0,"4.28000","0","1","Cut Tape (CT)","CP","Active","Non Latching","53.3mA","12VDC","SPDT (1 Form C)","20A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","Sealed - Fully","Surface Mount","Gull Wing","-40°C ~ 85°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61207_en_cp.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/CP1SA-12V-X.JPG,255-3093-6-ND,CP1SA-12V-X,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 20A 12V,6418,0,"Digi-Reel","0","1","Digi-Reel®","CP","Active","Non Latching","53.3mA","12VDC","SPDT (1 Form C)","20A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","Sealed - Fully","Surface Mount","Gull Wing","-40°C ~ 85°C"
https://www.panasonic-electric-works.com/pew/eu/downloads/ds_61205_en_ct.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ACT112.jpg,255-2591-ND,ACT112,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 20A 12V,3008,0,"3.00000","0","1","Tube","ACT","Active","Non Latching","66.7mA","12VDC","SPDT (1 Form C)","20A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","-","Through Hole","PC Pin","-40°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g8hn.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G8HN-1C2T-R-DC12.jpg,Z2247-ND,G8HN-1C2T-R DC12,Omron Electronics Inc-EMC Div,RELAY AUTOMOTIVE SPDT 10A 12V,4184,0,"3.14000","0","1","Bulk","G8HN","Active","Non Latching","-","12VDC","SPDT (1 Form C)","10A","16VDC - Max","8.5 VDC","1 VDC","20ms","10ms","-","Socketable","Plug In","-40°C ~ 125°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61207_en_cp.pdf,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CP1A-12V,%20CP1-12V.jpg",255-1940-ND,CP1A-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 20A 12V,4500,3320,"3.34000","0","1","Tube","CP","Active","Non Latching","53.3mA","12VDC","SPST-NO (1 Form A)","20A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","Sealed - Fully","Through Hole","PC Pin","-40°C ~ 85°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61220_en_cnm.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/ACNM7112SAX.JPG,255-2584-2-ND,ACNM7112SAX,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 30A 12V,3200,0,"3.43800","0","200","Tape & Reel (TR)","ACNM","Active","Non Latching","53.3mA","12VDC","SPST-NO (1 Form A)","30A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","-","Surface Mount","Gull Wing","-40°C ~ 110°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61220_en_cnm.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/ACNM7112SAX.JPG,255-2584-1-ND,ACNM7112SAX,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 30A 12V,3608,0,"5.04000","0","1","Cut Tape (CT)","ACNM","Active","Non Latching","53.3mA","12VDC","SPST-NO (1 Form A)","30A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","-","Surface Mount","Gull Wing","-40°C ~ 110°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61220_en_cnm.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/ACNM7112SAX.JPG,255-2584-6-ND,ACNM7112SAX,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 30A 12V,3808,0,"Digi-Reel","0","1","Digi-Reel®","ACNM","Active","Non Latching","53.3mA","12VDC","SPST-NO (1 Form A)","30A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","-","Surface Mount","Gull Wing","-40°C ~ 110°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61215_en_cj.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ACJ2112.JPG,255-5160-ND,ACJ2112,Panasonic Electric Works,RELAY AUTOMOTIVE SPDTX2 20A 12V,2661,600,"4.18000","0","1","Tube","ACJ","Active","Non Latching","66.7mA","12VDC","SPDT (1 Form C) x 2","20A","14VDC - Nom","6.5 VDC","0.8 VDC","10ms","10ms","Sealed - Fully","Through Hole","PC Pin","-40°C ~ 85°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61220_en_cnm.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ACNM1112.jpg,255-3335-ND,ACNM1112,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 30A 12V,256,0,"4.22000","0","1","Tube","ACNM","Active","Non Latching","53.3mA","12VDC","SPDT (1 Form C)","30A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","-","Through Hole","PC Pin","-40°C ~ 85°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=V23086-X0000-A001&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/7-1414967-8.JPG,A116961-ND,7-1414967-8,TE Connectivity Raychem Cable Protection,RELAY AUTO SPDT 30A 10V,11803,0,"4.52000","0","1","Bulk","Micro Relay K","Active","Non Latching","55.0mA","10VDC","SPDT (1 Form C)","30A","10VDC - Nom","5.7 VDC","1.25 VDC","3ms","1.5ms","-","Through Hole","PC Pin","-40°C ~ 105°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=V23133-X0000-A001&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1393277-8.JPG,A122509-ND,1-1393277-4,TE Connectivity AMP Connectors,RELAY AUTOMOTIVE SPST 45A 12V,6806,0,"4.66000","0","1","Bulk","V23076","Active","Non Latching","133mA","12VDC","SPST-NO (1 Form A)","45A","12VDC - Nom","6.9 VDC","1.2 VDC","5ms","3ms","Sealed - Fully","Through Hole","PC Pin","-40°C ~ 85°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=C23303-A0086-A001-CD&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1393280-5.JPG,PB1977-ND,1393280-5,TE Connectivity Potter & Brumfield Relays,RELAY AUTO SPST-NO 30A 12V,6717,0,"4.66000","0","1","Bulk","Micro Relay K","Active","Non Latching","47.2mA","12VDC","SPST-NO (1 Form A)","30A","12VDC - Nom","6.9 VDC","1.5 VDC","3ms","1.5ms","-","Through Hole","PC Pin","-40°C ~ 105°C"
https://www.panasonic-electric-works.com/pew/eu/downloads/ds_61205_en_ct.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/ACT512.jpg,255-1852-ND,ACT512,Panasonic Electric Works,RELAY AUTOMOTIVE SPDTX2 20A 12V,2068,0,"5.02000","0","1","Tube","ACT","Active","Non Latching","66.7mA","12VDC","SPDT (1 Form C) x 2","20A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","-","Through Hole","PC Pin","-40°C ~ 85°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=V23133-X0000-A001&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1393277-8.JPG,PB1320-ND,1393277-8,TE Connectivity Potter & Brumfield Relays,RELAY AUTOMOTIVE SPDT 45A 24V,526,0,"5.13000","0","1","Bulk","V23076","Active","Non Latching","66.0mA","24VDC","SPDT (1 Form C)","45A","12VDC - Nom","14.1 VDC","2.4 VDC","5ms","3ms","Sealed - Fully","Through Hole","PC Pin","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1A-P-12V,%20CB1A-P-24V.jpg",255-1834-ND,CB1A-P-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 40A 12V,1379,0,"5.23000","0","1","Bulk","CB","Active","Non Latching","117mA","12VDC","SPST-NO (1 Form A)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Sealed - Fully","Through Hole","PC Pin","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/CB1A-R-M-12V,%20CB1A-R-M-24V.jpg",255-1828-ND,CB1A-M-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 40A 12V,2030,0,"5.40000","0","1","Bulk","CB","Active","Non Latching","117mA","12VDC","SPST-NO (1 Form A)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Sealed - Fully","Chassis Mount","Quick Connect - 0.250"" (6.3mm)","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1A-P-12V,%20CB1A-P-24V.jpg",255-1832-ND,CB1-P-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 40A 12V,4580,0,"5.50000","0","1","Bulk","CB","Active","Non Latching","117mA","12VDC","SPDT (1 Form C)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Sealed - Fully","Through Hole","PC Pin","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1-12V,%20CB1-24V.jpg",255-2161-ND,CB1-R-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 40A 12V,443,0,"5.57000","0","1","Bulk","CB","Active","Non Latching","134mA","12VDC","SPDT (1 Form C)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Resistor, Sealed - Fully","Socketable","Plug In, Quick Connect - 0.250"" (6.3mm)","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/CB1A-R-M-12V,%20CB1A-R-M-24V.jpg",255-1829-ND,CB1A-M-24V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 20A 24V,1122,0,"5.74000","0","1","Bulk","CB","Active","Non Latching","75.0mA","24VDC","SPST-NO (1 Form A)","20A","28VDC - Nom","14 VDC","2.4 VDC","15ms","15ms","Sealed - Fully","Chassis Mount","Quick Connect - 0.250"" (6.3mm)","-40°C ~ 85°C"
