Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Features","Termination Style","Operating Temperature","Must Operate Voltage","Must Release Voltage"
"//media.digikey.com/pdf/Data%20Sheets/American%20Electrical%20PDFs/CC,CDC_Series_Tech_Info.pdf",//media.digikey.com/photos/American%20Elect%20Photos/MFG_CC18.jpg,288-1520-ND,CDC18-24,American Electrical Inc.,RELAY CONTACTOR 3PST 32A 24V,781,0,"42.40000","0","1","Bulk","CDC","Active","Chassis Mount, DIN Rail","24VDC","3PST-NO (3 Form A)","32A","-","-","Screw Terminal","-","-","-"
-,-,PB2217-ND,3100-30U9999CY,TE Connectivity Potter & Brumfield Relays,RELAY CONTACTOR 3PST 30A 240V,160,0,"69.90000","0","1","Bulk","3100, Products Unlimited","Active","Chassis Mount","240VAC","3PST-NO (DM) (3 Form X)","30A","600VAC - Max","Insulation - Class B","Screw Terminal, Quick Connect - 0.250"" (6.3mm)","-40°C ~ 65°C","177 VAC","40 VAC"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5-1773450-5_sec7_LEV200&DocType=CS&DocLang=English,//media.digikey.com/Photos/Tyco%20Photos/4-1618388-6.jpg,A101172-ND,LEV200A5NAA,"TE Connectivity Aerospace, Defense and Marine",RELAY CONTACTOR SPST 500A 24V,868,0,"72.60000","0","1","Bulk","LEV200, KILOVAC","Active","Chassis Mount","24VDC","SPST-NO (DM) (1 Form X)","500A","900VDC - Max","Sealed - Hermetically","Stud","-40°C ~ 85°C","19 VDC","5 VDC"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/J7KNA-AR_Series.pdf,//media.digikey.com/Photos/Omron%20Auto/J7KNA-AR%20SERIES.JPG,Z4065-ND,J7KNA-AR-31 24VS,Omron Automation and Safety,RELAY CONTACTOR 4PST 10A 24V,394,401,"83.60000","0","1","Bulk","J7KNA-AR","Active","Chassis Mount, DIN Rail","24VDC","4PST-3NO/1NC (3 Form A, 1 Form B)","10A","600VAC - Max","Diode","Screw Terminal","-40°C ~ 60°C","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=6-1773450-9_LEV100&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/LEV100A4ANG.jpg,A101163-ND,LEV100A4ANG,"TE Connectivity Aerospace, Defense and Marine",RELAY CONTACTOR SPST 100A 12V,158,0,"102.31000","0","1","Bulk","LEV100, KILOVAC","Active","Chassis Mount","12VDC","SPST-NO (DM) (1 Form X)","100A","900VDC - Max","Sealed - Hermetically","Stud","-40°C ~ 85°C","8 VDC","1.2 VDC"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5-1773450-5_sec7_LEV200&DocType=CS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/LEV200A4NAA.jpg,A101170-ND,LEV200A4NAA,"TE Connectivity Aerospace, Defense and Marine",RELAY CONTACTOR SPST 500A 12V,35,0,"101.12000","0","1","Bulk","LEV200, KILOVAC","Active","Chassis Mount","12VDC","SPST-NO (DM) (1 Form X)","500A","900VDC - Max","Sealed - Hermetically","Stud","-40°C ~ 85°C","9 VDC","2 VDC"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=V23720-X0000-A001&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MFG_EVC%20250.jpg,PB1985-ND,V23720A0001A001,TE Connectivity Potter & Brumfield Relays,RELAY CONTACTOR SPST 250A 12V,76,0,"110.13000","0","1","Bulk","EVC 250","Active","Chassis Mount","12VDC","SPST-NO (DM) (1 Form X)","250A","450VDC - Nom","-","Screw Terminal","-40°C ~ 85°C","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5-1773450-5_sec7_LEV200&DocType=CS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/7-1618387-1.jpg,A101166-ND,LEV200A5ANA,"TE Connectivity Aerospace, Defense and Marine",RELAY CONTACTOR SPST 500A 24V,156,0,"115.52000","0","1","Bulk","LEV200, KILOVAC","Active","Chassis Mount","24VDC","SPST-NO (DM) (1 Form X)","500A","900VDC - Max","Sealed - Hermetically","Stud, Wire Leads","-40°C ~ 85°C","19 VDC","5 VDC"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5-1773450-5_sec7_LEV200&DocType=CS&DocLang=English,//media.digikey.com/Photos/Tyco%20Photos/5-1618387-7.jpg,A101173-ND,LEV200A5NAF,"TE Connectivity Aerospace, Defense and Marine",RELAY CONTACTOR SPST 500A 24V,58,0,"128.72000","0","1","Bulk","LEV200, KILOVAC","Active","Chassis Mount","24VDC","SPST-NO (DM) (1 Form X)","500A","900VDC - Max","Sealed - Hermetically","Stud","-40°C ~ 85°C","19 VDC","5 VDC"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_P30P40&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/P30P42D12P1-24,%20P40P42D12P1-24.jpg",PB518-ND,P40P42D12P1-24,TE Connectivity Potter & Brumfield Relays,RELAY CONTACTOR 3PST 40A 24V,109,0,"133.49000","0","1","Bulk","P40","Active","Chassis Mount","24VDC","3PST-NO (DM) (3 Form X)","40A","600VAC - Max","-","Screw Terminal, Quick Connect - 0.250"" (6.3mm)","-55°C ~ 65°C","18 VDC","-"
