Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Circuit","Output Type","Load Current","Voltage - Input","Voltage - Load","Termination Style","Package / Case"
http://www.crydom.com/en/products/catalog/hdc_60.pdf,//media.digikey.com/Photos/Crydom%20Photos/HDC60D120.jpg,CC1953-ND,HDC60D160,Sensata-Crydom,RELAY SSR CONTACTOR DC 160A 32V,251,0,"175.95000","0","1","Bulk","HDC","Active","Chassis Mount","SPST-NO (1 Form A)","DC","160A","4.5 ~ 32VDC","7 ~ 48V","Stud","Hockey Puck"
https://www.gavazzionline.com/pdf/RGC_2_3A.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/RGC3A60A20KKE.jpg,1864-1207-ND,RGC3A60D20KKE,Carlo Gavazzi Inc.,RELAY SSR 32VDC IN 3PH 600V 20A,89,0,"195.36000","0","1","Bulk","RGC3","Active","Chassis Mount, DIN Rail","3PST-NO (3 Form A)","AC, Zero Cross","20A","5 ~ 32VDC","42 ~ 600V","Screw Terminal","SSR with Integrated Heat Sink"
https://www.gavazzionline.com/pdf/RGC_2_3A.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/RGC3A60A20KKE.jpg,1864-1204-ND,RGC3A60A20KKE,Carlo Gavazzi Inc.,RELAY SSR 275VAC IN 3PH 600V 20A,63,0,"220.00000","0","1","Bulk","RGC3","Active","Chassis Mount, DIN Rail","3PST-NO (3 Form A)","AC, Zero Cross","20A","20 ~ 275VAC, 24 ~ 190VDC","42 ~ 600V","Screw Terminal","SSR with Integrated Heat Sink"
https://www.gavazzionline.com/pdf/RGC_U.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/RGC1A60A15KGU.JPG,1864-1186-ND,RGC1A60D15KGU,Carlo Gavazzi Inc.,RELAY SSR 32VDC 1PH 600V 20A,348,0,"60.61000","0","1","Bulk","RGC","Active","Chassis Mount, DIN Rail","SPST-NO (1 Form A)","AC, Zero Cross","20A","4 ~ 32VDC","42 ~ 600V","Screw Terminal","SSR with Integrated Heat Sink"
https://www.gavazzionline.com/pdf/RGC_U.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/MFG_RGC1A_20KGU.jpg,1864-1188-ND,RGC1A60D20KGU,Carlo Gavazzi Inc.,RELAY SSR 32VDC 1PH 600V 23A,114,0,"63.75000","0","1","Bulk","RGC","Active","Chassis Mount, DIN Rail","SPST-NO (1 Form A)","AC, Zero Cross","23A","4 ~ 32VDC","42 ~ 600V","Screw Terminal","SSR with Integrated Heat Sink"
//media.digikey.com/pdf/Data%20Sheets/Crydom%20PDFs/PM22_Series.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PM2260xxxV.jpg,CC2274-ND,PM2260D95V,Sensata-Crydom,RELAY SSR 600V 95A PNL MNT,44,0,"101.67000","0","1","Bulk","PM22","Active","Chassis Mount","SPST-NO (1 Form A)","AC, Zero Cross","95A","4 ~ 32VDC","48 ~ 600V","Screw Terminal","Module"
http://www.crydom.com/temp/15/dec/drh.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_DRH-Series.jpg,CC2277-ND,DRH3P60D20,Sensata-Crydom,SSR CONTACTOR 3PH DIN MNT 600VAC,27,0,"138.33000","0","1","Bulk","DRH","Active","Chassis Mount, DIN Rail","DPST-NO (2 Form A)","AC, Zero Cross","20A","4 ~ 32VDC","48 ~ 600V","Screw Terminal","Module"
https://www.gavazzionline.com/pdf/RGC_2_3A.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/RGC3A60A20KKE.jpg,1864-1202-ND,RGC2A60D25KKE,Carlo Gavazzi Inc.,RELAY SSR 32VDC IN 600V 27A,51,0,"171.60000","0","1","Bulk","RGC2","Active","Chassis Mount, DIN Rail","DPST-NO (2 Form A)","AC, Zero Cross","27A","5 ~ 32VDC","42 ~ 600V","Screw Terminal","SSR with Integrated Heat Sink"
http://www.crydom.com/en/products/catalog/s_sc.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_SSC-Series.jpg,CC1942-ND,SSC1000-25-12,Sensata-Crydom,RELAY SSR HV DC 1KVDC 25A 12V,30,0,"214.73000","0","1","Bulk","SSC","Active","Chassis Mount","SPST-NO (1 Form A)","DC","25A","8 ~ 16VDC","0 ~ 1000V","Screw Terminal","Hockey Puck"
https://www.gavazzionline.com/pdf/RGC_2_3A.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/RGC3A60A25KKE.jpg,1864-1208-ND,RGC3A60D25KKE,Carlo Gavazzi Inc.,RELAY SSR 32VDC IN 3PH 600V 28A,89,0,"215.60000","0","1","Bulk","RGC3","Active","Chassis Mount, DIN Rail","3PST-NO (3 Form A)","AC, Zero Cross","28A","5 ~ 32VDC","42 ~ 600V","Screw Terminal","SSR with Integrated Heat Sink"
http://www.crydom.com/en/products/catalog/hdc_100.pdf,//media.digikey.com/Photos/Crydom%20Photos/HDC60D120.jpg,CC1952-ND,HDC100D160,Sensata-Crydom,RELAY SSR CONTACTOR DC 160A 32V,60,0,"192.50000","0","1","Bulk","HDC","Active","Chassis Mount","SPST-NO (1 Form A)","DC","160A","4.5 ~ 32VDC","7 ~ 72V","Stud","Hockey Puck"
