Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","Number of Channels","Connector Type","Mounting Type"
http://www.grayhill.com/assets/1/7/IO_Racks_4_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70RCK4.jpg,GH7028-ND,70RCK4,Grayhill Inc.,I/O MODULE RACK 4 CHANNEL,116,0,"41.72000","0","1","System 50","Active","Standard","4","Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_16_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70mrck16-hl.JPG,GH7437-ND,70MRCK16-HL,Grayhill Inc.,I/O MODULE RACK 16 CHANNEL,41,0,"143.92000","0","1","System 50","Active","Mini","16","Header, Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_24_InLine_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70MRCQ24-HL.JPG,GH7438-ND,70MRCK24-HL,Grayhill Inc.,I/O MODULE RACK 24 CHANNEL,43,23,"197.08000","0","1","System 50","Active","Mini","24","Header, Screw Terminal Blocks","Standoffs"
https://www.ia.omron.com/data_pdf/cat/p7tf-is16_os16_os08_ds_e_2_1_csm1056312.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/P7TF-05.jpg,Z3225-ND,P7TF-05,Omron Automation and Safety,I/O MODULE RACK CHANNEL,145,387,"11.95000","0","1","P7TF","Active","G3TA, G7T","1","Screw Terminal Blocks","DIN Rail"
http://www.grayhill.com/assets/1/7/IO_Racks_8_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70RCK8.jpg,GH7029-ND,70RCK8,Grayhill Inc.,I/O MODULE RACK 8 CHANNEL,122,104,"87.85000","0","1","System 50","Active","Standard","8","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_16_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70RCK16.jpg,GH7031-ND,70RCK16,Grayhill Inc.,I/O MODULE RACK 16 CHANNEL,49,21,"121.32000","0","1","System 50","Active","Standard","16","Card Edge, Screw Terminal Blocks","Standoffs"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/2IO_Series.pdf,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/2IO4A,%202IO4B.jpg",PB696-ND,2IO4A,TE Connectivity Potter & Brumfield Relays,I/O MODULE RACK 4 CHANNEL,31,0,"106.47000","0","1","2IO","Obsolete","Standard","4","Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_24_InLine_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70MRCK24-EC.jpg,GH3008-ND,70MRCK24-EC,Grayhill Inc.,I/O MODULE RACK 24 CHANNEL,2,0,"213.73000","0","1","System 50","Active","Mini","24","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_4_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70grck4.JPG,GH7432-ND,70GRCK4,Grayhill Inc.,I/O MODULE RACK 4 CHANNEL,7,9,"42.06000","0","1","System 50","Active","G5","4","Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_4_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70RCK4R.jpg,GH3035-ND,70RCK4R,Grayhill Inc.,I/O MODULE RACK 4 CHANNEL,24,0,"45.57000","0","1","System 50","Active","Standard","4","Screw Terminal Blocks","Standoffs"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2282075.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2282075.JPG,277-5171-ND,2282075,Phoenix Contact,I/O MODULE RACK 1 CHANNEL,20,0,"82.43000","0","1","VARIOFACE, FLKM","Active","Standard","1","Screw Terminal Blocks","DIN Rail"
http://www.grayhill.com/assets/1/7/IO_Racks_8_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70MRCK8-EC.jpg,GH7030-ND,70MRCK8-EC,Grayhill Inc.,I/O MODULE RACK 8 CHANNEL,13,0,"91.39000","0","1","System 50","Active","Mini","8","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_16_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70RCK16-HL.jpg,GH3045-ND,70RCK16-HL,Grayhill Inc.,I/O MODULE RACK 16 CHANNEL,9,20,"136.66000","0","1","System 50","Active","Standard","16","Header, Screw Terminal Blocks","Standoffs"
http://www.grayhill.com/assets/1/7/IO_Racks_16_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70grck16-hl.JPG,GH7444-ND,70GRCK16-HL,Grayhill Inc.,I/O MODULE RACK 16 CHANNEL,3,106,"135.06000","0","1","System 50","Active","G5","16","Header, Screw Terminal Blocks","Standoffs"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2282088.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2282088.JPG,277-5315-ND,2282088,Phoenix Contact,I/O MODULE RACK 2 CHANNEL,5,42,"141.23000","0","1","VARIOFACE, FLKM","Active","Standard","2","Screw Terminal Blocks","DIN Rail"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2282091.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2282091.JPG,277-5231-ND,2282091,Phoenix Contact,I/O MODULE RACK 4 CHANNEL,20,30,"185.06000","0","1","VARIOFACE, FLKM","Active","Standard","4","Screw Terminal Blocks","DIN Rail"
http://www.grayhill.com/assets/1/7/IO_Racks_24_InLine_Channel.pdf,//media.digikey.com/photos/Grayhill%20Photos/70RCK24.jpg,GH3007-ND,70RCK24,Grayhill Inc.,I/O MODULE RACK 24 CHANNEL,8,19,"196.82000","0","1","System 50","Active","Standard","24","Card Edge, Screw Terminal Blocks","Standoffs"
