Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Coil Current","Coil Type","Features","Termination Style","Seal Rating","Coil Insulation","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Operating Temperature","Contact Material","Relay Type"
http://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lq.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ALQ105.jpg,255-5407-ND,ALQ3F12,Panasonic Electric Works,RELAY GEN PURPOSE SPST 10A 12V,76697,0,"1.01000","0","1","Box","ALQ","Active","Through Hole","12VDC","SPST-NO (1 Form A)","10A","250VAC - Max","16.7mA","Non Latching","-","PC Pin","-","Class F","9 VDC","0.6 VDC","20ms","20ms","-40°C ~ 85°C","Silver Nickel (AgNi)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1721150&DocType=Customer+Drawing&DocLang=English,"//media.digikey.com/Photos/TE%20Connectivity/ORWH,OEG-Series.JPG",PB2029-ND,"ORWH-SH-112D1F,000",TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE SPDT 10A 12V,33351,0,"1.18000","0","1","Tube","ORWH, OEG","Active","Through Hole","12VDC","SPDT (1 Form C)","10A","277VAC, 28VDC - Max","30.0mA","Non Latching","-","PC Pin","Sealed - Fully","Class F","8.4 VDC","1.2 VDC","10ms","5ms","-30°C ~ 70°C","Silver Zinc Oxide (AgZnO)","General Purpose"
http://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lq.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ALQ105.jpg,255-3565-ND,ALQ105,Panasonic Electric Works,RELAY GEN PURPOSE SPDT 10A 5V,19883,0,"1.22000","0","1","Bulk","ALQ","Active","Through Hole","5VDC","SPDT (1 Form C)","10A","250VAC - Max","80.0mA","Non Latching","-","PC Pin","-","Class B","3.75 VDC","0.25 VDC","20ms","20ms","-40°C ~ 85°C","Silver Nickel (AgNi)","General Purpose"
http://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lq.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ALQ112.JPG,255-3562-ND,ALQ112,Panasonic Electric Works,RELAY GEN PURPOSE SPDT 10A 12V,9846,0,"1.22000","0","1","Tray","ALQ","Active","Through Hole","12VDC","SPDT (1 Form C)","10A","250VAC - Max","33.3mA","Non Latching","-","PC Pin","-","Class B","9 VDC","0.6 VDC","20ms","20ms","-40°C ~ 85°C","Silver Nickel (AgNi)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5le.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G5LE-1A4-DC24.jpg,Z3672-ND,G5LE-1-VDDC12,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPDT 10A 12V,9342,6500,"1.23000","0","1","Tray","G5LE","Active","Through Hole","12VDC","SPDT (1 Form C)","10A","250VAC, 125VDC - Max","33.3mA","Non Latching","-","PC Pin","Sealed - Flux Protection","Class B","9 VDC","1.2 VDC","10ms","5ms","-25°C ~ 85°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1721153&DocType=Customer+Drawing&DocLang=English,"//media.digikey.com/Photos/TE%20Connectivity/ORWH,OEG-Series.JPG",PB2032-ND,"ORWH-SH-105D1F,000",TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE SPDT 10A 5V,6216,0,"1.25000","0","1","Tube","ORWH, OEG","Active","Through Hole","5VDC","SPDT (1 Form C)","10A","277VAC, 28VDC - Max","71.4mA","Non Latching","-","PC Pin","Sealed - Fully","Class F","3.5 VDC","0.5 VDC","10ms","5ms","-30°C ~ 70°C","Silver Zinc Oxide (AgZnO)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5le.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G5LE-1A4-DC24.jpg,Z2254-ND,G5LE-1A4 DC24,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPST 10A 24V,73825,16000,"1.30000","0","1","Tray","G5LE","Active","Through Hole","24VDC","SPST-NO (1 Form A)","10A","250VAC, 125VDC - Max","16.7mA","Non Latching","-","PC Pin","Sealed - Fully","Class B","18 VDC","2.4 VDC","10ms","5ms","-25°C ~ 85°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5le.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G5LE-1A4-DC24.jpg,Z2352-ND,G5LE-1A4 DC12,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPST 10A 12V,26414,29000,"1.30000","0","1","Tray","G5LE","Active","Through Hole","12VDC","SPST-NO (1 Form A)","10A","250VAC, 125VDC - Max","33.3mA","Non Latching","-","PC Pin","Sealed - Fully","Class B","9 VDC","1.2 VDC","10ms","5ms","-25°C ~ 85°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5le.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G5LE-1A4-DC24.jpg,Z1012-ND,G5LE-14 DC12,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPDT 10A 12V,60927,83500,"1.33000","0","1","Tray","G5LE","Active","Through Hole","12VDC","SPDT (1 Form C)","10A","250VAC, 125VDC - Max","33.3mA","Non Latching","-","PC Pin","Sealed - Fully","Class B","9 VDC","1.2 VDC","10ms","5ms","-25°C ~ 85°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5le.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G5LE-1A4-DC24.jpg,Z1013-ND,G5LE-14 DC24,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPDT 10A 24V,48903,158000,"1.33000","0","1","Tray","G5LE","Active","Through Hole","24VDC","SPDT (1 Form C)","10A","250VAC, 125VDC - Max","16.7mA","Non Latching","-","PC Pin","Sealed - Fully","Class B","18 VDC","2.4 VDC","10ms","5ms","-25°C ~ 85°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5le.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G5LE-1A4-DC24.jpg,Z1016-ND,G5LE-1 DC24,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPDT 10A 24V,31406,22000,"1.33000","0","1","Tray","G5LE","Active","Through Hole","24VDC","SPDT (1 Form C)","10A","250VAC, 125VDC - Max","16.7mA","Non Latching","-","PC Pin","Sealed - Flux Protection","Class B","18 VDC","2.4 VDC","10ms","5ms","-25°C ~ 85°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5le.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G5LE-1A4-DC24.jpg,Z1015-ND,G5LE-1 DC12,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPDT 10A 12V,16589,0,"1.33000","0","1","Tray","G5LE","Active","Through Hole","12VDC","SPDT (1 Form C)","10A","250VAC, 125VDC - Max","33.3mA","Non Latching","-","PC Pin","Sealed - Flux Protection","Class B","9 VDC","1.2 VDC","10ms","5ms","-25°C ~ 85°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1721150&DocType=Customer+Drawing&DocLang=English,"//media.digikey.com/Photos/TE%20Connectivity/ORWH,OEG-Series.JPG",PB2031-ND,"ORWH-SH-124D1F,000",TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE SPDT 10A 24V,13516,0,"1.33000","0","1","Tube","ORWH, OEG","Active","Through Hole","24VDC","SPDT (1 Form C)","10A","277VAC, 28VDC - Max","15.0mA","Non Latching","-","PC Pin","Sealed - Fully","Class F","16.8 VDC","2.4 VDC","10ms","5ms","-30°C ~ 70°C","Silver Zinc Oxide (AgZnO)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1461402&DocType=Customer+Drawing&DocLang=English,"//media.digikey.com/Photos/Tyco%20Potter%20Brumfield%20Photos/OJE,OEG-Series.jpg",PB876-ND,"OJE-SH-112HM,000",TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE SPST 10A 12V,84577,0,"1.39000","0","1","Bulk","OJE, OEG","Active","Through Hole","12VDC","SPST-NO (1 Form A)","10A","277VAC, 30VDC - Max","37.5mA","Non Latching","-","PC Pin","Sealed - Fully","-","8.4 VDC","0.6 VDC","10ms","4ms","-30°C ~ 70°C","Silver (Ag)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5q.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/SG5Q-1A-DC12,%20G5Q-1A-DC24,%20G5Q-1A4-DC12.jpg",Z223-ND,G5Q-1A4 DC12,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPST 10A 12V,88763,12000,"1.41000","0","1","Tray","G5Q","Active","Through Hole","12VDC","SPST-NO (1 Form A)","10A","277VAC, 30VDC - Max","16.7mA","Non Latching","-","PC Pin","Sealed - Fully","Class F","9 VDC","0.6 VDC","10ms","5ms","-40°C ~ 105°C","Silver Alloy","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5le.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G5LE-1A4-DC24.jpg,Z3116-ND,G5LE-1A4 DC5,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPST 10A 5V,12401,6000,"1.41000","0","1","Tray","G5LE","Active","Through Hole","5VDC","SPST-NO (1 Form A)","10A","250VAC, 125VDC - Max","79.4mA","Non Latching","-","PC Pin","Sealed - Fully","Class B","3.75 VDC","0.5 VDC","10ms","5ms","-25°C ~ 85°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5q.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/SG5Q-1A-DC12,%20G5Q-1A-DC24,%20G5Q-1A4-DC12.jpg",Z225-ND,G5Q-14 DC12,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPDT 10A 12V,7985,0,"1.43000","0","1","Tray","G5Q","Active","Through Hole","12VDC","SPDT (1 Form C)","10A","277VAC, 30VDC - Max","33.3mA","Non Latching","-","PC Pin","Sealed - Fully","Class F","9 VDC","0.6 VDC","10ms","5ms","-40°C ~ 105°C","Silver Alloy","General Purpose"
