Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Coil Current","Coil Type","Features","Termination Style","Seal Rating","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Operating Temperature","Contact Material"
https://www.littelfuse.com/~/media/electronics/datasheets/reed_relays/littelfuse_reed_relays_he700_datasheet.pdf.pdf,"//media.digikey.com/photos/Hamlin%20Photos/HE721A,%20HE721C,%20HE722A%20SERIES.jpg",HE102-ND,HE721A1200,Littelfuse Inc.,RELAY REED SPST 500MA 12V,8825,0,"1.13000","0","1","Tube","HE700","Active","Through Hole","12VDC","SPST-NO (1 Form A)","500mA","200VDC - Max","12.0mA","Non Latching","-","PC Pin","-","8 VDC","1 VDC","1ms","1ms","-40°C ~ 85°C","-"
https://www.littelfuse.com/~/media/electronics/datasheets/reed_relays/littelfuse_reed_relays_he3600_datasheet.pdf.pdf,//media.digikey.com/photos/Hamlin%20Photos/HE3621A%20SERIES.jpg,HE207-ND,HE3621A0510,Littelfuse Inc.,RELAY REED SPST 500MA 5V,59242,0,"1.16000","0","1","Tube","HE3600","Active","Through Hole","5VDC","SPST-NO (1 Form A)","500mA","200VDC - Max","10.0mA","Non Latching","Diode","PC Pin","-","3.75 VDC","0.5 VDC","1ms","1ms","-40°C ~ 85°C","-"
https://www.comus-intl.com/wp-content/uploads/2015/01/3570-1331.pdf,//media.digikey.com/Photos/Comus%20International/MFG_3570-1331.jpg,1835-1118-ND,3570-1331-121,Comus International,RELAY REED SIP SPST .5A 12V,13481,0,"1.18000","0","1","Tube","3570","Active","Through Hole","12VDC","SPST-NO (1 Form A)","500mA","150VDC - Max","12.0mA","Non Latching","-","PC Pin","-","9 VDC","1 VDC","0.35ms","0.5ms","-40°C ~ 85°C","-"
https://www.littelfuse.com/~/media/electronics/datasheets/reed_relays/littelfuse_reed_relays_he700_datasheet.pdf.pdf,"//media.digikey.com/photos/Hamlin%20Photos/HE721A,%20HE721C,%20HE722A%20SERIES.jpg",HE100-ND,HE721A0500,Littelfuse Inc.,RELAY REED SPST 500MA 5V,7667,0,"1.28000","0","1","Tube","HE700","Active","Through Hole","5VDC","SPST-NO (1 Form A)","500mA","200VDC - Max","10.0mA","Non Latching","-","PC Pin","-","3.75 VDC","0.5 VDC","1ms","1ms","-40°C ~ 85°C","-"
https://cotorelay.com/wp-content/uploads/2014/09/9007_series_reed_relay_datasheet.pdf,"//media.digikey.com/photos/Coto%20Tech%20Photos/9007-12-00,40,50,%209007-05-00,01,11,40.JPG",306-1062-ND,9007-05-00,Coto Technology,RELAY REED SPST 500MA 5V,79878,0,"1.33000","0","1","Tube","9000, Spartan","Active","Through Hole","5VDC","SPST-NO (1 Form A)","500mA","200VAC, 200VDC - Max","10.0mA","Non Latching","-","PC Pin","-","3.75 VDC","0.4 VDC","0.5ms","0.2ms","-20°C ~ 85°C","-"
https://cotorelay.com/wp-content/uploads/2014/09/9007_series_reed_relay_datasheet.pdf,"//media.digikey.com/photos/Coto%20Tech%20Photos/9007-12-00,40,50,%209007-05-00,01,11,40.JPG",306-1064-ND,9007-12-00,Coto Technology,RELAY REED SPST 500MA 12V,17503,0,"1.33000","0","1","Tube","9000, Spartan","Active","Through Hole","12VDC","SPST-NO (1 Form A)","500mA","200VAC, 200VDC - Max","12.0mA","Non Latching","-","PC Pin","-","9 VDC","1 VDC","0.5ms","0.2ms","-20°C ~ 85°C","-"
https://www.littelfuse.com/~/media/electronics/datasheets/reed_relays/littelfuse_reed_relays_he700_datasheet.pdf.pdf,"//media.digikey.com/photos/Hamlin%20Photos/HE721A,%20HE721C,%20HE722A%20SERIES.jpg",HE101-ND,HE721A0510,Littelfuse Inc.,RELAY REED SPST 500MA 5V,10330,0,"1.39000","0","1","Tube","HE700","Active","Through Hole","5VDC","SPST-NO (1 Form A)","500mA","200VDC - Max","10.0mA","Non Latching","Diode","PC Pin","-","3.75 VDC","0.5 VDC","1ms","1ms","-40°C ~ 85°C","-"
https://cotorelay.com/wp-content/uploads/2014/09/9007_series_reed_relay_datasheet.pdf,//media.digikey.com/Photos/Coto%20Tech%20Photos/9000-SPARTAND.jpg,306-1063-ND,9007-05-01,Coto Technology,RELAY REED SPST 500MA 5V,42799,0,"1.43000","0","1","Tube","9000, Spartan","Active","Through Hole","5VDC","SPST-NO (1 Form A)","500mA","200VAC, 200VDC - Max","10.0mA","Non Latching","Diode","PC Pin","-","3.75 VDC","0.4 VDC","0.5ms","0.2ms","-20°C ~ 85°C","-"
https://www.littelfuse.com/~/media/electronics/datasheets/reed_relays/littelfuse_reed_relays_he700_datasheet.pdf.pdf,//media.digikey.com/photos/Hamlin%20Photos/HE751A%20SERIES.jpg,HE125-ND,HE751A1210,Littelfuse Inc.,RELAY REED SPST 500MA 12V,2146,0,"1.53000","0","1","Tube","HE700","Active","Through Hole","12VDC","SPST-NO (1 Form A)","500mA","300VDC - Max","12.0mA","Non Latching","Diode","PC Pin","-","8 VDC","1 VDC","1ms","1ms","-20°C ~ 85°C","-"
https://www.littelfuse.com/~/media/electronics/datasheets/reed_relays/littelfuse_reed_relays_he3600_datasheet.pdf.pdf,//media.digikey.com/photos/Hamlin%20Photos/HE3621A%20SERIES.jpg,HE210-ND,HE3621A2400,Littelfuse Inc.,RELAY REED SPST 500MA 24V,3810,0,"2.14000","0","1","Tube","HE3600","Active","Through Hole","24VDC","SPST-NO (1 Form A)","500mA","200VDC - Max","11.1mA","Non Latching","-","PC Pin","-","16 VDC","2 VDC","1ms","1ms","-40°C ~ 85°C","-"
