Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Positions","Mounting Type","Termination Style","For Use With/Related Products"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1393234&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/RP78602.jpg,PB525-ND,RP78602,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 8 POS THROUGH HOLE,7162,0,"1.97000","0","1","RT, SCHRACK","Active","Socket","8","Through Hole","PC Pin","RT Series, SCHRACK"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=VCF4-X0000-A001&DocType=DS&DocLang=English,//media.digikey.com/Photos/Tyco%20Potter%20Brumfield%20Photos/VCF4-1000.jpg,PB232-ND,VCF4-1000,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 5 POS THROUGH HOLE,4504,0,"2.38000","0","1","VF4","Active","Socket","5","Through Hole","PC Pin","VF4-1 and VF4-4 Relays"
http://www.ia.omron.com/data_pdf/cat/my_ds_e_7_3_csm59.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/PY14-02.jpg,Z813-ND,PY14-02,Omron Automation and Safety,RELAY SOCKET 14 POS THROUGH HOLE,2376,12981,"3.37000","0","1","MY","Active","Socket","14","Through Hole","PC Pin","MY4/MY2K Relays"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/PA_Relays.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/PA1A-PS.jpg,255-2049-ND,PA1A-PS,Panasonic Electric Works,RELAY SOCKET 4 POS THROUGH HOLE,8442,0,"3.65000","0","1","PA","Active","Socket","4","Through Hole","PC Pin","PA1A Relays"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=VCFM-X0000-A001&DocType=DS&DocLang=English,//media.digikey.com/Photos/Tyco%20Photos/VCFM-1000.jpg,VCFM-1000-ND,VCFM-1000,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 5 POS THROUGH HOLE,5732,0,"3.65000","0","1","VFM","Active","Socket","5","Through Hole","PC Pin","VFM Series"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RTacc&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/RT78726.jpg,PB780-ND,6-1415035-1,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 8 POSITION DIN RAIL,1437,0,"4.95000","0","1","RT, SCHRACK","Active","Socket","8","DIN Rail","Screw Terminal","RT Series, SCHRACK"
https://assets.omron.com/m/29e17638638b1d35/original/G2R-_-S-Datasheet.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/P2RF-05-E.jpg,Z855-ND,P2RF-05-E,Omron Automation and Safety,RELAY SOCKET 5 POSITION DIN RAIL,3501,0,"6.43000","0","1","G2RS","Active","Socket","5","DIN Rail","Screw Terminal","G2R-1-S Relays"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=VCF4-X0000-A001&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/VCF4-1002.jpg,PB714-ND,VCF4-1002,TE Connectivity Potter & Brumfield Relays,RELAY HSG 5POS WIRING HARNESS,2010,0,"6.63000","0","1","VF4","Active","Housing","5","Wiring Harness, Interlockable","Quick Connect Terminals (Not Provided)","VF4-1 and VF4-4 Relays"
http://www.crydom.com/en/products/catalog/e_d_sockets.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_DRSED.jpg,CC1830-ND,DRSED,Sensata-Crydom,RELAY SOCKET 5 POSITION DIN RAIL,166,0,"7.22000","0","1","LifePlus ED","Active","Socket","5","DIN Rail","Screw Terminal","ED Series"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/MK%20General%20Purpose%20Relay.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/PLE11-0.jpg,Z839-ND,PLE11-0,Omron Automation and Safety,RELAY SOCKET 11 POS THROUGH HOLE,926,0,"7.83000","0","1","MK","Active","Socket","11","Through Hole","PC Pin","MK Series, 3PDT"
